Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,0,0,200,70,80,10,0,30,0,0,GC_STRESS,0.0
2025-05-17 17:00:15,0,0,200,70,80,10,0,30,0,0,GC_STRESS,0.25
2025-05-17 17:00:30,0,0,200,70,80,10,0,30,0,0,GC_STRESS,0.5
2025-05-17 17:00:45,76,13,198,54,43,51,48,52,0,0,GC_STRESS,0.75
2025-05-17 17:01:00,76,13,198,53,41,51,44,52,0,0,GC_STRESS,1.0
2025-05-17 17:01:15,145,18,231,9,13,29,19,53,0,0,GC_STRESS,1.25
2025-05-17 17:01:30,144,18,244,7,13,30,20,53,0,0,GC_STRESS,1.5
2025-05-17 17:01:45,143,15,223,26,39,61,45,53,0,0,GC_STRESS,1.75
2025-05-17 17:02:00,143,15,221,26,39,59,45,51,0,0,GC_STRESS,2.0
2025-05-17 17:02:15,133,10,157,25,35,73,31,8,0,0,GC_STRESS,2.25
2025-05-17 17:02:30,131,12,143,26,39,82,30,6,0,0,GC_STRESS,2.5
2025-05-17 17:02:45,130,30,133,31,48,100,50,21,0,0,GC_STRESS,2.75
2025-05-17 17:03:00,130,32,133,31,48,98,50,21,0,0,GC_STRESS,3.0
2025-05-17 17:03:15,53,69,67,13,22,18,5,21,0,0,GC_STRESS,3.25
2025-05-17 17:03:30,49,68,60,12,21,20,5,21,0,0,GC_STRESS,3.5
2025-05-17 17:03:45,98,53,63,21,36,50,25,22,0,0,GC_STRESS,3.75
2025-05-17 17:04:00,94,50,63,21,36,50,27,24,0,0,GC_STRESS,4.0
2025-05-17 17:04:15,12,33,35,17,36,19,36,35,0,0,GC_STRESS,4.25
2025-05-17 17:04:30,9,32,32,18,39,19,39,39,0,0,GC_STRESS,4.5
2025-05-17 17:04:45,63,39,43,34,49,43,48,68,0,0,GC_STRESS,4.75
2025-05-17 17:05:00,63,40,43,33,51,45,48,68,0,0,GC_STRESS,5.0
2025-05-17 17:05:15,150,68,40,12,78,13,48,11,0,0,GC_STRESS,5.25
2025-05-17 17:05:30,149,66,46,11,84,13,48,6,0,0,GC_STRESS,5.5
2025-05-17 17:05:45,123,52,61,21,75,60,48,25,0,0,GC_STRESS,5.75
2025-05-17 17:06:00,122,50,61,21,68,71,49,25,0,0,GC_STRESS,6.0
2025-05-17 17:06:15,27,40,33,5,10,257,61,27,0,0,GC_STRESS,6.25
2025-05-17 17:06:30,10,39,31,5,4,258,67,29,0,0,GC_STRESS,6.5
2025-05-17 17:06:45,46,38,42,30,27,191,64,55,0,0,GC_STRESS,6.75
2025-05-17 17:07:00,42,37,42,34,27,191,64,56,0,0,GC_STRESS,7.0
2025-05-17 17:07:15,40,31,37,85,68,156,36,44,0,0,GC_STRESS,7.25
2025-05-17 17:07:30,39,31,41,88,68,155,35,52,0,0,GC_STRESS,7.5
2025-05-17 17:07:45,40,30,59,93,68,190,56,104,0,0,GC_STRESS,7.75
2025-05-17 17:08:00,42,27,59,93,66,194,60,109,0,0,GC_STRESS,8.0
2025-05-17 17:08:15,128,19,33,57,22,363,157,278,0,0,GC_STRESS,8.25
2025-05-17 17:08:30,127,19,31,57,20,362,157,285,0,0,GC_STRESS,8.5
