Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,480,570,600,500,510,660,410,480,0,0,OOM,0.0
2025-05-17 17:00:15,480,570,600,500,510,660,410,480,0,0,OOM,0.25
2025-05-17 17:00:30,480,570,600,500,510,660,410,480,0,0,OOM,0.5
2025-05-17 17:00:45,480,570,833,668,510,849,410,480,0,0,OOM,0.75
2025-05-17 17:01:00,705,805,833,668,730,849,610,755,0,0,OOM,1.0
2025-05-17 17:01:15,705,1040,905,735,730,942,610,755,0,0,OOM,1.25
2025-05-17 17:01:30,930,1040,920,769,950,965,810,755,0,0,OOM,1.5
2025-05-17 17:01:45,930,1040,910,705,950,964,810,1030,0,0,OOM,1.75
2025-05-17 17:02:00,960,1035,910,703,850,963,770,980,0,0,OOM,2.0
2025-05-17 17:02:15,951,1029,889,618,823,962,762,980,0,0,OOM,2.25
2025-05-17 17:02:30,949,1029,890,613,828,963,751,989,0,0,OOM,2.5
2025-05-17 17:02:45,925,1030,890,633,800,964,702,983,0,0,OOM,2.75
2025-05-17 17:03:00,918,1031,890,633,794,964,671,984,0,0,OOM,3.0
2025-05-17 17:03:15,890,1060,992,657,667,1028,613,1018,0,0,OOM,3.25
2025-05-17 17:03:30,883,1077,1024,661,653,1051,617,1026,0,0,OOM,3.5
2025-05-17 17:03:45,876,1078,1069,671,640,1050,618,1033,0,0,OOM,3.75
2025-05-17 17:04:00,876,1086,1078,671,641,1049,621,1038,0,0,OOM,4.0
2025-05-17 17:04:15,898,1175,1186,668,662,1056,643,1106,0,0,OOM,4.25
2025-05-17 17:04:30,910,1192,1195,666,670,1053,647,1121,0,0,OOM,4.5
2025-05-17 17:04:45,904,1186,1171,665,672,1050,645,1115,0,0,OOM,4.75
2025-05-17 17:05:00,923,1184,1166,664,673,1034,645,1115,0,0,OOM,5.0
2025-05-17 17:05:15,1015,1178,1105,654,733,950,659,1131,0,0,OOM,5.25
2025-05-17 17:05:30,1029,1174,1069,652,742,938,664,1128,0,0,OOM,5.5
2025-05-17 17:05:45,1011,1154,1037,658,754,944,666,1107,0,0,OOM,5.75
2025-05-17 17:06:00,1007,1098,1007,664,756,938,666,1100,0,0,OOM,6.0
2025-05-17 17:06:15,973,927,910,730,778,972,670,1078,0,0,OOM,6.25
2025-05-17 17:06:30,958,908,890,737,770,982,670,1067,0,0,OOM,6.5
2025-05-17 17:06:45,898,955,884,697,741,973,668,1058,0,0,OOM,6.75
2025-05-17 17:07:00,854,957,885,689,733,973,668,1058,0,0,OOM,7.0
2025-05-17 17:07:15,727,1077,928,663,707,1004,674,1060,0,0,OOM,7.25
2025-05-17 17:07:30,713,1095,942,659,695,1002,675,1052,0,0,OOM,7.5
2025-05-17 17:07:45,755,1002,930,644,676,962,667,1020,0,0,OOM,7.75
2025-05-17 17:08:00,755,981,926,639,675,961,666,983,0,0,OOM,8.0
2025-05-17 17:08:15,863,818,890,592,653,942,656,802,0,0,OOM,8.25
2025-05-17 17:08:30,868,790,883,582,648,928,651,791,0,0,OOM,8.5
2025-05-17 17:08:45,863,836,844,605,637,920,648,815,0,0,OOM,8.75
2025-05-17 17:09:00,861,833,842,607,637,919,651,820,0,0,OOM,9.0
2025-05-17 17:09:15,846,1010,843,656,624,937,699,909,0,0,OOM,9.25
2025-05-17 17:09:30,842,1050,834,665,617,949,705,910,0,0,OOM,9.5
2025-05-17 17:09:45,842,1017,832,677,608,940,676,896,0,0,OOM,9.75
2025-05-17 17:10:00,842,1012,833,684,607,939,649,894,0,0,OOM,10.0
2025-05-17 17:10:15,878,912,877,728,611,998,561,823,0,0,OOM,10.25
2025-05-17 17:10:30,882,904,878,726,611,1003,555,805,0,0,OOM,10.5
2025-05-17 17:10:45,832,915,834,687,607,945,560,801,0,0,OOM,10.75
2025-05-17 17:11:00,808,915,817,668,607,939,559,800,0,0,OOM,11.0
2025-05-17 17:11:15,699,925,660,587,583,775,521,723,0,0,OOM,11.25
2025-05-17 17:11:30,701,923,650,574,581,755,522,716,0,0,OOM,11.5
2025-05-17 17:11:45,661,891,699,593,584,772,538,739,0,0,OOM,11.75
2025-05-17 17:12:00,658,885,701,595,583,772,542,740,0,0,OOM,12.0
2025-05-17 17:12:15,613,851,767,614,522,777,555,792,0,0,OOM,12.25
2025-05-17 17:12:30,619,842,773,615,521,784,558,798,0,0,OOM,12.5
2025-05-17 17:12:45,701,826,770,593,555,804,565,807,0,0,OOM,12.75
2025-05-17 17:13:00,715,826,770,592,556,806,564,808,0,0,OOM,13.0
2025-05-17 17:13:15,855,723,842,540,630,914,541,849,0,0,OOM,13.25
2025-05-17 17:13:30,878,708,846,541,656,922,539,864,0,0,OOM,13.5
2025-05-17 17:13:45,840,750,822,553,649,907,558,881,0,0,OOM,13.75
2025-05-17 17:14:00,817,751,820,555,649,906,563,890,0,0,OOM,14.0
2025-05-17 17:14:15,705,796,762,577,630,838,642,1001,0,0,OOM,14.25
2025-05-17 17:14:30,704,811,754,579,615,830,642,1005,0,0,OOM,14.5
2025-05-17 17:14:45,676,830,765,581,604,818,640,981,0,0,OOM,14.75
2025-05-17 17:15:00,673,838,768,580,601,818,635,974,0,0,OOM,15.0
2025-05-17 17:15:15,658,929,855,575,504,748,570,918,0,0,OOM,15.25
2025-05-17 17:15:30,659,935,863,578,497,741,561,905,0,0,OOM,15.5
2025-05-17 17:15:45,683,933,831,593,510,760,566,895,0,0,OOM,15.75
2025-05-17 17:16:00,686,933,830,601,510,758,569,895,0,0,OOM,16.0
2025-05-17 17:16:15,750,775,725,632,565,745,626,906,0,0,OOM,16.25
2025-05-17 17:16:30,760,775,723,641,567,725,635,909,0,0,OOM,16.5
2025-05-17 17:16:45,814,812,787,686,608,725,680,920,0,0,OOM,16.75
