Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,40,20,60,500,20,40,190,130,0,0,THREADFULL,0.0
2025-05-17 17:00:15,40,20,60,500,20,40,190,130,0,0,THREADFULL,0.25
2025-05-17 17:00:30,40,20,60,500,20,40,190,130,0,0,THREADFULL,0.5
2025-05-17 17:00:45,190,26,68,291,50,94,163,157,0,0,THREADFULL,0.75
2025-05-17 17:01:00,190,26,63,291,45,94,160,157,0,0,THREADFULL,1.0
2025-05-17 17:01:15,267,20,50,186,53,94,125,172,0,0,THREADFULL,1.25
2025-05-17 17:01:30,263,19,45,155,60,107,108,169,0,0,THREADFULL,1.5
2025-05-17 17:01:45,198,19,47,95,66,118,91,133,0,0,THREADFULL,1.75
2025-05-17 17:02:00,189,19,46,95,66,123,91,130,0,0,THREADFULL,2.0
2025-05-17 17:02:15,117,65,53,70,46,176,88,36,0,0,THREADFULL,2.25
2025-05-17 17:02:30,106,76,58,66,38,180,88,31,0,0,THREADFULL,2.5
2025-05-17 17:02:45,92,70,62,65,39,167,89,28,0,0,THREADFULL,2.75
2025-05-17 17:03:00,88,70,62,65,39,165,90,28,0,0,THREADFULL,3.0
2025-05-17 17:03:15,16,60,49,46,39,102,229,11,0,0,THREADFULL,3.25
2025-05-17 17:03:30,7,58,41,39,39,102,247,10,0,0,THREADFULL,3.5
2025-05-17 17:03:45,24,57,44,40,39,98,210,46,0,0,THREADFULL,3.75
2025-05-17 17:04:00,24,57,44,40,39,97,210,50,0,0,THREADFULL,4.0
2025-05-17 17:04:15,24,42,136,93,82,28,136,113,0,0,THREADFULL,4.25
2025-05-17 17:04:30,24,36,161,104,94,26,123,125,0,0,THREADFULL,4.5
2025-05-17 17:04:45,22,34,161,104,97,55,90,146,0,0,THREADFULL,4.75
2025-05-17 17:05:00,23,34,161,104,97,61,90,146,0,0,THREADFULL,5.0
2025-05-17 17:05:15,17,29,150,62,90,107,63,148,0,0,THREADFULL,5.25
2025-05-17 17:05:30,22,26,145,43,87,127,60,144,0,0,THREADFULL,5.5
2025-05-17 17:05:45,64,26,145,40,84,170,58,133,0,0,THREADFULL,5.75
2025-05-17 17:06:00,88,26,144,40,84,170,58,131,0,0,THREADFULL,6.0
2025-05-17 17:06:15,263,20,72,125,78,100,120,124,0,0,THREADFULL,6.25
2025-05-17 17:06:30,264,19,54,137,77,95,137,123,0,0,THREADFULL,6.5
2025-05-17 17:06:45,176,19,44,141,79,100,146,141,0,0,THREADFULL,6.75
2025-05-17 17:07:00,172,19,44,141,79,100,146,146,0,0,THREADFULL,7.0
2025-05-17 17:07:15,46,17,44,76,93,23,157,280,0,0,THREADFULL,7.25
2025-05-17 17:07:30,37,16,44,54,95,16,158,290,0,0,THREADFULL,7.5
2025-05-17 17:07:45,53,16,44,43,97,51,157,233,0,0,THREADFULL,7.75
2025-05-17 17:08:00,54,16,44,43,97,51,157,229,0,0,THREADFULL,8.0
2025-05-17 17:08:15,73,28,226,126,102,7,116,102,0,0,THREADFULL,8.25
2025-05-17 17:08:30,74,36,249,138,104,7,87,85,0,0,THREADFULL,8.5
2025-05-17 17:08:45,76,39,233,143,106,31,81,72,0,0,THREADFULL,8.75
2025-05-17 17:09:00,74,39,233,143,106,31,81,70,0,0,THREADFULL,9.0
2025-05-17 17:09:15,17,39,122,143,101,36,173,13,0,0,THREADFULL,9.25
2025-05-17 17:09:30,11,39,84,143,97,39,177,12,0,0,THREADFULL,9.5
2025-05-17 17:09:45,28,39,62,143,97,82,168,43,0,0,THREADFULL,9.75
2025-05-17 17:10:00,28,39,62,143,97,85,169,47,0,0,THREADFULL,10.0
2025-05-17 17:10:15,8,40,49,121,82,112,122,103,0,0,THREADFULL,10.25
2025-05-17 17:10:30,8,42,40,111,81,128,113,102,0,0,THREADFULL,10.5
2025-05-17 17:10:45,27,42,44,104,82,136,90,100,0,0,THREADFULL,10.75
2025-05-17 17:11:00,31,42,44,104,82,132,90,93,0,0,THREADFULL,11.0
2025-05-17 17:11:15,141,31,93,92,58,27,63,16,0,0,THREADFULL,11.25
2025-05-17 17:11:30,151,18,110,85,42,19,57,14,0,0,THREADFULL,11.5
2025-05-17 17:11:45,159,16,110,86,42,57,56,27,0,0,THREADFULL,11.75
2025-05-17 17:12:00,167,16,110,86,42,74,56,25,0,0,THREADFULL,12.0
2025-05-17 17:12:15,300,25,72,81,69,260,46,2,0,0,THREADFULL,12.25
2025-05-17 17:12:30,306,33,63,80,84,254,43,6,0,0,THREADFULL,12.5
2025-05-17 17:12:45,229,34,62,80,84,192,47,117,0,0,THREADFULL,12.75
2025-05-17 17:13:00,214,34,62,80,84,192,47,127,0,0,THREADFULL,13.0
2025-05-17 17:13:15,64,39,130,84,84,92,167,250,0,0,THREADFULL,13.25
2025-05-17 17:13:30,65,42,140,85,83,88,176,257,0,0,THREADFULL,13.5
2025-05-17 17:13:45,81,42,144,86,83,103,157,245,0,0,THREADFULL,13.75
2025-05-17 17:14:00,81,42,144,86,83,106,157,245,0,0,THREADFULL,14.0
2025-05-17 17:14:15,14,42,127,149,60,231,98,257,0,0,THREADFULL,14.25
