Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-07-10 21:52:45,78.8,81.7,81.7,79.3,82.2,84.3,82.6,78.3,0,0
2025-07-10 21:53:00,78.8,81.7,81.7,79.3,82.2,84.3,82.6,78.3,0,0
2025-07-10 21:53:15,78.8,81.7,81.7,79.3,82.2,84.3,82.6,78.3,0,0
2025-07-10 21:53:30,78.8,81.7,81.7,79.3,82.2,84.3,82.6,78.3,0,0
2025-07-10 21:53:45,56.9,60.6,59.6,62.6,64.6,59.8,63.4,60.3,0,0
2025-07-10 21:54:00,56.9,60.6,59.6,62.6,64.6,59.8,63.4,60.3,0,0
2025-07-10 21:54:15,56.9,60.6,59.6,62.6,64.6,59.8,63.4,60.3,0,0
2025-07-10 21:54:30,56.9,60.6,59.6,62.6,64.6,59.8,63.4,60.3,0,0
2025-07-10 21:54:45,54.9,54.2,55.8,57.8,57.3,54.4,56.9,53.8,0,0
2025-07-10 21:55:00,54.9,54.2,55.8,57.8,57.3,54.4,56.9,53.8,0,0
2025-07-10 21:55:15,54.9,54.2,55.8,57.8,57.3,54.4,56.9,53.8,0,0
2025-07-10 21:55:30,54.9,54.2,55.8,57.8,57.3,54.4,56.9,53.8,0,0
2025-07-10 21:55:45,56.5,56.2,56.0,56.3,57.2,57.2,57.9,56.2,0,0
2025-07-10 21:56:00,56.5,56.2,56.0,56.3,57.2,57.2,57.9,56.2,0,0
2025-07-10 21:56:15,56.5,56.2,56.0,56.3,57.2,57.2,57.9,56.2,0,0
2025-07-10 21:56:30,56.5,56.2,56.0,56.3,57.2,57.2,57.9,56.2,0,0
2025-07-10 21:56:45,64.0,69.1,64.4,65.6,67.5,65.8,65.6,62.7,0,0
2025-07-10 21:57:00,64.0,69.1,64.4,65.6,67.5,65.8,65.6,62.7,0,0
2025-07-10 21:57:15,64.0,69.1,64.4,65.6,67.5,65.8,65.6,62.7,0,0
2025-07-10 21:57:30,64.0,69.1,64.4,65.6,67.5,65.8,65.6,62.7,0,0
2025-07-10 21:57:45,64.0,66.1,65.0,69.8,65.0,62.6,67.4,63.7,0,0
2025-07-10 21:58:00,64.0,66.1,65.0,69.8,65.0,62.6,67.4,63.7,0,0
2025-07-10 21:58:15,64.0,66.1,65.0,69.8,65.0,62.6,67.4,63.7,0,0
2025-07-10 21:58:30,64.0,66.1,65.0,69.8,65.0,62.6,67.4,63.7,0,0
2025-07-10 21:58:45,67.4,72.8,71.5,70.7,72.2,69.2,73.3,70.5,0,0
2025-07-10 21:59:00,67.4,72.8,71.5,70.7,72.2,69.2,73.3,70.5,0,0
2025-07-10 21:59:15,67.4,72.8,71.5,70.7,72.2,69.2,73.3,70.5,0,0
