Time,mem_available,source,Minutes
2025-07-15 17:24:15,16443300,threadfull,0.0
2025-07-15 17:24:30,16443300,threadfull,0.25
2025-07-15 17:24:45,16443300,threadfull,0.5
2025-07-15 17:25:00,15791653,threadfull,0.75
2025-07-15 17:25:15,15791224,threadfull,1.0
2025-07-15 17:25:30,15803659,threadfull,1.25
2025-07-15 17:25:45,15724094,threadfull,1.5
2025-07-15 17:26:00,15560365,threadfull,1.75
2025-07-15 17:26:15,15496450,threadfull,2.0
2025-07-15 17:26:30,15338757,threadfull,2.25
2025-07-15 17:26:45,15223725,threadfull,2.5
2025-07-15 17:27:00,15164815,threadfull,2.75
2025-07-15 17:27:15,15158728,threadfull,3.0
2025-07-15 17:27:30,15040099,threadfull,3.25
2025-07-15 17:27:45,14980682,threadfull,3.5
2025-07-15 17:28:00,14851656,threadfull,3.75
2025-07-15 17:28:15,14744366,threadfull,4.0
2025-07-15 17:28:30,14542198,threadfull,4.25
2025-07-15 17:28:45,14404082,threadfull,4.5
2025-07-15 17:29:00,14280915,threadfull,4.75
2025-07-15 17:29:15,14249955,threadfull,5.0
2025-07-15 17:29:30,14177220,threadfull,5.25
2025-07-15 17:29:45,14112471,threadfull,5.5
2025-07-15 17:30:00,14013446,threadfull,5.75
2025-07-15 17:30:15,14000023,threadfull,6.0
2025-07-15 17:30:30,13963196,threadfull,6.25
2025-07-15 17:30:45,13905421,threadfull,6.5
2025-07-15 17:31:00,13851037,threadfull,6.75
2025-07-15 17:31:15,13833392,threadfull,7.0
2025-07-15 17:31:30,13772132,threadfull,7.25
2025-07-15 17:31:45,13737487,threadfull,7.5
2025-07-15 17:32:00,13733413,threadfull,7.75
2025-07-15 17:32:15,13731486,threadfull,8.0
2025-07-15 17:32:30,13716990,threadfull,8.25
2025-07-15 17:32:45,13646769,threadfull,8.5
2025-07-15 17:33:00,13574982,threadfull,8.75
2025-07-15 17:33:15,13551154,threadfull,9.0
2025-07-15 17:33:30,13345853,threadfull,9.25
2025-07-15 17:33:45,13287597,threadfull,9.5
2025-07-15 17:34:00,13281451,threadfull,9.75
2025-07-15 17:34:15,13274268,threadfull,10.0
2025-07-15 17:34:30,13200897,threadfull,10.25
2025-07-15 17:34:45,13182483,threadfull,10.5
2025-07-15 17:35:00,13177721,threadfull,10.75
2025-07-15 17:35:15,13175699,threadfull,11.0
2025-07-15 17:35:30,13175896,threadfull,11.25
2025-07-15 17:35:45,13151973,threadfull,11.5
2025-07-15 17:36:00,13123807,threadfull,11.75
2025-07-15 17:36:15,13107099,threadfull,12.0
2025-07-15 17:36:30,13018567,threadfull,12.25
2025-07-15 17:36:45,12987183,threadfull,12.5
2025-07-15 17:37:00,12985585,threadfull,12.75
2025-07-15 17:37:15,12978406,threadfull,13.0
2025-07-15 17:37:30,12932616,threadfull,13.25
2025-07-15 17:37:45,12898131,threadfull,13.5
2025-07-15 17:38:00,12869678,threadfull,13.75
2025-07-15 17:38:15,12847329,threadfull,14.0
2025-07-15 17:38:30,12789910,threadfull,14.25
2025-07-15 17:38:45,12765199,threadfull,14.5
2025-07-15 17:39:00,12759548,threadfull,14.75
2025-07-15 17:39:15,12756588,threadfull,15.0
2025-07-15 17:39:30,12729631,threadfull,15.25
2025-07-15 17:39:45,12714322,threadfull,15.5
2025-07-15 17:40:00,12674191,threadfull,15.75
2025-07-15 17:40:15,12648819,threadfull,16.0
2025-07-15 17:40:30,12597456,threadfull,16.25
2025-07-15 17:40:45,12581203,threadfull,16.5
2025-07-15 17:41:00,12572325,threadfull,16.75
2025-07-15 17:41:15,12572906,threadfull,17.0
2025-07-15 17:41:30,12577788,threadfull,17.25
2025-07-15 17:41:45,12575194,threadfull,17.5
2025-07-15 17:42:00,12568955,threadfull,17.75
2025-07-15 17:42:15,12567439,threadfull,18.0
2025-07-15 17:42:30,12555854,threadfull,18.25
2025-07-15 17:42:45,12537190,threadfull,18.5
2025-07-15 17:43:00,12523394,threadfull,18.75
2025-07-15 17:43:15,12503949,threadfull,19.0
2025-07-15 17:43:30,12438273,threadfull,19.25
2025-07-15 17:43:45,12421643,threadfull,19.5
2025-07-15 17:44:00,12419025,threadfull,19.75
2025-07-15 17:44:15,12417705,threadfull,20.0
2025-07-15 17:44:30,12420670,threadfull,20.25
2025-07-15 17:44:45,12418206,threadfull,20.5
2025-07-15 17:45:00,12414480,threadfull,20.75
2025-07-15 17:45:15,12413203,threadfull,21.0
2025-07-15 17:45:30,12413445,threadfull,21.25
2025-07-15 17:45:45,12403832,threadfull,21.5
2025-07-15 17:46:00,12372251,threadfull,21.75
2025-07-15 17:46:15,12354479,threadfull,22.0
2025-07-15 17:46:30,12290101,threadfull,22.25
2025-07-15 17:46:45,12260549,threadfull,22.5
2025-07-15 17:47:00,12254992,threadfull,22.75
2025-07-15 17:47:15,12252557,threadfull,23.0
2025-07-15 17:47:30,12248906,threadfull,23.25
2025-07-15 17:47:45,12249751,threadfull,23.5
2025-07-15 17:48:00,12252874,threadfull,23.75
2025-07-15 17:48:15,12251589,threadfull,24.0
2025-07-15 17:48:30,12244183,threadfull,24.25
2025-07-15 17:48:45,12235355,threadfull,24.5
2025-07-15 17:49:00,12215262,threadfull,24.75
2025-07-15 17:49:15,12199185,threadfull,25.0
2025-07-15 17:49:30,12131649,threadfull,25.25
2025-07-15 17:49:45,12100239,threadfull,25.5
2025-07-15 17:50:00,12066247,threadfull,25.75
2025-07-15 17:50:15,12055572,threadfull,26.0
2025-07-15 17:50:30,12009861,threadfull,26.25
2025-07-15 17:50:45,11995693,threadfull,26.5
2025-07-15 17:51:00,11975308,threadfull,26.75
2025-07-15 17:51:15,11974233,threadfull,27.0
2025-07-15 17:51:30,11965018,threadfull,27.25
2025-07-15 17:51:45,11891332,threadfull,27.5
2025-07-15 17:52:00,11917313,threadfull,27.75
2025-07-15 17:52:15,11917522,threadfull,28.0
2025-07-15 17:52:30,11918583,threadfull,28.25
2025-07-15 17:52:45,11819852,threadfull,28.5
2025-07-15 17:53:00,11555264,threadfull,28.75
2025-07-15 17:53:15,11328912,threadfull,29.0
2025-07-15 17:53:30,10530973,threadfull,29.25
2025-07-15 17:53:45,10264454,threadfull,29.5
