Time,mem_cache,source,Minutes
2025-07-15 17:24:15,6972300,threadfull,0.0
2025-07-15 17:24:30,6972300,threadfull,0.25
2025-07-15 17:24:45,6972300,threadfull,0.5
2025-07-15 17:25:00,6978844,threadfull,0.75
2025-07-15 17:25:15,6978844,threadfull,1.0
2025-07-15 17:25:30,6978661,threadfull,1.25
2025-07-15 17:25:45,6978732,threadfull,1.5
2025-07-15 17:26:00,6979504,threadfull,1.75
2025-07-15 17:26:15,6979983,threadfull,2.0
2025-07-15 17:26:30,6980385,threadfull,2.25
2025-07-15 17:26:45,6980785,threadfull,2.5
2025-07-15 17:27:00,6981426,threadfull,2.75
2025-07-15 17:27:15,6981980,threadfull,3.0
2025-07-15 17:27:30,6982616,threadfull,3.25
2025-07-15 17:27:45,6982897,threadfull,3.5
2025-07-15 17:28:00,6983354,threadfull,3.75
2025-07-15 17:28:15,6983883,threadfull,4.0
2025-07-15 17:28:30,6984315,threadfull,4.25
2025-07-15 17:28:45,6984632,threadfull,4.5
2025-07-15 17:29:00,6985338,threadfull,4.75
2025-07-15 17:29:15,6985906,threadfull,5.0
2025-07-15 17:29:30,6986222,threadfull,5.25
2025-07-15 17:29:45,6986724,threadfull,5.5
2025-07-15 17:30:00,6987318,threadfull,5.75
2025-07-15 17:30:15,6987887,threadfull,6.0
2025-07-15 17:30:30,6988479,threadfull,6.25
2025-07-15 17:30:45,6988805,threadfull,6.5
2025-07-15 17:31:00,6989307,threadfull,6.75
2025-07-15 17:31:15,6989842,threadfull,7.0
2025-07-15 17:31:30,6990229,threadfull,7.25
2025-07-15 17:31:45,6990592,threadfull,7.5
2025-07-15 17:32:00,6991296,threadfull,7.75
2025-07-15 17:32:15,6991750,threadfull,8.0
2025-07-15 17:32:30,6991897,threadfull,8.25
2025-07-15 17:32:45,6992292,threadfull,8.5
2025-07-15 17:33:00,6992921,threadfull,8.75
2025-07-15 17:33:15,6993270,threadfull,9.0
2025-07-15 17:33:30,6993535,threadfull,9.25
2025-07-15 17:33:45,6993882,threadfull,9.5
2025-07-15 17:34:00,6994384,threadfull,9.75
2025-07-15 17:34:15,6994792,threadfull,10.0
2025-07-15 17:34:30,6995172,threadfull,10.25
2025-07-15 17:34:45,6995408,threadfull,10.5
2025-07-15 17:35:00,6995527,threadfull,10.75
2025-07-15 17:35:15,6995847,threadfull,11.0
2025-07-15 17:35:30,6996355,threadfull,11.25
2025-07-15 17:35:45,6996623,threadfull,11.5
2025-07-15 17:36:00,6996731,threadfull,11.75
2025-07-15 17:36:15,6997002,threadfull,12.0
2025-07-15 17:36:30,6997636,threadfull,12.25
2025-07-15 17:36:45,6997958,threadfull,12.5
2025-07-15 17:37:00,6998459,threadfull,12.75
