Time,visits_service,source,Minutes
2025-05-17 16:31:30,0,OOM,0.0
2025-05-17 16:31:45,0,OOM,0.25
2025-05-17 16:32:00,0,OOM,0.5
2025-05-17 16:32:15,0,OOM,0.75
2025-05-17 16:32:30,0,OOM,1.0
2025-05-17 16:32:45,0,OOM,1.25
2025-05-17 16:33:00,0,OOM,1.5
2025-05-17 16:33:15,0,OOM,1.75
2025-05-17 16:33:30,0,OOM,2.0
2025-05-17 16:33:45,0,OOM,2.25
2025-05-17 16:34:00,0,OOM,2.5
2025-05-17 16:34:15,0,OOM,2.75
2025-05-17 16:34:30,0,OOM,3.0
2025-05-17 16:34:45,0,OOM,3.25
2025-05-17 16:35:00,0,OOM,3.5
2025-05-17 16:35:15,0,OOM,3.75
2025-05-17 16:35:30,0,OOM,4.0
2025-05-17 16:35:45,0,OOM,4.25
2025-05-17 16:36:00,0,OOM,4.5
2025-05-17 16:36:15,0,OOM,4.75
2025-05-17 16:36:30,0,OOM,5.0
2025-05-17 16:36:45,0,OOM,5.25
2025-05-17 16:37:00,0,OOM,5.5
2025-05-17 16:37:15,0,OOM,5.75
2025-05-17 16:37:30,0,OOM,6.0
2025-05-17 16:37:45,0,OOM,6.25
2025-05-17 16:38:00,0,OOM,6.5
2025-05-17 16:38:15,0,OOM,6.75
2025-05-17 16:38:30,0,OOM,7.0
2025-05-17 16:38:45,0,OOM,7.25
2025-05-17 16:39:00,0,OOM,7.5
2025-05-17 16:39:15,0,OOM,7.75
2025-05-17 16:39:30,0,OOM,8.0
2025-05-17 16:39:45,0,OOM,8.25
2025-05-17 16:40:00,0,OOM,8.5
2025-05-17 16:40:15,0,OOM,8.75
2025-05-17 16:40:30,0,OOM,9.0
2025-05-17 16:40:45,0,OOM,9.25
2025-05-17 16:41:00,0,OOM,9.5
2025-05-17 16:41:15,0,OOM,9.75
2025-05-17 16:41:30,0,OOM,10.0
2025-05-17 16:41:45,0,OOM,10.25
2025-05-17 16:42:00,0,OOM,10.5
2025-05-17 16:42:15,0,OOM,10.75
2025-05-17 16:42:30,0,OOM,11.0
2025-05-17 16:42:45,0,OOM,11.25
2025-05-17 16:43:00,0,OOM,11.5
2025-05-17 16:43:15,0,OOM,11.75
2025-05-17 16:43:30,0,OOM,12.0
2025-05-17 16:43:45,0,OOM,12.25
2025-05-17 16:44:00,0,OOM,12.5
2025-05-17 16:44:15,0,OOM,12.75
2025-05-17 16:44:30,0,OOM,13.0
2025-05-17 16:44:45,0,OOM,13.25
2025-05-17 16:45:00,0,OOM,13.5
2025-05-17 16:45:15,0,OOM,13.75
2025-05-17 16:45:30,0,OOM,14.0
2025-05-17 16:45:45,0,OOM,14.25
2025-05-17 16:46:00,0,OOM,14.5
2025-05-17 16:46:15,0,OOM,14.75
2025-05-17 16:46:30,0,OOM,15.0
2025-05-17 16:46:45,0,OOM,15.25
2025-05-17 16:47:00,0,OOM,15.5
2025-05-17 16:47:15,0,OOM,15.75
2025-05-17 16:47:30,0,OOM,16.0
2025-05-17 16:47:45,0,OOM,16.25
2025-05-17 16:48:00,0,OOM,16.5
2025-05-17 16:48:15,0,OOM,16.75
2025-05-17 16:48:30,0,OOM,17.0
2025-05-17 16:48:45,0,OOM,17.25
2025-05-17 16:49:00,0,OOM,17.5
2025-05-17 16:49:15,0,OOM,17.75
2025-05-17 16:49:30,0,OOM,18.0
2025-05-17 16:49:45,0,OOM,18.25
2025-05-17 16:50:00,0,OOM,18.5
2025-05-17 16:50:15,0,OOM,18.75
2025-05-17 16:50:30,0,OOM,19.0
2025-05-17 16:50:45,0,OOM,19.25
2025-05-17 16:51:00,0,OOM,19.5
2025-05-17 16:51:15,0,OOM,19.75
2025-05-17 16:51:30,0,OOM,20.0
2025-05-17 16:51:45,0,OOM,20.25
2025-05-17 16:52:00,0,OOM,20.5
2025-05-17 16:52:15,0,OOM,20.75
2025-05-17 16:52:30,0,OOM,21.0
2025-05-17 16:52:45,0,OOM,21.25
2025-05-17 16:53:00,0,OOM,21.5
2025-05-17 16:53:15,0,OOM,21.75
2025-05-17 16:53:30,0,OOM,22.0
2025-05-17 16:53:45,0,OOM,22.25
2025-05-17 16:54:00,0,OOM,22.5
2025-05-17 16:54:15,0,OOM,22.75
2025-05-17 16:54:30,0,OOM,23.0
2025-05-17 16:54:45,0,OOM,23.25
2025-05-17 16:55:00,0,OOM,23.5
2025-05-17 16:55:15,0,OOM,23.75
2025-05-17 16:55:30,0,OOM,24.0
2025-05-17 16:55:45,0,OOM,24.25
2025-05-17 16:56:00,0,OOM,24.5
2025-05-17 16:56:15,0,OOM,24.75
2025-05-17 16:56:30,0,OOM,25.0
2025-05-17 16:56:45,0,OOM,25.25
2025-05-17 16:57:00,0,OOM,25.5
2025-05-17 16:57:15,0,OOM,25.75
2025-05-17 16:57:30,0,OOM,26.0
2025-05-17 16:57:45,0,OOM,26.25
2025-05-17 16:58:00,0,OOM,26.5
2025-05-17 16:58:15,0,OOM,26.75
2025-05-17 16:58:30,0,OOM,27.0
2025-05-17 16:58:45,0,OOM,27.25
2025-05-17 16:59:00,0,OOM,27.5
2025-05-17 16:59:15,0,OOM,27.75
2025-05-17 16:59:30,0,OOM,28.0
2025-05-17 16:59:45,0,OOM,28.25
2025-05-17 17:00:00,0,OOM,28.5
2025-05-17 17:00:15,0,OOM,28.75
2025-05-17 17:00:30,0,OOM,29.0
2025-05-17 17:00:45,0,OOM,29.25
2025-05-17 17:01:00,0,OOM,29.5
2025-05-17 17:01:15,0,OOM,29.75
2025-05-17 17:01:30,0,OOM,30.0
2025-05-17 17:01:45,0,OOM,30.25
2025-05-17 17:02:00,0,OOM,30.5
2025-05-17 17:02:15,0,OOM,30.75
2025-05-17 17:02:30,0,OOM,31.0
2025-05-17 17:02:45,0,OOM,31.25
2025-05-17 17:03:00,0,OOM,31.5
2025-05-17 17:03:15,0,OOM,31.75
2025-05-17 17:03:30,0,OOM,32.0
2025-05-17 17:03:45,0,OOM,32.25
2025-05-17 17:04:00,0,OOM,32.5
2025-05-17 17:04:15,0,OOM,32.75
2025-05-17 17:04:30,0,OOM,33.0
2025-05-17 17:04:45,0,OOM,33.25
2025-05-17 17:05:00,0,OOM,33.5
2025-05-17 17:05:15,0,OOM,33.75
2025-05-17 17:05:30,0,OOM,34.0
2025-05-17 17:05:45,0,OOM,34.25
2025-05-17 17:06:00,0,OOM,34.5
2025-05-17 17:06:15,0,OOM,34.75
2025-05-17 17:06:30,0,OOM,35.0
2025-05-17 17:06:45,0,OOM,35.25
2025-05-17 17:07:00,0,OOM,35.5
2025-05-17 17:07:15,0,OOM,35.75
2025-05-17 17:07:30,0,OOM,36.0
2025-05-17 17:07:45,0,OOM,36.25
2025-05-17 17:08:00,0,OOM,36.5
2025-05-17 17:08:15,0,OOM,36.75
2025-05-17 17:08:30,0,OOM,37.0
2025-05-17 17:08:45,0,OOM,37.25
2025-05-17 17:09:00,0,OOM,37.5
2025-05-17 17:09:15,0,OOM,37.75
2025-05-17 17:09:30,0,OOM,38.0
2025-05-17 17:09:45,0,OOM,38.25
2025-05-17 17:10:00,0,OOM,38.5
2025-05-17 17:10:15,0,OOM,38.75
2025-05-17 17:10:30,0,OOM,39.0
2025-05-17 17:10:45,0,OOM,39.25
2025-05-17 17:11:00,0,OOM,39.5
2025-05-17 17:11:15,0,OOM,39.75
2025-05-17 17:11:30,0,OOM,40.0
2025-05-17 17:11:45,0,OOM,40.25
2025-05-17 17:12:00,0,OOM,40.5
2025-05-17 17:12:15,0,OOM,40.75
2025-05-17 17:12:30,0,OOM,41.0
2025-05-17 17:12:45,0,OOM,41.25
2025-05-17 17:13:00,0,OOM,41.5
2025-05-17 17:13:15,0,OOM,41.75
2025-05-17 17:13:30,0,OOM,42.0
2025-05-17 17:13:45,0,OOM,42.25
2025-05-17 17:14:00,0,OOM,42.5
2025-05-17 17:14:15,0,OOM,42.75
2025-05-17 17:14:30,0,OOM,43.0
2025-05-17 17:14:45,0,OOM,43.25
2025-05-17 17:15:00,0,OOM,43.5
2025-05-17 17:15:15,0,OOM,43.75
2025-05-17 17:15:30,0,OOM,44.0
2025-05-17 17:15:45,0,OOM,44.25
2025-05-17 17:16:00,0,OOM,44.5
2025-05-17 17:16:15,0,OOM,44.75
2025-05-17 17:16:30,0,OOM,45.0
2025-05-17 17:16:45,0,OOM,45.25
2025-05-17 17:17:00,0,OOM,45.5
2025-05-17 17:17:15,0,OOM,45.75
2025-05-17 17:17:30,0,OOM,46.0
