Time,vets_service,source,Minutes
2025-05-17 16:39:45,0,THREADFULL,0.0
2025-05-17 16:40:00,0,THREADFULL,0.25
2025-05-17 16:40:15,0,THREADFULL,0.5
2025-05-17 16:40:30,0,THREADFULL,0.75
2025-05-17 16:40:45,0,THREADFULL,1.0
2025-05-17 16:41:00,0,THREADFULL,1.25
2025-05-17 16:41:15,0,THREADFULL,1.5
2025-05-17 16:41:30,0,THREADFULL,1.75
2025-05-17 16:41:45,0,THREADFULL,2.0
2025-05-17 16:42:00,0,THREADFULL,2.25
2025-05-17 16:42:15,0,THREADFULL,2.5
2025-05-17 16:42:30,0,THREADFULL,2.75
2025-05-17 16:42:45,0,THREADFULL,3.0
2025-05-17 16:43:00,0,THREADFULL,3.25
2025-05-17 16:43:15,0,THREADFULL,3.5
2025-05-17 16:43:30,0,THREADFULL,3.75
2025-05-17 16:43:45,0,THREADFULL,4.0
2025-05-17 16:44:00,0,THREADFULL,4.25
2025-05-17 16:44:15,0,THREADFULL,4.5
2025-05-17 16:44:30,0,THREADFULL,4.75
2025-05-17 16:47:45,0,THREADFULL,8.0
2025-05-17 16:48:00,0,THREADFULL,8.25
2025-05-17 16:48:15,0,THREADFULL,8.5
2025-05-17 16:48:30,0,THREADFULL,8.75
2025-05-17 16:48:45,0,THREADFULL,9.0
2025-05-17 16:49:00,0,THREADFULL,9.25
2025-05-17 16:49:15,0,THREADFULL,9.5
2025-05-17 16:49:30,0,THREADFULL,9.75
2025-05-17 16:49:45,0,THREADFULL,10.0
2025-05-17 16:50:00,0,THREADFULL,10.25
2025-05-17 16:50:15,0,THREADFULL,10.5
2025-05-17 16:50:30,0,THREADFULL,10.75
2025-05-17 16:50:45,0,THREADFULL,11.0
2025-05-17 16:51:00,0,THREADFULL,11.25
2025-05-17 16:51:15,0,THREADFULL,11.5
2025-05-17 16:51:30,0,THREADFULL,11.75
2025-05-17 16:51:45,0,THREADFULL,12.0
2025-05-17 16:52:00,0,THREADFULL,12.25
2025-05-17 16:52:15,0,THREADFULL,12.5
2025-05-17 16:52:30,0,THREADFULL,12.75
2025-05-17 16:59:45,0,THREADFULL,20.0
2025-05-17 17:00:00,0,THREADFULL,20.25
2025-05-17 17:00:15,0,THREADFULL,20.5
2025-05-17 17:00:30,0,THREADFULL,20.75
2025-05-17 17:00:45,0,THREADFULL,21.0
2025-05-17 17:01:00,0,THREADFULL,21.25
2025-05-17 17:01:15,0,THREADFULL,21.5
2025-05-17 17:01:30,0,THREADFULL,21.75
2025-05-17 17:01:45,0,THREADFULL,22.0
2025-05-17 17:02:00,0,THREADFULL,22.25
2025-05-17 17:02:15,0,THREADFULL,22.5
2025-05-17 17:02:30,0,THREADFULL,22.75
2025-05-17 17:02:45,0,THREADFULL,23.0
2025-05-17 17:03:00,0,THREADFULL,23.25
2025-05-17 17:03:15,0,THREADFULL,23.5
2025-05-17 17:03:30,0,THREADFULL,23.75
2025-05-17 17:03:45,0,THREADFULL,24.0
2025-05-17 17:04:00,0,THREADFULL,24.25
2025-05-17 17:04:15,0,THREADFULL,24.5
2025-05-17 17:04:30,0,THREADFULL,24.75
2025-05-17 17:13:45,0,THREADFULL,34.0
2025-05-17 17:14:00,0,THREADFULL,34.25
2025-05-17 17:14:15,0,THREADFULL,34.5
2025-05-17 17:14:30,0,THREADFULL,34.75
2025-05-17 17:14:45,0,THREADFULL,35.0
2025-05-17 17:15:00,0,THREADFULL,35.25
2025-05-17 17:15:15,0,THREADFULL,35.5
2025-05-17 17:15:30,0,THREADFULL,35.75
2025-05-17 17:15:45,0,THREADFULL,36.0
2025-05-17 17:16:00,0,THREADFULL,36.25
2025-05-17 17:16:15,0,THREADFULL,36.5
2025-05-17 17:16:30,0,THREADFULL,36.75
2025-05-17 17:16:45,0,THREADFULL,37.0
2025-05-17 17:17:00,0,THREADFULL,37.25
2025-05-17 17:17:15,0,THREADFULL,37.5
2025-05-17 17:17:30,0,THREADFULL,37.75
2025-05-17 17:17:45,0,THREADFULL,38.0
2025-05-17 17:18:00,6,THREADFULL,38.25
2025-05-17 17:18:15,6,THREADFULL,38.5
2025-05-17 17:18:30,6,THREADFULL,38.75
2025-05-17 17:18:45,2,THREADFULL,39.0
2025-05-17 17:19:00,2,THREADFULL,39.25
2025-05-17 17:19:15,2,THREADFULL,39.5
2025-05-17 17:19:30,2,THREADFULL,39.75
2025-05-17 17:19:45,2,THREADFULL,40.0
2025-05-17 17:20:00,0,THREADFULL,40.25
2025-05-17 17:20:15,0,THREADFULL,40.5
2025-05-17 17:20:30,0,THREADFULL,40.75
2025-05-17 17:20:45,0,THREADFULL,41.0
2025-05-17 17:21:00,0,THREADFULL,41.25
2025-05-17 17:21:15,0,THREADFULL,41.5
2025-05-17 17:21:30,0,THREADFULL,41.75
2025-05-17 17:21:45,0,THREADFULL,42.0
2025-05-17 17:22:00,0,THREADFULL,42.25
2025-05-17 17:22:15,0,THREADFULL,42.5
2025-05-17 17:22:30,0,THREADFULL,42.75
2025-05-17 17:22:45,0,THREADFULL,43.0
2025-05-17 17:23:00,0,THREADFULL,43.25
2025-05-17 17:23:15,0,THREADFULL,43.5
2025-05-17 17:23:30,0,THREADFULL,43.75
2025-05-17 17:23:45,0,THREADFULL,44.0
2025-05-17 17:24:00,0,THREADFULL,44.25
2025-05-17 17:24:15,0,THREADFULL,44.5
2025-05-17 17:24:30,0,THREADFULL,44.75
2025-05-17 17:24:45,0,THREADFULL,45.0
2025-05-17 17:25:00,0,THREADFULL,45.25
2025-05-17 17:25:15,0,THREADFULL,45.5
2025-05-17 17:25:30,0,THREADFULL,45.75
2025-05-17 17:25:45,0,THREADFULL,46.0
2025-05-17 17:26:00,0,THREADFULL,46.25
2025-05-17 17:26:15,0,THREADFULL,46.5
2025-05-17 17:26:30,0,THREADFULL,46.75
2025-05-17 17:26:45,0,THREADFULL,47.0
2025-05-17 17:41:00,0,THREADFULL,61.25
2025-05-17 17:41:15,0,THREADFULL,61.5
2025-05-17 17:41:30,0,THREADFULL,61.75
2025-05-17 17:41:45,0,THREADFULL,62.0
2025-05-17 17:42:00,0,THREADFULL,62.25
2025-05-17 17:42:15,0,THREADFULL,62.5
2025-05-17 17:42:30,0,THREADFULL,62.75
2025-05-17 17:42:45,0,THREADFULL,63.0
2025-05-17 17:43:00,0,THREADFULL,63.25
2025-05-17 17:43:15,0,THREADFULL,63.5
2025-05-17 17:43:30,0,THREADFULL,63.75
2025-05-17 17:43:45,0,THREADFULL,64.0
2025-05-17 17:44:00,0,THREADFULL,64.25
2025-05-17 17:44:15,0,THREADFULL,64.5
2025-05-17 17:44:30,0,THREADFULL,64.75
2025-05-17 17:44:45,0,THREADFULL,65.0
2025-05-17 17:45:00,0,THREADFULL,65.25
2025-05-17 17:45:15,0,THREADFULL,65.5
2025-05-17 17:45:30,0,THREADFULL,65.75
2025-05-17 17:45:45,0,THREADFULL,66.0
2025-05-17 17:47:00,7,THREADFULL,67.25
2025-05-17 17:47:15,7,THREADFULL,67.5
2025-05-17 17:47:30,7,THREADFULL,67.75
2025-05-17 17:47:45,7,THREADFULL,68.0
2025-05-17 17:48:00,1,THREADFULL,68.25
2025-05-17 17:48:15,1,THREADFULL,68.5
2025-05-17 17:48:30,1,THREADFULL,68.75
2025-05-17 17:48:45,1,THREADFULL,69.0
2025-05-17 17:49:00,0,THREADFULL,69.25
2025-05-17 17:49:15,0,THREADFULL,69.5
2025-05-17 17:49:30,0,THREADFULL,69.75
2025-05-17 17:49:45,0,THREADFULL,70.0
2025-05-17 17:50:00,0,THREADFULL,70.25
2025-05-17 17:50:15,0,THREADFULL,70.5
2025-05-17 17:50:30,0,THREADFULL,70.75
2025-05-17 17:50:45,0,THREADFULL,71.0
2025-05-17 17:51:00,0,THREADFULL,71.25
2025-05-17 17:51:15,0,THREADFULL,71.5
2025-05-17 17:51:30,0,THREADFULL,71.75
2025-05-17 17:51:45,0,THREADFULL,72.0
2025-05-17 17:52:00,0,THREADFULL,72.25
2025-05-17 17:52:15,0,THREADFULL,72.5
2025-05-17 17:52:30,0,THREADFULL,72.75
2025-05-17 17:52:45,0,THREADFULL,73.0
2025-05-17 17:53:00,0,THREADFULL,73.25
2025-05-17 17:53:15,0,THREADFULL,73.5
2025-05-17 17:53:30,0,THREADFULL,73.75
2025-05-17 17:53:45,0,THREADFULL,74.0
2025-05-17 17:58:00,0,THREADFULL,78.25
2025-05-17 17:58:15,0,THREADFULL,78.5
2025-05-17 17:58:30,0,THREADFULL,78.75
2025-05-17 17:58:45,0,THREADFULL,79.0
2025-05-17 17:59:00,0,THREADFULL,79.25
2025-05-17 17:59:15,0,THREADFULL,79.5
