Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,10,10,40,40,0,10,70,0,0,0,BASELINE,0.0
2025-05-17 17:00:15,10,10,40,40,0,10,70,0,0,0,BASELINE,0.25
2025-05-17 17:00:30,20,10,10,10,80,30,110,40,0,0,BASELINE,0.5
2025-05-17 17:00:45,29,19,38,22,80,32,111,42,0,0,BASELINE,0.75
2025-05-17 17:01:00,30,19,33,18,78,34,112,42,0,0,BASELINE,1.0
2025-05-17 17:01:15,48,20,44,45,77,105,94,98,0,0,BASELINE,1.25
2025-05-17 17:01:30,47,24,44,48,71,105,86,100,0,0,BASELINE,1.5
2025-05-17 17:01:45,17,38,166,103,13,263,14,192,0,0,BASELINE,1.75
2025-05-17 17:02:00,16,39,169,113,11,265,15,186,0,0,BASELINE,2.0
2025-05-17 17:02:15,58,31,156,187,60,177,78,118,0,0,BASELINE,2.25
2025-05-17 17:02:30,58,32,156,188,82,177,83,117,0,0,BASELINE,2.5
2025-05-17 17:02:45,71,20,138,389,178,38,244,35,0,0,BASELINE,2.75
2025-05-17 17:03:00,74,20,127,408,177,25,250,32,0,0,BASELINE,3.0
2025-05-17 17:03:15,70,14,127,348,162,32,187,44,0,0,BASELINE,3.25
2025-05-17 17:03:30,68,14,128,347,162,32,180,44,0,0,BASELINE,3.5
2025-05-17 17:03:45,11,10,227,326,162,13,99,7,0,0,BASELINE,3.75
2025-05-17 17:04:00,13,11,236,301,162,13,95,7,0,0,BASELINE,4.0
2025-05-17 17:04:15,66,26,219,258,161,82,104,54,0,0,BASELINE,4.25
2025-05-17 17:04:30,66,29,219,245,153,82,103,57,0,0,BASELINE,4.5
2025-05-17 17:04:45,251,37,120,114,79,43,102,253,0,0,BASELINE,4.75
2025-05-17 17:05:00,248,39,107,119,78,48,100,252,0,0,BASELINE,5.0
2025-05-17 17:05:15,178,32,101,140,92,72,103,199,0,0,BASELINE,5.25
2025-05-17 17:05:30,173,30,101,142,93,72,104,199,0,0,BASELINE,5.5
2025-05-17 17:05:45,157,20,143,278,102,181,117,154,0,0,BASELINE,5.75
2025-05-17 17:06:00,155,19,153,267,109,182,116,150,0,0,BASELINE,6.0
2025-05-17 17:06:15,150,13,149,213,127,162,97,118,0,0,BASELINE,6.25
2025-05-17 17:06:30,152,11,149,204,129,161,96,115,0,0,BASELINE,6.5
2025-05-17 17:06:45,231,1,153,107,163,115,36,46,0,0,BASELINE,6.75
2025-05-17 17:07:00,234,1,151,115,166,117,33,46,0,0,BASELINE,7.0
2025-05-17 17:07:15,172,21,147,108,155,146,63,94,0,0,BASELINE,7.25
2025-05-17 17:07:30,172,22,145,108,153,153,63,103,0,0,BASELINE,7.5
2025-05-17 17:07:45,84,29,61,86,42,378,175,125,0,0,BASELINE,7.75
2025-05-17 17:08:00,78,31,54,82,34,377,172,127,0,0,BASELINE,8.0
2025-05-17 17:08:15,67,41,56,85,85,271,140,115,0,0,BASELINE,8.25
2025-05-17 17:08:30,68,42,56,85,120,244,140,113,0,0,BASELINE,8.5
2025-05-17 17:08:45,32,76,50,88,268,64,45,47,0,0,BASELINE,8.75
2025-05-17 17:09:00,32,75,52,91,266,55,35,47,0,0,BASELINE,9.0
2025-05-17 17:09:15,48,64,61,96,297,60,59,98,0,0,BASELINE,9.25
2025-05-17 17:09:30,48,62,61,97,328,57,59,100,0,0,BASELINE,9.5
2025-05-17 17:09:45,57,41,48,112,458,15,5,229,0,0,BASELINE,9.75
2025-05-17 17:10:00,60,39,46,114,480,16,5,236,0,0,BASELINE,10.0
2025-05-17 17:10:15,100,32,59,104,377,96,44,175,0,0,BASELINE,10.25
2025-05-17 17:10:30,102,32,59,104,252,113,44,174,0,0,BASELINE,10.5
2025-05-17 17:10:45,286,12,75,151,81,351,54,123,0,0,BASELINE,10.75
2025-05-17 17:11:00,295,12,90,151,70,334,58,116,0,0,BASELINE,11.0
2025-05-17 17:11:15,196,30,96,144,60,223,72,96,0,0,BASELINE,11.25
2025-05-17 17:11:30,196,32,96,144,60,216,72,96,0,0,BASELINE,11.5
2025-05-17 17:11:45,34,68,43,181,26,28,69,10,0,0,BASELINE,11.75
2025-05-17 17:12:00,24,68,34,183,30,32,72,6,0,0,BASELINE,12.0
2025-05-17 17:12:15,46,49,43,162,69,31,79,54,0,0,BASELINE,12.25
2025-05-17 17:12:30,45,48,43,160,77,31,79,55,0,0,BASELINE,12.5
2025-05-17 17:12:45,44,21,34,146,191,44,79,50,0,0,BASELINE,12.75
2025-05-17 17:13:00,48,19,36,143,191,46,80,55,0,0,BASELINE,13.0
2025-05-17 17:13:15,73,12,47,134,168,50,81,59,0,0,BASELINE,13.25
2025-05-17 17:13:30,71,13,47,134,161,50,85,59,0,0,BASELINE,13.5
2025-05-17 17:13:45,70,2,74,71,65,9,218,10,0,0,BASELINE,13.75
2025-05-17 17:14:00,70,2,85,67,63,8,215,8,0,0,BASELINE,14.0
2025-05-17 17:14:15,69,21,96,78,83,30,155,52,0,0,BASELINE,14.25
2025-05-17 17:14:30,69,25,96,78,84,30,153,52,0,0,BASELINE,14.5
2025-05-17 17:14:45,29,38,62,79,76,27,69,10,0,0,BASELINE,14.75
2025-05-17 17:15:00,22,39,53,80,78,30,61,9,0,0,BASELINE,15.0
2025-05-17 17:15:15,44,40,61,87,102,72,73,51,0,0,BASELINE,15.25
2025-05-17 17:15:30,44,43,61,88,164,70,84,51,0,0,BASELINE,15.5
2025-05-17 17:15:45,61,59,70,156,456,44,95,4,0,0,BASELINE,15.75
2025-05-17 17:16:00,64,58,86,157,453,47,98,5,0,0,BASELINE,16.0
2025-05-17 17:16:15,77,42,90,142,457,51,103,56,0,0,BASELINE,16.25
2025-05-17 17:16:30,77,41,90,142,462,51,105,57,0,0,BASELINE,16.5
2025-05-17 17:16:45,12,8,117,196,502,33,160,18,0,0,BASELINE,16.75
2025-05-17 17:17:00,9,4,123,197,504,33,161,19,0,0,BASELINE,17.0
2025-05-17 17:17:15,44,27,127,150,408,68,151,49,0,0,BASELINE,17.25
2025-05-17 17:17:30,44,29,127,148,285,69,150,50,0,0,BASELINE,17.5
2025-05-17 17:17:45,92,93,65,87,94,145,150,29,0,0,BASELINE,17.75
2025-05-17 17:18:00,99,96,59,83,89,153,150,31,0,0,BASELINE,18.0
2025-05-17 17:18:15,113,71,61,85,102,141,150,59,0,0,BASELINE,18.25
