Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,4075,4370,4540,7380,7600,4445,7405,4295,0,0,CACHE_FILLING,0.0
2025-05-17 17:00:15,4075,4370,4540,7380,7600,4445,7405,4295,0,0,CACHE_FILLING,0.25
2025-05-17 17:00:30,8372,8380,8682,14490,14567,8705,14917,8747,0,0,CACHE_FILLING,0.5
2025-05-17 17:00:45,8495,8395,8815,14555,14710,8825,14900,8805,0,0,CACHE_FILLING,0.75
2025-05-17 17:01:00,8495,8395,8815,14555,14710,8825,14900,8805,0,0,CACHE_FILLING,1.0
2025-05-17 17:01:15,8495,8395,8815,14555,14710,8825,14900,8805,0,0,CACHE_FILLING,1.25
2025-05-17 17:01:30,8710,8900,9060,15120,14670,9370,15270,9280,0,0,CACHE_FILLING,1.5
2025-05-17 17:01:45,8710,8900,9060,15120,14670,9370,15270,9280,0,0,CACHE_FILLING,1.75
2025-05-17 17:02:00,8710,8900,9060,15120,14670,9370,15270,9280,0,0,CACHE_FILLING,2.0
2025-05-17 17:02:15,7875,8329,8408,13846,14147,8330,14070,8447,0,0,CACHE_FILLING,2.25
2025-05-17 17:02:30,7875,8329,8408,13850,14147,8330,14085,8457,0,0,CACHE_FILLING,2.5
2025-05-17 17:02:45,7790,8123,8374,13624,13802,8274,14039,8249,0,0,CACHE_FILLING,2.75
2025-05-17 17:03:00,7704,7930,8267,13511,13651,8193,13954,8161,0,0,CACHE_FILLING,3.0
2025-05-17 17:03:15,7498,7655,8103,13224,13486,7999,13932,8078,0,0,CACHE_FILLING,3.25
2025-05-17 17:03:30,7494,7655,8012,13208,13486,7724,13836,8083,0,0,CACHE_FILLING,3.5
2025-05-17 17:03:45,7367,7556,7592,12833,13152,7572,13764,7968,0,0,CACHE_FILLING,3.75
2025-05-17 17:04:00,7232,7498,7526,12832,13231,7550,13756,7892,0,0,CACHE_FILLING,4.0
2025-05-17 17:04:15,7179,7519,7424,12969,13273,7616,13792,7872,0,0,CACHE_FILLING,4.25
2025-05-17 17:04:30,7180,7517,7417,13055,13273,7656,13950,7855,0,0,CACHE_FILLING,4.5
2025-05-17 17:04:45,7146,7465,7368,13194,13252,7730,13993,7769,0,0,CACHE_FILLING,4.75
2025-05-17 17:05:00,7186,7527,7458,13339,13281,7798,14024,7824,0,0,CACHE_FILLING,5.0
2025-05-17 17:05:15,7319,7595,7702,13426,13366,8027,13961,8011,0,0,CACHE_FILLING,5.25
2025-05-17 17:05:30,7376,7600,7876,13454,13420,8301,13766,8311,0,0,CACHE_FILLING,5.5
2025-05-17 17:05:45,7628,7631,8108,13568,13696,8413,13670,8642,0,0,CACHE_FILLING,5.75
2025-05-17 17:06:00,7812,7651,8227,13700,13917,8515,13671,8926,0,0,CACHE_FILLING,6.0
2025-05-17 17:06:15,7890,7784,8345,13921,14138,8536,13896,9083,0,0,CACHE_FILLING,6.25
2025-05-17 17:06:30,7941,7912,8405,14098,14198,8532,14491,9117,0,0,CACHE_FILLING,6.5
2025-05-17 17:06:45,7964,8366,8626,14744,14387,8522,14803,9423,0,0,CACHE_FILLING,6.75
2025-05-17 17:07:00,8061,8512,8720,14895,14503,8549,14885,9435,0,0,CACHE_FILLING,7.0
2025-05-17 17:07:15,8279,8617,8960,14991,14649,8573,15218,9269,0,0,CACHE_FILLING,7.25
2025-05-17 17:07:30,8412,8658,9016,14997,14704,8581,15561,9254,0,0,CACHE_FILLING,7.5
2025-05-17 17:07:45,8809,8781,9296,15342,14923,8574,15864,8928,0,0,CACHE_FILLING,7.75
2025-05-17 17:08:00,8898,8833,9276,15398,15003,8586,15873,8916,0,0,CACHE_FILLING,8.0
2025-05-17 17:08:15,8843,8961,9082,15331,14980,8629,15767,8945,0,0,CACHE_FILLING,8.25
2025-05-17 17:08:30,8842,8966,9050,15330,14980,8668,15515,8945,0,0,CACHE_FILLING,8.5
2025-05-17 17:08:45,8812,9196,8840,15256,14730,8802,15405,9028,0,0,CACHE_FILLING,8.75
2025-05-17 17:09:00,8834,9210,8818,15236,14666,8823,15353,9086,0,0,CACHE_FILLING,9.0
2025-05-17 17:09:15,8780,9198,8893,15053,14710,8859,15243,9191,0,0,CACHE_FILLING,9.25
2025-05-17 17:09:30,8767,9197,8903,15011,14753,8854,15171,9225,0,0,CACHE_FILLING,9.5
2025-05-17 17:09:45,8480,8824,8995,14660,15076,8783,15120,9495,0,0,CACHE_FILLING,9.75
2025-05-17 17:10:00,8389,8776,9026,14658,15197,8756,15128,9479,0,0,CACHE_FILLING,10.0
2025-05-17 17:10:15,8511,8890,9091,14867,15275,8770,15170,9308,0,0,CACHE_FILLING,10.25
2025-05-17 17:10:30,8518,8896,9126,14879,15275,8788,15231,9295,0,0,CACHE_FILLING,10.5
2025-05-17 17:10:45,8806,8900,9251,15293,15342,8815,15297,8829,0,0,CACHE_FILLING,10.75
2025-05-17 17:11:00,8848,8851,9252,15281,15424,8824,15333,8736,0,0,CACHE_FILLING,11.0
2025-05-17 17:11:15,8840,8837,9104,15044,15439,8862,15206,8716,0,0,CACHE_FILLING,11.25
2025-05-17 17:11:30,8844,8836,9004,15030,15426,8873,15030,8711,0,0,CACHE_FILLING,11.5
2025-05-17 17:11:45,8717,8581,8714,14484,15179,8857,14845,8674,0,0,CACHE_FILLING,11.75
2025-05-17 17:12:00,8647,8548,8636,14434,15103,8865,14810,8669,0,0,CACHE_FILLING,12.0
2025-05-17 17:12:15,8603,8656,8631,14572,15128,8859,14907,8689,0,0,CACHE_FILLING,12.25
2025-05-17 17:12:30,8592,8660,8613,14571,15134,8837,15075,8678,0,0,CACHE_FILLING,12.5
2025-05-17 17:12:45,8418,8802,8558,14739,14894,8670,15091,8588,0,0,CACHE_FILLING,12.75
2025-05-17 17:13:00,8391,8846,8565,14771,14870,8660,15081,8579,0,0,CACHE_FILLING,13.0
2025-05-17 17:13:15,8416,8948,8653,14832,14894,8759,15121,8636,0,0,CACHE_FILLING,13.25
2025-05-17 17:13:30,8411,8986,8686,14831,14898,8979,15139,8654,0,0,CACHE_FILLING,13.5
2025-05-17 17:13:45,8295,8931,8779,14757,15065,9226,15153,8837,0,0,CACHE_FILLING,13.75
2025-05-17 17:14:00,8308,8953,8863,14807,15120,9301,15175,8904,0,0,CACHE_FILLING,14.0
2025-05-17 17:14:15,8516,9053,9053,14974,15329,9304,15335,9067,0,0,CACHE_FILLING,14.25
2025-05-17 17:14:30,8540,9115,9144,14990,15512,9275,15966,9082,0,0,CACHE_FILLING,14.5
2025-05-17 17:14:45,9015,9859,9368,15274,15957,9124,16242,9330,0,0,CACHE_FILLING,14.75
