Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,800,1030,690,800,740,950,730,790,0,0,GC_STRESS,0.0
2025-05-17 17:00:15,800,1030,690,800,740,950,730,790,0,0,GC_STRESS,0.25
2025-05-17 17:00:30,800,1030,690,800,740,950,730,790,0,0,GC_STRESS,0.5
2025-05-17 17:00:45,800,1030,690,800,740,950,730,790,0,0,GC_STRESS,0.75
2025-05-17 17:01:00,1830,1940,1750,1645,1705,1905,1595,1945,0,0,GC_STRESS,1.0
2025-05-17 17:01:15,1830,1940,1750,1645,1705,1905,1595,1945,0,0,GC_STRESS,1.25
2025-05-17 17:01:30,1830,1940,1750,1645,1705,1905,1595,1945,0,0,GC_STRESS,1.5
2025-05-17 17:01:45,1830,1940,1750,1645,1705,1905,1595,1945,0,0,GC_STRESS,1.75
2025-05-17 17:02:00,810,1040,855,745,705,910,765,825,0,0,GC_STRESS,2.0
2025-05-17 17:02:15,810,1040,855,745,705,910,765,825,0,0,GC_STRESS,2.25
2025-05-17 17:02:30,810,1040,855,745,705,910,765,825,0,0,GC_STRESS,2.5
2025-05-17 17:02:45,820,1050,1020,690,670,870,800,860,0,0,GC_STRESS,2.75
2025-05-17 17:03:00,960,890,1000,600,660,1080,540,1010,0,0,GC_STRESS,3.0
2025-05-17 17:03:15,960,890,1000,600,660,1080,540,1010,0,0,GC_STRESS,3.25
2025-05-17 17:03:30,938,937,938,614,667,1066,554,976,0,0,GC_STRESS,3.5
2025-05-17 17:03:45,905,957,904,643,670,1083,575,948,0,0,GC_STRESS,3.75
2025-05-17 17:04:00,905,957,894,641,670,1082,588,939,0,0,GC_STRESS,4.0
2025-05-17 17:04:15,876,990,849,691,696,1089,664,891,0,0,GC_STRESS,4.25
2025-05-17 17:04:30,864,990,821,694,702,1090,667,884,0,0,GC_STRESS,4.5
2025-05-17 17:04:45,838,998,788,677,702,1082,674,885,0,0,GC_STRESS,4.75
2025-05-17 17:05:00,831,999,788,676,698,1076,675,886,0,0,GC_STRESS,5.0
2025-05-17 17:05:15,764,951,752,652,634,1072,681,951,0,0,GC_STRESS,5.25
2025-05-17 17:05:30,776,940,752,648,623,1072,683,959,0,0,GC_STRESS,5.5
2025-05-17 17:05:45,821,911,760,651,615,1065,678,965,0,0,GC_STRESS,5.75
2025-05-17 17:06:00,827,904,764,654,615,1019,678,968,0,0,GC_STRESS,6.0
2025-05-17 17:06:15,942,809,875,689,665,893,681,990,0,0,GC_STRESS,6.25
2025-05-17 17:06:30,951,809,881,698,671,869,682,981,0,0,GC_STRESS,6.5
2025-05-17 17:06:45,929,848,888,678,662,870,680,941,0,0,GC_STRESS,6.75
2025-05-17 17:07:00,915,851,888,670,661,870,683,908,0,0,GC_STRESS,7.0
2025-05-17 17:07:15,902,1006,894,638,641,890,706,810,0,0,GC_STRESS,7.25
2025-05-17 17:07:30,891,1013,884,632,633,893,709,806,0,0,GC_STRESS,7.5
2025-05-17 17:07:45,863,997,873,628,615,901,689,794,0,0,GC_STRESS,7.75
2025-05-17 17:08:00,840,996,841,625,611,901,678,792,0,0,GC_STRESS,8.0
2025-05-17 17:08:15,772,1099,804,593,580,952,646,790,0,0,GC_STRESS,8.25
2025-05-17 17:08:30,757,1099,789,591,575,952,633,788,0,0,GC_STRESS,8.5
2025-05-17 17:08:45,728,1049,755,593,579,929,612,788,0,0,GC_STRESS,8.75
2025-05-17 17:09:00,720,1041,747,594,579,918,595,794,0,0,GC_STRESS,9.0
2025-05-17 17:09:15,642,868,631,607,555,779,493,839,0,0,GC_STRESS,9.25
2025-05-17 17:09:30,632,852,633,605,554,759,487,843,0,0,GC_STRESS,9.5
2025-05-17 17:09:45,633,848,650,595,556,769,512,829,0,0,GC_STRESS,9.75
2025-05-17 17:10:00,632,848,650,591,556,769,522,822,0,0,GC_STRESS,10.0
2025-05-17 17:10:15,624,864,631,557,593,747,575,786,0,0,GC_STRESS,10.25
2025-05-17 17:10:30,627,866,635,554,602,748,581,774,0,0,GC_STRESS,10.5
2025-05-17 17:10:45,636,863,666,560,615,769,585,759,0,0,GC_STRESS,10.75
2025-05-17 17:11:00,641,863,670,559,619,771,586,758,0,0,GC_STRESS,11.0
2025-05-17 17:11:15,674,935,822,567,682,897,595,759,0,0,GC_STRESS,11.25
2025-05-17 17:11:30,676,937,822,572,684,889,601,756,0,0,GC_STRESS,11.5
2025-05-17 17:11:45,648,907,807,583,654,881,607,753,0,0,GC_STRESS,11.75
2025-05-17 17:12:00,641,905,807,586,641,881,609,753,0,0,GC_STRESS,12.0
2025-05-17 17:12:15,574,876,778,587,538,864,638,728,0,0,GC_STRESS,12.25
2025-05-17 17:12:30,570,874,764,588,529,856,637,722,0,0,GC_STRESS,12.5
2025-05-17 17:12:45,571,860,746,587,537,857,608,734,0,0,GC_STRESS,12.75
2025-05-17 17:13:00,571,857,739,587,536,857,595,733,0,0,GC_STRESS,13.0
2025-05-17 17:13:15,571,814,660,586,548,836,495,696,0,0,GC_STRESS,13.25
2025-05-17 17:13:30,571,802,652,585,550,828,498,695,0,0,GC_STRESS,13.5
2025-05-17 17:13:45,571,813,672,585,552,840,549,710,0,0,GC_STRESS,13.75
2025-05-17 17:14:00,573,813,672,575,552,841,566,712,0,0,GC_STRESS,14.0
2025-05-17 17:14:15,579,794,766,541,535,954,660,757,0,0,GC_STRESS,14.25
2025-05-17 17:14:30,579,795,766,536,533,955,656,765,0,0,GC_STRESS,14.5
2025-05-17 17:14:45,586,814,734,548,537,914,653,756,0,0,GC_STRESS,14.75
2025-05-17 17:15:00,585,813,729,557,537,913,639,756,0,0,GC_STRESS,15.0
2025-05-17 17:15:15,558,813,593,582,549,805,525,762,0,0,GC_STRESS,15.25
2025-05-17 17:15:30,560,814,592,586,550,804,521,761,0,0,GC_STRESS,15.5
2025-05-17 17:15:45,591,814,676,578,554,803,544,757,0,0,GC_STRESS,15.75
