minutes,io_readbytes_openeuler-home,io_readbytes_openeuler-root,io_readbytes_openeuler-swap,io_readbytes_sda,io_readbytes_source,io_writebytes_openeuler-home,io_writebytes_openeuler-root,io_writebytes_openeuler-swap,io_writebytes_sda,io_writebytes_source
2025-05-17 16:59:45,0,0,,0,oom,2940928,2838528,,5881856,oom
2025-05-17 17:00:00,0,0,,0,oom,3588096,2838528,,7999488,oom
2025-05-17 17:00:15,0,0,,0,oom,3588096,2838528,,7999488,oom
2025-05-17 17:00:30,52,0,4414.184913925819,3551,oom,3588096,2838528,2512242.742304798,7160045,oom
2025-05-17 17:00:45,52,0,4414.184913925819,3551,oom,3588096,2838528,2512242.742304798,6735307,oom
2025-05-17 17:01:00,52,0,4414.184913925819,3551,oom,2056192,5033984,2512242.742304798,6687513,oom
2025-05-17 17:01:15,52,0,4414.184913925819,3551,oom,2056192,5033984,2512242.742304798,6516798,oom
2025-05-17 17:01:30,52,0,4414.184913925819,3551,oom,2056192,5033984,2512242.742304798,6356111,oom
2025-05-17 17:01:45,52,0,4414.184913925819,3551,oom,2056192,4965030,2512242.742304798,6312975,oom
2025-05-17 17:02:00,52,0,4414.184913925819,3551,oom,1347584,4965030,2512242.742304798,6346190,oom
2025-05-17 17:02:15,52,0,4414.184913925819,3551,oom,1347584,5548032,2512242.742304798,6836295,oom
2025-05-17 17:02:30,52,0,4414.184913925819,3551,oom,1347584,5548032,2512242.742304798,6906086,oom
2025-05-17 17:02:45,52,0,4414.184913925819,3551,oom,1325537,6062080,2512242.742304798,6687993,oom
2025-05-17 17:03:00,52,0,4414.184913925819,3551,oom,1325919,4804608,2512242.742304798,6612698,oom
2025-05-17 17:03:15,52,0,4414.184913925819,3551,oom,1326367,4804608,2512242.742304798,6448674,oom
2025-05-17 17:03:30,52,0,4414.184913925819,3551,oom,1324568,4982042,2512242.742304798,6362007,oom
2025-05-17 17:03:45,52,0,4434.983255894731,3551,oom,1297871,4900788,2512242.742304798,6222304,oom
2025-05-17 17:04:00,52,0,4434.983255894731,3551,oom,1269545,4903692,2512242.742304798,6149365,oom
2025-05-17 17:04:15,52,0,4434.983255894731,3551,oom,1253536,5048086,2512242.742304798,5914981,oom
2025-05-17 17:04:30,52,0,4434.983255894731,3551,oom,1213055,5074949,2512242.742304798,5852680,oom
2025-05-17 17:04:45,52,0,4434.983255894731,3551,oom,1024933,5027604,2512242.742304798,5888694,oom
2025-05-17 17:05:00,52,0,4434.983255894731,3551,oom,982428,5012714,2512242.742304798,5902652,oom
2025-05-17 17:05:15,52,0,4434.983255894731,3551,oom,1037640,5017148,2512242.742304798,6033012,oom
2025-05-17 17:05:30,52,0,4434.983255894731,3551,oom,1136819,4812353,2512242.742304798,6033570,oom
2025-05-17 17:05:45,52,0,4434.983255894731,3551,oom,1176768,4779333,2512242.742304798,6011668,oom
2025-05-17 17:06:00,52,0,4434.983255894731,3551,oom,1183216,4727297,2512242.742304798,6041916,oom
2025-05-17 17:06:15,52,0,4434.983255894731,3551,oom,1182253,4731631,2512242.742304798,5994237,oom
2025-05-17 17:06:30,52,0,4434.983255894731,3551,oom,1177479,5024066,2512242.742304798,5978849,oom
2025-05-17 17:06:45,52,0,4434.983255894731,3551,oom,1170364,5109907,2512242.742304798,5984811,oom
2025-05-17 17:07:00,52,0,4434.983255894731,3551,oom,1049282,5020607,2512242.742304798,5986121,oom
2025-05-17 17:07:15,52,0,4434.983255894731,3551,oom,1001681,5016769,2512242.742304798,6031672,oom
2025-05-17 17:07:30,52,0,4434.983255894731,3551,oom,1057509,4994894,2512242.742304798,6036503,oom
2025-05-17 17:07:45,52,0,4434.983255894731,3551,oom,1089465,4991282,2512242.742304798,6041816,oom
2025-05-17 17:08:00,52,0,4434.983255894731,3551,oom,1137149,4955589,2512242.742304798,6049502,oom
2025-05-17 17:08:15,52,0,4434.983255894731,3551,oom,1147051,4955761,2512242.742304798,6245145,oom
2025-05-17 17:08:30,52,0,4434.983255894731,3551,oom,1181410,5052782,2512242.742304798,6283526,oom
2025-05-17 17:08:45,52,0,4434.983255894731,3551,oom,1217371,5052924,2512242.742304798,6263283,oom
2025-05-17 17:09:00,52,0,4434.983255894731,3551,oom,1197582,5007790,2512242.742304798,6237283,oom
2025-05-17 17:09:15,52,0,4434.983255894731,3551,oom,1196872,5004713,2512242.742304798,6081177,oom
2025-05-17 17:09:30,52,0,4434.983255894731,3551,oom,1193513,4946868,2512242.742304798,6095722,oom
2025-05-17 17:09:45,52,0,4434.983255894731,3551,oom,1180848,4950122,2512242.742304798,6042741,oom
2025-05-17 17:10:00,52,0,4434.983255894731,3551,oom,1177777,4981078,2512242.742304798,6041990,oom
2025-05-17 17:10:15,52,0,4434.983255894731,3551,oom,1172428,4977475,2512242.742304798,6040583,oom
2025-05-17 17:10:30,52,0,4434.983255894731,3551,oom,1171719,4992437,2512242.742304798,6042857,oom
2025-05-17 17:10:45,52,0,4434.983255894731,3551,oom,1154513,4969208,2512242.742304798,6035329,oom
2025-05-17 17:11:00,52,0,4434.983255894731,3551,oom,1128537,4813067,2512242.742304798,5873080,oom
2025-05-17 17:11:15,52,0,4434.983255894731,3551,oom,1092027,4747838,2512242.742304798,5621516,oom
2025-05-17 17:11:30,52,0,4434.983255894731,3551,oom,1053948,4394446,2512242.742304798,5538153,oom
2025-05-17 17:11:45,52,0,4434.983255894731,3551,oom,959542,4378741,2512242.742304798,5449558,oom
2025-05-17 17:12:00,52,0,4434.983255894731,3551,oom,946607,4325955,2512242.742304798,5413449,oom
2025-05-17 17:12:15,52,0,4434.983255894731,3551,oom,918641,4325955,2512242.742304798,5273401,oom
2025-05-17 17:12:30,52,0,4434.983255894731,3551,oom,917099,4325955,2512242.742304798,5248008,oom
2025-05-17 17:12:45,52,0,4434.983255894731,3551,oom,917561,4423872,2512242.742304798,5226077,oom
2025-05-17 17:13:00,52,0,4434.983255894731,3551,oom,944171,4432588,2512242.742304798,5235274,oom
2025-05-17 17:13:15,52,0,4434.983255894731,3551,oom,960043,4423175,2512242.742304798,5246976,oom
2025-05-17 17:13:30,52,0,4434.983255894731,3551,oom,963441,4614946,2512242.742304798,5540165,oom
2025-05-17 17:13:45,52,0,4434.983255894731,3551,oom,970582,4612893,2512242.742304798,5518995,oom
2025-05-17 17:14:00,52,0,4434.983255894731,3551,oom,961128,4571872,2512242.742304798,5406551,oom
2025-05-17 17:14:15,52,0,4434.983255894731,3551,oom,961319,4571872,2512242.742304798,5387043,oom
2025-05-17 17:14:30,52,0,4434.983255894731,3551,oom,960213,4397156,2512242.742304798,5319737,oom
2025-05-17 17:14:45,52,0,4434.983255894731,3551,oom,951782,4401404,2512242.742304798,5288605,oom
2025-05-17 17:15:00,52,0,4434.983255894731,3551,oom,944436,4422510,2512242.742304798,5241405,oom
2025-05-17 17:15:15,52,0,4434.983255894731,3551,oom,925242,4424849,2512242.742304798,5241637,oom
2025-05-17 17:15:30,52,0,4434.983255894731,3551,oom,902547,4645047,2512242.742304798,5303224,oom
2025-05-17 17:15:45,52,0,4434.983255894731,3551,oom,877840,4666862,2512242.742304798,5306581,oom
2025-05-17 17:16:00,52,0,4434.983255894731,3551,oom,757185,4613429,2512242.742304798,5267435,oom
2025-05-17 17:16:15,52,0,4434.983255894731,3551,oom,745968,4613429,2512242.742304798,5267894,oom
2025-05-17 17:16:30,52,0,4434.983255894731,3551,oom,782790,4597255,2512242.742304798,5283139,oom
2025-05-17 17:16:45,52,0,4434.983255894731,4104,oom,784844,4360153,2512242.742304798,5264876,oom
2025-05-17 17:17:00,52,0,4434.983255894731,4350,oom,867934,4305323,2512242.742304798,5162784,oom
2025-05-17 17:17:15,52,0,4434.983255894731,4350,oom,890808,4223931,2512242.742304798,5094513,oom
2025-05-17 17:17:30,52,0,4434.983255894731,4465,oom,942296,4217661,2512242.742304798,4762569,oom
2025-05-17 17:17:45,52,0,4434.983255894731,5153,oom,948645,3794041,2512242.742304798,4659193,oom
2025-05-17 17:18:00,52,0,4434.983255894731,5601,oom,1058401,3765253,2512242.742304798,4755542,oom
2025-05-17 17:18:15,52,11059,4434.983255894731,21089,oom,1063938,3949468,2512242.742304798,4765413,oom
2025-05-17 17:18:30,52,130498,4434.983255894731,172681,oom,1003520,3957116,2512242.742304798,5204477,oom
2025-05-17 17:18:45,52,177517,4434.983255894731,183070,oom,811008,4548700,2512242.742304798,5280094,oom
2025-05-17 17:19:00,52,207285,4434.983255894731,126136,oom,811008,4562835,2512242.742304798,5221341,oom
2025-05-17 17:19:15,52,161618,4434.983255894731,126136,oom,811008,4518121,2512242.742304798,5208942,oom
2025-05-17 17:19:30,52,131753,4434.983255894731,80753,oom,801949,4512827,2512242.742304798,5141497,oom
2025-05-17 17:19:45,52,42136,4434.983255894731,73560,oom,802698,4343553,2512242.742304798,5134850,oom
2025-05-17 17:20:00,52,31852,4434.983255894731,16410,oom,745472,4299275,2512242.742304798,5006652,oom
2025-05-17 17:20:15,52,0,4434.983255894731,16410,oom,728064,4216486,2512242.742304798,4968378,oom
2025-05-17 17:20:30,52,0,4434.983255894731,16042,oom,610304,4216486,2512242.742304798,4620325,oom
2025-05-17 17:20:45,52,0,4434.983255894731,14403,oom,610304,4245402,2512242.742304798,4630744,oom
2025-05-17 17:21:00,52,0,4434.983255894731,11261,oom,638976,4254494,2512242.742304798,4655466,oom
2025-05-17 17:21:15,52,0,4434.983255894731,9819,oom,645098,4232646,2512242.742304798,4656067,oom
2025-05-17 17:21:30,52,0,4434.983255894731,6752,oom,637270,4230169,2512242.742304798,4756579,oom
2025-05-17 17:21:45,52,0,4434.983255894731,5283,oom,642991,3818457,2512242.742304798,4756178,oom
2025-05-17 17:22:00,52,0,4434.983255894731,5283,oom,642708,3780051,2512242.742304798,4730122,oom
2025-05-17 17:22:15,52,0,4434.983255894731,5283,oom,606924,3893225,2512242.742304798,4730122,oom
2025-05-17 17:22:30,52,0,4434.983255894731,5283,oom,609973,3889252,2512242.742304798,4728600,oom
2025-05-17 17:22:45,52,0,4434.983255894731,5283,oom,651573,4047711,2512242.742304798,4719802,oom
2025-05-17 17:23:00,52,0,4434.983255894731,5283,oom,654372,4060676,2512242.742304798,4720530,oom
2025-05-17 17:23:15,52,0,4434.983255894731,5283,oom,758849,4042124,2512242.742304798,4719528,oom
2025-05-17 17:23:30,52,0,4434.983255894731,5283,oom,777089,4042785,2512242.742304798,4613761,oom
2025-05-17 17:23:45,52,0,4434.983255894731,5283,oom,797367,3743397,2512242.742304798,4622552,oom
2025-05-17 17:24:00,52,0,4434.983255894731,5283,oom,798708,3727406,2512242.742304798,4629746,oom
2025-05-17 17:24:15,52,0,4434.983255894731,5283,oom,802666,3871074,2512242.742304798,4638068,oom
2025-05-17 17:24:30,52,0,4434.983255894731,5283,oom,876015,3872381,2512242.742304798,4894536,oom
2025-05-17 17:24:45,52,0,4434.983255894731,5283,oom,885617,4315491,2512242.742304798,4906619,oom
2025-05-17 17:25:00,52,0,4434.983255894731,5283,oom,859606,4334785,2512242.742304798,4912656,oom
2025-05-17 17:25:15,52,0,4434.983255894731,5283,oom,847118,4365201,2512242.742304798,4912656,oom
2025-05-17 17:25:30,52,0,4434.983255894731,5283,oom,696020,4364022,2512242.742304798,4918859,oom
2025-05-17 17:25:45,52,0,4434.983255894731,5283,oom,686900,4372733,2512242.742304798,5153429,oom
2025-05-17 17:26:00,52,0,4434.983255894731,5283,oom,742629,4346239,2512242.742304798,5184157,oom
2025-05-17 17:26:15,52,0,4434.983255894731,5283,oom,743781,4318970,2512242.742304798,5044998,oom
2025-05-17 17:26:30,52,0,4434.983255894731,5283,oom,819059,4308417,2512242.742304798,4777184,oom
2025-05-17 17:26:45,52,0,4434.983255894731,5283,oom,818942,3847028,2512242.742304798,4691884,oom
2025-05-17 17:27:00,52,0,4434.983255894731,5283,oom,789429,3839812,2512242.742304798,4734061,oom
2025-05-17 17:27:15,52,0,4434.983255894731,5283,oom,778864,3898388,2512242.742304798,4734061,oom
2025-05-17 17:27:30,52,0,4434.983255894731,5353,oom,668305,3898388,2512242.742304798,4666213,oom
2025-05-17 17:27:45,52,0,4434.983255894731,5419,oom,650523,3898388,2512242.742304798,4683776,oom
2025-05-17 17:28:00,52,0,4434.983255894731,5419,oom,665032,4049571,2512242.742304798,4632576,oom
2025-05-17 17:28:15,52,0,4434.983255894731,5576,oom,668795,4093807,2512242.742304798,4632576,oom
2025-05-17 17:28:30,52,0,4434.983255894731,5782,oom,747914,4126158,2512242.742304798,4673536,oom
2025-05-17 17:28:45,52,0,4434.983255894731,5859,oom,752506,3915776,2512242.742304798,4673536,oom
2025-05-17 17:29:00,52,0,4434.983255894731,5914,oom,722355,3915776,2512242.742304798,4673536,oom
2025-05-17 17:29:15,52,0,4434.983255894731,5941,oom,715679,3840000,2512242.742304798,4673536,oom
2025-05-17 17:29:30,52,0,4434.983255894731,6026,oom,687149,3764224,2512242.742304798,12978176,oom
2025-05-17 17:29:45,52,0,4434.983255894731,8192,oom,687127,3840000,14819275.819134748,12933120,oom
2025-05-17 17:30:00,52,0,4434.983255894731,8192,oom,685393,3915776,14819275.819134748,12888064,oom
2025-05-17 17:30:15,52,7616512,4434.983255894731,8192,oom,684277,13578240,108640822.965015,12888064,oom
2025-05-17 17:30:30,53,7616512,4434.983255894731,113598464,oom,680991,13578240,187401901.0331909,200388608,oom
2025-05-17 17:30:45,4096,7616512,4434.983255894731,113598464,oom,668928,13578240,373912908.6314553,200404992,oom
2025-05-17 17:31:00,4096,7616512,4486.183255894732,113598464,oom,660916,13578240,451069460.48,200404992,oom
2025-05-17 17:31:15,4096,7616512,4486.183255894732,113598464,oom,642927,13578240,498816979.1390476,200404992,oom
