minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
0.0,290,110,20,140,0,20,160,60,0,0,OOM,0.0,480,570,600,500,510,660,410,480,0,0,OOM,0.0,890,730,890,1320,1170,750,1070,900,0,0,OOM,0.0,6587,6852,6735,11355,12205,6860,12080,7065,0,0,OOM,0.0,56.675,57.725,57.425,59.7,60.675,57.85,60.175,58.8,0,0,OOM,0.0
0.25,290,110,20,140,0,20,160,60,0,0,OOM,0.25,480,570,600,500,510,660,410,480,0,0,OOM,0.25,890,730,890,1320,1170,750,1070,900,0,0,OOM,0.25,6605,7010,6735,11355,12205,6860,12080,7065,0,0,OOM,0.25,57.8,59.45,58.95,59.7,61.900000000000006,59.400000000000006,61.65,59.6,0,0,OOM,0.25
0.5,290,110,20,140,0,20,160,60,0,0,OOM,0.5,480,570,600,500,510,660,410,480,0,0,OOM,0.5,890,730,890,1320,1170,750,1070,900,0,0,OOM,0.5,6605,7010,6735,11355,12205,6860,12080,7065,0,0,OOM,0.5,57.8,59.45,58.95,59.7,61.900000000000006,59.400000000000006,61.65,59.6,0,0,OOM,0.5
0.75,228,121,52,73,239,71,219,81,0,0,OOM,0.75,480,570,833,668,510,849,410,480,0,0,OOM,0.75,917,867,933,1458,1282,938,1358,894,0,0,OOM,0.75,6605,7010,6735,11355,12205,6860,12080,7065,0,0,OOM,0.75,57.8,59.45,58.95,59.7,61.900000000000006,59.400000000000006,61.65,59.6,0,0,OOM,0.75
1.0,228,121,50,73,223,68,219,78,0,0,OOM,1.0,705,805,833,668,730,849,610,755,0,0,OOM,1.0,917,867,933,1458,1282,938,1358,894,0,0,OOM,1.0,8480,8820,8750,14805,15095,8785,15075,8922,0,0,OOM,1.0,72.2,73.25,72.80000000000001,76.25,76.25,72.80000000000001,76.5,72.30000000000001,0,0,OOM,1.0
1.25,222,134,50,15,292,48,324,71,0,0,OOM,1.25,705,1040,905,735,730,942,610,755,0,0,OOM,1.25,916,979,955,1530,1312,975,1433,872,0,0,OOM,1.25,8480,8820,8885,14875,15095,8925,15170,8970,0,0,OOM,1.25,72.2,73.25,72.80000000000001,76.69999999999999,76.25,72.80000000000001,76.5,72.30000000000001,0,0,OOM,1.25
1.5,219,130,53,7,289,50,332,74,0,0,OOM,1.5,930,1040,920,769,950,965,810,755,0,0,OOM,1.5,917,1039,969,1549,1326,987,1468,872,0,0,OOM,1.5,8480,8820,8885,14875,15095,8925,15170,8970,0,0,OOM,1.5,72.2,73.25,72.80000000000001,76.69999999999999,76.25,72.80000000000001,76.5,72.30000000000001,0,0,OOM,1.5
1.75,222,95,64,39,197,85,264,117,0,0,OOM,1.75,930,1040,910,705,950,964,810,1030,0,0,OOM,1.75,937,1065,992,1613,1352,998,1495,894,0,0,OOM,1.75,8480,8820,8885,14875,15095,8925,15170,8970,0,0,OOM,1.75,72.2,73.25,72.80000000000001,76.69999999999999,76.25,72.80000000000001,76.5,72.30000000000001,0,0,OOM,1.75
2.0,222,89,64,42,175,85,256,119,0,0,OOM,2.0,960,1035,910,703,850,963,770,980,0,0,OOM,2.0,973,1068,1001,1626,1361,1008,1501,901,0,0,OOM,2.0,7380,7940,8120,13400,13630,8170,14060,7940,0,0,OOM,2.0,63.6,66.0,65.7,67.0,67.9,64.9,69.5,64.2,0,0,OOM,2.0
2.25,297,27,38,97,45,75,180,220,0,0,OOM,2.25,951,1029,889,618,823,962,762,980,0,0,OOM,2.25,1094,1135,1058,1637,1514,1009,1523,1061,0,0,OOM,2.25,7380,7940,8120,13400,13630,8170,14060,7940,0,0,OOM,2.25,63.6,66.0,65.7,67.0,67.9,64.9,69.5,64.2,0,0,OOM,2.25
2.5,309,22,35,91,33,75,180,225,0,0,OOM,2.5,949,1029,890,613,828,963,751,989,0,0,OOM,2.5,1118,1153,1070,1633,1552,1028,1515,1100,0,0,OOM,2.5,7380,7940,8120,13400,13630,8170,14060,7940,0,0,OOM,2.5,63.6,66.0,65.7,67.0,67.9,64.9,69.5,64.2,0,0,OOM,2.5
2.75,239,40,47,96,41,75,149,157,0,0,OOM,2.75,925,1030,890,633,800,964,702,983,0,0,OOM,2.75,1110,1185,1078,1612,1546,1048,1501,1118,0,0,OOM,2.75,7355,7968,7664,13010,13154,7491,13722,8085,0,0,OOM,2.75,59.59100000000008,60.833834379509405,60.861089285714336,67.48981867533051,66.45996904761905,61.07514920634917,64.5737396825397,61.90954166666668,0,0,OOM,2.75
3.0,237,42,47,96,43,455,136,157,0,0,OOM,3.0,918,1031,890,633,794,964,671,984,0,0,OOM,3.0,1096,1190,1085,1590,1527,1083,1493,1117,0,0,OOM,3.0,7355,7510,7664,12994,13167,7505,13719,8090,0,0,OOM,3.0,59.46300000000007,60.70375104617609,60.82142261904768,64.1,64.45,60.99033968253964,64.53773968253968,61.93754166666667,0,0,OOM,3.0
3.25,71,68,49,84,57,455,27,34,0,0,OOM,3.25,890,1060,992,657,667,1028,613,1018,0,0,OOM,3.25,1061,1230,1155,1534,1527,1208,1455,1119,0,0,OOM,3.25,7326,7510,7591,12914,12880,7435,13664,8134,0,0,OOM,3.25,59.53000000000007,60.56397683982689,61.66650833333337,64.1,64.45,60.57011666666659,63.90032142857148,61.94193531746032,0,0,OOM,3.25
3.5,64,68,53,85,60,455,27,23,0,0,OOM,3.5,883,1077,1024,661,653,1051,617,1026,0,0,OOM,3.5,1063,1234,1178,1534,1519,1219,1442,1123,0,0,OOM,3.5,7319,7510,7584,12891,12840,7422,13570,8137,0,0,OOM,3.5,59.39800000000008,60.132012554112606,61.67774166666671,64.1,64.45,60.18064999999992,63.87385238095243,62.00445198412698,0,0,OOM,3.5
3.75,100,65,64,88,68,455,57,35,0,0,OOM,3.75,876,1078,1069,671,640,1050,618,1033,0,0,OOM,3.75,1067,1245,1203,1535,1513,1221,1433,1118,0,0,OOM,3.75,7322,7510,7520,12924,12911,7486,13330,8100,0,0,OOM,3.75,59.44300000000008,60.3183982683983,60.85113214285719,64.1,64.45,60.6290559523809,64.05359276556781,62.21229783549782,0,0,OOM,3.75
4.0,101,64,64,88,61,60,58,35,0,0,OOM,4.0,876,1086,1078,671,641,1049,621,1038,0,0,OOM,4.0,1068,1245,1205,1537,1514,1220,1437,1117,0,0,OOM,4.0,6937,7310,7517,12996,13179,7570,12889,8061,0,0,OOM,4.0,58.675,60.025,60.675,64.1,62.6,60.150000000000006,62.825,60.85,0,0,OOM,4.0
4.25,203,54,51,96,8,60,103,5,0,0,OOM,4.25,898,1175,1186,668,662,1056,643,1106,0,0,OOM,4.25,1070,1216,1207,1565,1539,1213,1466,1120,0,0,OOM,4.25,6937,7310,7489,13069,13390,7627,12631,7912,0,0,OOM,4.25,58.675,60.025,60.675,64.1,62.6,60.150000000000006,62.825,60.85,0,0,OOM,4.25
4.5,215,53,52,99,7,60,106,8,0,0,OOM,4.5,910,1192,1195,666,670,1053,647,1121,0,0,OOM,4.5,1071,1208,1200,1559,1545,1208,1487,1123,0,0,OOM,4.5,6937,7310,7497,13133,13464,7639,12690,7884,0,0,OOM,4.5,58.675,60.025,60.675,64.1,62.6,60.150000000000006,62.825,60.85,0,0,OOM,4.5
4.75,210,54,64,103,78,70,93,73,0,0,OOM,4.75,904,1186,1171,665,672,1050,645,1115,0,0,OOM,4.75,1064,1183,1179,1554,1539,1193,1532,1122,0,0,OOM,4.75,6937,7889,7603,13265,13538,7874,12904,7915,0,0,OOM,4.75,58.675,60.025,60.675,64.1,66.74734642857138,60.150000000000006,62.825,60.85,0,0,OOM,4.75
5.0,210,54,64,103,100,10,91,74,0,0,OOM,5.0,923,1184,1166,664,673,1034,645,1115,0,0,OOM,5.0,1060,1179,1144,1548,1539,1158,1562,1122,0,0,OOM,5.0,7890,7916,7835,13497,13555,8189,13799,7949,0,0,OOM,5.0,65.2,65.5,65.8,68.8,66.7551797619047,67.4,69.0,65.3,0,0,OOM,5.0
5.25,227,67,54,58,188,10,14,102,0,0,OOM,5.25,1015,1178,1105,654,733,950,659,1131,0,0,OOM,5.25,1044,1178,1083,1511,1530,1106,1667,1126,0,0,OOM,5.25,7890,8120,8244,14111,13862,8445,14110,8065,0,0,OOM,5.25,65.2,65.5,65.8,68.8,67.64138809523806,67.4,69.0,65.3,0,0,OOM,5.25
5.5,225,66,54,64,191,32,8,111,0,0,OOM,5.5,1029,1174,1069,652,742,938,664,1128,0,0,OOM,5.5,1041,1174,1070,1503,1518,1102,1685,1125,0,0,OOM,5.5,7890,8178,8335,14359,14061,8567,14200,8170,0,0,OOM,5.5,65.2,65.5,65.8,68.8,67.74816071428569,67.4,69.0,65.3,0,0,OOM,5.5
