minutes,tcp_customersservice_customers_service,tcp_customersservice_source,tcp_vetsservice_vets_service,tcp_vetsservice_source,tcp_visitsservice_visits_service,tcp_visitsservice_source
2025-05-17 16:31:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:31:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:32:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:32:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:32:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:32:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:33:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:33:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:33:30,19,OOM,0.0,OOM,0,OOM
2025-05-17 16:33:45,19,OOM,0.0,OOM,0,OOM
2025-05-17 16:34:00,19,OOM,0.0,OOM,0,OOM
2025-05-17 16:34:15,19,OOM,0.0,OOM,0,OOM
2025-05-17 16:34:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:34:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:35:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:35:15,30,OOM,0.0,OOM,0,OOM
2025-05-17 16:35:30,30,OOM,0.0,OOM,0,OOM
2025-05-17 16:35:45,30,OOM,0.0,OOM,0,OOM
2025-05-17 16:36:00,30,OOM,0.0,OOM,0,OOM
2025-05-17 16:36:15,30,OOM,0.0,OOM,0,OOM
2025-05-17 16:36:30,345,OOM,0.0,OOM,0,OOM
2025-05-17 16:36:45,345,OOM,0.0,OOM,0,OOM
2025-05-17 16:37:00,345,OOM,0.0,OOM,0,OOM
2025-05-17 16:37:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:37:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:37:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:38:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:38:15,878,OOM,0.0,OOM,0,OOM
2025-05-17 16:38:30,878,OOM,0.0,OOM,0,OOM
2025-05-17 16:38:45,878,OOM,0.0,OOM,0,OOM
2025-05-17 16:39:00,878,OOM,0.0,OOM,0,OOM
2025-05-17 16:39:15,9,OOM,0.0,OOM,0,OOM
2025-05-17 16:39:30,9,OOM,0.0,OOM,0,OOM
2025-05-17 16:39:45,9,OOM,0.0,OOM,0,OOM
2025-05-17 16:40:00,9,OOM,0.0,OOM,0,OOM
2025-05-17 16:40:15,134,OOM,0.0,OOM,0,OOM
2025-05-17 16:40:30,134,OOM,0.0,OOM,0,OOM
2025-05-17 16:40:45,134,OOM,0.0,OOM,0,OOM
2025-05-17 16:41:00,134,OOM,0.0,OOM,0,OOM
2025-05-17 16:41:15,111,OOM,0.0,OOM,0,OOM
2025-05-17 16:41:30,111,OOM,0.0,OOM,0,OOM
2025-05-17 16:41:45,111,OOM,0.0,OOM,0,OOM
2025-05-17 16:42:00,111,OOM,0.0,OOM,0,OOM
2025-05-17 16:42:15,45,OOM,0.0,OOM,0,OOM
2025-05-17 16:42:30,45,OOM,0.0,OOM,0,OOM
2025-05-17 16:42:45,45,OOM,0.0,OOM,0,OOM
2025-05-17 16:43:00,45,OOM,0.0,OOM,0,OOM
2025-05-17 16:43:15,198,OOM,0.0,OOM,0,OOM
2025-05-17 16:43:30,198,OOM,0.0,OOM,0,OOM
2025-05-17 16:43:45,198,OOM,0.0,OOM,0,OOM
2025-05-17 16:44:00,198,OOM,0.0,OOM,0,OOM
2025-05-17 16:44:15,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:44:30,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:44:45,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:45:00,0,OOM,0.0,OOM,0,OOM
2025-05-17 16:45:15,0,OOM,0.0,OOM,0,OOM
