minutes,io_mem_available,io_source,io_mem_cache,io_source,io_mem_util,io_source
2025-07-15 17:24:15,16443300,threadfull,6972300,threadfull,33.5,threadfull
2025-07-15 17:24:30,16443300,threadfull,6972300,threadfull,33.5,threadfull
2025-07-15 17:24:45,16443300,threadfull,6972300,threadfull,33.5,threadfull
2025-07-15 17:25:00,15705604,threadfull,6978367,threadfull,33.5,threadfull
2025-07-15 17:25:15,15700463,threadfull,6978367,threadfull,34.8,threadfull
2025-07-15 17:25:30,15685170,threadfull,6978370,threadfull,34.8,threadfull
2025-07-15 17:25:45,15576686,threadfull,6978458,threadfull,34.8,threadfull
2025-07-15 17:26:00,15529503,threadfull,6979047,threadfull,34.8,threadfull
2025-07-15 17:26:15,15511748,threadfull,6979665,threadfull,35.7,threadfull
2025-07-15 17:26:30,15345942,threadfull,6980306,threadfull,35.7,threadfull
2025-07-15 17:26:45,15223865,threadfull,6980646,threadfull,35.7,threadfull
2025-07-15 17:27:00,15125616,threadfull,6981278,threadfull,35.7,threadfull
2025-07-15 17:27:15,15112759,threadfull,6981960,threadfull,36.25,threadfull
2025-07-15 17:27:30,15018624,threadfull,6982369,threadfull,36.25,threadfull
2025-07-15 17:27:45,14943441,threadfull,6982758,threadfull,36.25,threadfull
2025-07-15 17:28:00,14894342,threadfull,6983214,threadfull,36.25,threadfull
2025-07-15 17:28:15,14814627,threadfull,6983913,threadfull,37.45,threadfull
2025-07-15 17:28:30,14520477,threadfull,6984369,threadfull,40.900000000000006,threadfull
2025-07-15 17:28:45,14383684,threadfull,6984738,threadfull,41.150000000000006,threadfull
2025-07-15 17:29:00,14263580,threadfull,6985255,threadfull,40.1,threadfull
2025-07-15 17:29:15,14241937,threadfull,6985933,threadfull,40.650000000000006,threadfull
2025-07-15 17:29:30,14177781,threadfull,6986322,threadfull,40.650000000000006,threadfull
2025-07-15 17:29:45,14083222,threadfull,6986763,threadfull,40.650000000000006,threadfull
2025-07-15 17:30:00,14036777,threadfull,6987407,threadfull,41.2,threadfull
2025-07-15 17:30:15,14014723,threadfull,6987944,threadfull,41.425,threadfull
2025-07-15 17:30:30,13913543,threadfull,6988508,threadfull,41.425,threadfull
2025-07-15 17:30:45,13870720,threadfull,6988948,threadfull,41.425,threadfull
2025-07-15 17:31:00,13842390,threadfull,6989283,threadfull,42.2,threadfull
2025-07-15 17:31:15,13832458,threadfull,6989691,threadfull,42.9,threadfull
2025-07-15 17:31:30,13771796,threadfull,6990345,threadfull,42.9,threadfull
2025-07-15 17:31:45,13734172,threadfull,6990628,threadfull,43.76359513557014,threadfull
2025-07-15 17:32:00,13708368,threadfull,6991269,threadfull,43.40043843671346,threadfull
2025-07-15 17:32:15,13694859,threadfull,6991602,threadfull,43.39010510338013,threadfull
2025-07-15 17:32:30,13674133,threadfull,6991834,threadfull,43.39010510338013,threadfull
2025-07-15 17:32:45,13662772,threadfull,6992350,threadfull,43.39010510338013,threadfull
2025-07-15 17:33:00,13637720,threadfull,6992909,threadfull,43.41900510338012,threadfull
2025-07-15 17:33:15,13609858,threadfull,6993281,threadfull,43.74368486528487,threadfull
2025-07-15 17:33:30,13431699,threadfull,6993566,threadfull,44.45384360589067,threadfull
2025-07-15 17:33:45,13361332,threadfull,6993810,threadfull,44.74532118525573,threadfull
2025-07-15 17:34:00,13278852,threadfull,6994225,threadfull,44.66850747396703,threadfull
2025-07-15 17:34:15,13270023,threadfull,6994483,threadfull,44.6910821492917,threadfull
2025-07-15 17:34:30,13205557,threadfull,6995049,threadfull,44.944134857694415,threadfull
2025-07-15 17:34:45,13189965,threadfull,6995412,threadfull,45.109538215447785,threadfull
2025-07-15 17:35:00,13177213,threadfull,6995681,threadfull,45.09549571628028,threadfull
2025-07-15 17:35:15,13175244,threadfull,6995871,threadfull,45.09875285913742,threadfull
2025-07-15 17:35:30,13157074,threadfull,6996307,threadfull,45.1584212435308,threadfull
2025-07-15 17:35:45,13141660,threadfull,6996439,threadfull,45.20840335031291,threadfull
2025-07-15 17:36:00,13130327,threadfull,6996726,threadfull,45.32911990181696,threadfull
2025-07-15 17:36:15,13128402,threadfull,6996989,threadfull,45.36360799705505,threadfull
2025-07-15 17:36:30,13015165,threadfull,6997749,threadfull,45.67591778448985,threadfull
