minutes,IO_io_readbytes_openeuler-home,IO_io_readbytes_openeuler-root,IO_io_readbytes_openeuler-swap,IO_io_readbytes_sda,IO_io_readbytes_source,IO_io_writebytes_openeuler-home,IO_io_writebytes_openeuler-root,IO_io_writebytes_openeuler-swap,IO_io_writebytes_sda,IO_io_writebytes_source,cpu_cpu_iowait_cpu 0,cpu_cpu_iowait_cpu 1,cpu_cpu_iowait_cpu 2,cpu_cpu_iowait_cpu 3,cpu_cpu_iowait_cpu 4,cpu_cpu_iowait_cpu 5,cpu_cpu_iowait_cpu 6,cpu_cpu_iowait_cpu 7,cpu_cpu_iowait_cpu 8,cpu_cpu_iowait_cpu 9,cpu_cpu_iowait_source,cpu_cpu_irq_cpu 0,cpu_cpu_irq_cpu 1,cpu_cpu_irq_cpu 2,cpu_cpu_irq_cpu 3,cpu_cpu_irq_cpu 4,cpu_cpu_irq_cpu 5,cpu_cpu_irq_cpu 6,cpu_cpu_irq_cpu 7,cpu_cpu_irq_cpu 8,cpu_cpu_irq_cpu 9,cpu_cpu_irq_source,cpu_cpu_system_cpu 0,cpu_cpu_system_cpu 1,cpu_cpu_system_cpu 2,cpu_cpu_system_cpu 3,cpu_cpu_system_cpu 4,cpu_cpu_system_cpu 5,cpu_cpu_system_cpu 6,cpu_cpu_system_cpu 7,cpu_cpu_system_cpu 8,cpu_cpu_system_cpu 9,cpu_cpu_system_source,cpu_cpu_user_cpu 0,cpu_cpu_user_cpu 1,cpu_cpu_user_cpu 2,cpu_cpu_user_cpu 3,cpu_cpu_user_cpu 4,cpu_cpu_user_cpu 5,cpu_cpu_user_cpu 6,cpu_cpu_user_cpu 7,cpu_cpu_user_cpu 8,cpu_cpu_user_cpu 9,cpu_cpu_user_source,cpu_cpu_utilization_cpu 0,cpu_cpu_utilization_cpu 1,cpu_cpu_utilization_cpu 2,cpu_cpu_utilization_cpu 3,cpu_cpu_utilization_cpu 4,cpu_cpu_utilization_cpu 5,cpu_cpu_utilization_cpu 6,cpu_cpu_utilization_cpu 7,cpu_cpu_utilization_cpu 8,cpu_cpu_utilization_cpu 9,cpu_cpu_utilization_source,memory_io_mem_available,memory_io_source,memory_io_mem_cache,memory_io_source.1,memory_io_mem_util,memory_io_source.2,network_tcp_srtt_source,network_tcp_srtt_SRTT_cumulative,other_tcp_customersservice_customers_service,other_tcp_customersservice_source,other_tcp_vetsservice_vets_service,other_tcp_vetsservice_source,other_tcp_visitsservice_visits_service,other_tcp_visitsservice_source
2025-05-17 16:59:45,0,0,8192.0,40960,threadfull,1019904,4079616,0.0,5488640,threadfull,40,20,60,500,20,40,190,130,0,0,THREADFULL,810,900,860,750,730,790,770,820,0,0,THREADFULL,1160,1160,1240,2110,1840,1110,1870,1190,0,0,THREADFULL,8990,8505,9180,14810,15370,9330,15550,9090,0,0,THREADFULL,69.625,73.275,71.85,70.95,73.4,73.55,73.55,69.9,0,0,THREADFULL,16443300,threadfull,6972300,threadfull,33.5,threadfull,THREADFULL,7596.0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:00:00,0,0,8192.0,40960,threadfull,1019904,5050368,0.0,5488640,threadfull,40,20,60,500,20,40,190,130,0,0,THREADFULL,810,900,860,750,730,790,770,820,0,0,THREADFULL,1160,1160,1240,2110,1840,1110,1870,1190,0,0,THREADFULL,8990,8505,9180,14810,15370,9330,15550,9090,0,0,THREADFULL,71.4,73.9,73.05000000000001,70.95,73.4,73.55,74.1,70.5,0,0,THREADFULL,16443300,threadfull,6972300,threadfull,33.5,threadfull,THREADFULL,7601.0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:00:15,0,0,8192.0,40960,threadfull,1019904,5050368,0.0,5488640,threadfull,40,20,60,500,20,40,190,130,0,0,THREADFULL,810,900,860,750,730,790,770,820,0,0,THREADFULL,1160,1160,1240,2110,1840,1110,1870,1190,0,0,THREADFULL,8990,8505,9180,14810,15370,9330,15550,9090,0,0,THREADFULL,71.4,73.9,73.05000000000001,70.95,73.4,73.55,74.1,70.5,0,0,THREADFULL,16443300,threadfull,6972300,threadfull,33.5,threadfull,THREADFULL,7750.75,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:00:30,9,0,8900.812796284123,40960,threadfull,940622,4950122,1148002.5624508408,5739314,threadfull,161,14,59,223,54,101,182,152,0,0,THREADFULL,793,1030,863,640,690,974,663,1027,0,0,THREADFULL,1199,1181,1171,1796,1645,1108,1569,1156,0,0,THREADFULL,8990,8505,7904,13494,14503,7932,13597,8149,0,0,THREADFULL,71.4,73.9,73.05000000000001,70.95,73.4,73.55,74.1,70.5,0,0,THREADFULL,15705604,threadfull,6978367,threadfull,33.5,threadfull,THREADFULL,7750.75,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:00:45,9,0,8900.812796284123,20480,threadfull,940622,4880096,1148002.5624508408,5722722,threadfull,161,14,56,223,42,101,173,152,0,0,THREADFULL,793,1030,863,640,690,974,663,1027,0,0,THREADFULL,1199,1181,1170,1796,1645,1108,1569,1156,0,0,THREADFULL,6770,7760,7904,13489,14503,7927,13603,8149,0,0,THREADFULL,56.9,60.6,59.6,62.6,64.6,59.8,63.4,60.3,0,0,THREADFULL,15700463,threadfull,6978367,threadfull,34.8,threadfull,THREADFULL,7108.0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:01:00,9,0,8900.812796284123,20480,threadfull,808960,4880096,1148002.5624508408,5828174,threadfull,268,11,38,169,45,103,125,173,0,0,THREADFULL,792,1162,885,623,669,1086,653,1087,0,0,THREADFULL,1196,1215,1155,1765,1631,1108,1540,1151,0,0,THREADFULL,6770,7760,7914,13410,14026,8069,13591,8032,0,0,THREADFULL,56.9,60.6,59.6,62.6,64.6,59.8,63.4,60.3,0,0,THREADFULL,15685170,threadfull,6978370,threadfull,34.8,threadfull,THREADFULL,7103.0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:01:15,9,0,8900.812796284123,20480,threadfull,808960,4815127,1148002.5624508408,5865226,threadfull,268,12,35,148,47,115,111,168,0,0,THREADFULL,799,1193,891,623,664,1136,647,1083,0,0,THREADFULL,1190,1211,1143,1738,1612,1108,1524,1151,0,0,THREADFULL,6770,7760,7694,13103,13811,7896,13545,7836,0,0,THREADFULL,56.9,60.6,59.6,62.6,64.6,59.8,63.4,60.3,0,0,THREADFULL,15576686,threadfull,6978458,threadfull,34.8,threadfull,THREADFULL,5282.0,24,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:01:30,9,0,8900.812796284123,0,threadfull,808960,4788606,1148002.5624508408,5870051,threadfull,190,32,41,115,60,125,94,135,0,0,THREADFULL,813,1165,900,618,647,1112,620,1060,0,0,THREADFULL,1190,1215,1150,1658,1620,1108,1520,1152,0,0,THREADFULL,7315,7915,7553,12748,13588,7675,13259,7637,0,0,THREADFULL,63.44300000000004,64.4052777777778,63.72153571428575,61.743134959485,59.1655380952382,65.13308075396823,65.33493076923078,62.72717945665443,0,0,THREADFULL,15529503,threadfull,6979047,threadfull,34.8,threadfull,THREADFULL,5256.123309523812,24,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:01:45,9,0,8939.822320093648,0,threadfull,1128448,4742967,1148002.5624508408,5872748,threadfull,188,34,41,115,58,125,97,132,0,0,THREADFULL,821,1165,901,618,646,1112,617,1054,0,0,THREADFULL,1176,1215,1159,1636,1618,1108,1519,1152,0,0,THREADFULL,6765,7230,7544,12734,13567,7392,12782,7616,0,0,THREADFULL,55.9,57.400000000000006,57.7,61.743134959485,59.1430380952382,57.1,60.15,57.05,0,0,THREADFULL,15511748,threadfull,6979665,threadfull,35.7,threadfull,THREADFULL,5154.843507936508,24,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 17:02:00,9,0,8939.822320093648,0,threadfull,1128448,4741360,1148002.5624508408,5916781,threadfull,121,82,46,57,6,176,99,37,0,0,THREADFULL,869,1107,1003,644,582,1103,586,1021,0,0,THREADFULL,1121,1226,1187,1562,1593,1108,1521,1122,0,0,THREADFULL,6765,7230,7516,12550,13034,7187,12634,7433,0,0,THREADFULL,55.9,57.400000000000006,57.7,62.79029981962485,58.94930952380959,57.1,60.15,57.05,0,0,THREADFULL,15345942,threadfull,6980306,threadfull,35.7,threadfull,THREADFULL,4988.031067460318,24,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
