Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,810,900,860,750,730,790,770,820,0,0,THREADFULL,0.0
2025-05-17 17:00:15,810,900,860,750,730,790,770,820,0,0,THREADFULL,0.25
2025-05-17 17:00:30,810,900,860,750,730,790,770,820,0,0,THREADFULL,0.5
2025-05-17 17:00:45,793,1030,863,640,690,974,663,1027,0,0,THREADFULL,0.75
2025-05-17 17:01:00,793,1030,863,640,690,974,663,1027,0,0,THREADFULL,1.0
2025-05-17 17:01:15,792,1162,885,623,669,1086,653,1087,0,0,THREADFULL,1.25
2025-05-17 17:01:30,799,1193,891,623,664,1136,647,1083,0,0,THREADFULL,1.5
2025-05-17 17:01:45,813,1165,900,618,647,1112,620,1060,0,0,THREADFULL,1.75
2025-05-17 17:02:00,821,1165,901,618,646,1112,617,1054,0,0,THREADFULL,2.0
2025-05-17 17:02:15,869,1107,1003,644,582,1103,586,1021,0,0,THREADFULL,2.25
2025-05-17 17:02:30,874,1090,1016,642,573,1094,584,1014,0,0,THREADFULL,2.5
2025-05-17 17:02:45,856,1055,992,630,584,1101,588,1016,0,0,THREADFULL,2.75
2025-05-17 17:03:00,854,1054,982,630,584,1101,589,1018,0,0,THREADFULL,3.0
2025-05-17 17:03:15,830,1051,933,617,584,1111,593,1078,0,0,THREADFULL,3.25
2025-05-17 17:03:30,819,1051,918,610,584,1111,595,1081,0,0,THREADFULL,3.5
2025-05-17 17:03:45,801,1048,910,604,584,1098,609,1057,0,0,THREADFULL,3.75
2025-05-17 17:04:00,799,1052,905,597,593,1086,624,1052,0,0,THREADFULL,4.0
2025-05-17 17:04:15,773,1177,886,584,666,1007,674,981,0,0,THREADFULL,4.25
2025-05-17 17:04:30,780,1194,876,583,672,988,681,967,0,0,THREADFULL,4.5
2025-05-17 17:04:45,797,1174,883,598,663,990,665,964,0,0,THREADFULL,4.75
2025-05-17 17:05:00,802,1170,884,601,663,990,659,965,0,0,THREADFULL,5.0
2025-05-17 17:05:15,864,1143,887,634,661,1037,585,993,0,0,THREADFULL,5.25
