Time,openeuler-home,openeuler-root,openeuler-swap,sda,source,Minutes
2025-05-17 16:59:45,4561920,2641920,0,10002432,CPU_STRESS,0.0
2025-05-17 17:00:00,4561920,2641920,0,10002432,CPU_STRESS,0.25
2025-05-17 17:00:15,4561920,2641920,0,10002432,CPU_STRESS,0.5
2025-05-17 17:00:30,4561920,3385719,1222,5559186,CPU_STRESS,0.75
2025-05-17 17:00:45,1769472,3385719,1222,5505811,CPU_STRESS,1.0
2025-05-17 17:01:00,1769472,3641013,1222,5243916,CPU_STRESS,1.25
2025-05-17 17:01:15,1769472,3707759,1222,5092271,CPU_STRESS,1.5
2025-05-17 17:01:30,1632204,4178508,1222,5204309,CPU_STRESS,1.75
2025-05-17 17:01:45,1452014,4258120,1222,5350058,CPU_STRESS,2.0
2025-05-17 17:02:00,1433667,5213796,1222,6585232,CPU_STRESS,2.25
2025-05-17 17:02:15,1432415,5319840,1222,6793633,CPU_STRESS,2.5
2025-05-17 17:02:30,1402507,5185167,1222,6390080,CPU_STRESS,2.75
2025-05-17 17:02:45,1444864,5183119,1222,6443793,CPU_STRESS,3.0
2025-05-17 17:03:00,1444864,5132820,1222,6337476,CPU_STRESS,3.25
2025-05-17 17:03:15,1444864,5068041,1222,6265733,CPU_STRESS,3.5
2025-05-17 17:03:30,1444864,4966503,1222,6139901,CPU_STRESS,3.75
2025-05-17 17:03:45,1444864,4962214,1222,6131716,CPU_STRESS,4.0
2025-05-17 17:04:00,1366016,4649744,1222,5738108,CPU_STRESS,4.25
2025-05-17 17:04:15,1366016,4606182,1222,5677073,CPU_STRESS,4.5
2025-05-17 17:04:30,1277952,4531150,1222,5628257,CPU_STRESS,4.75
2025-05-17 17:04:45,1064960,4527373,1222,5628257,CPU_STRESS,5.0
2025-05-17 17:05:00,1064960,4500163,1222,5685235,CPU_STRESS,5.25
2025-05-17 17:05:15,1098735,4482325,1222,5722995,CPU_STRESS,5.5
2025-05-17 17:05:30,1080026,4493934,1222,5735835,CPU_STRESS,5.75
2025-05-17 17:05:45,1080026,4493934,1222,5735835,CPU_STRESS,6.0
2025-05-17 17:06:00,1075696,4510667,1222,5554046,CPU_STRESS,6.25
2025-05-17 17:06:15,1080886,4504069,1222,5468493,CPU_STRESS,6.5
2025-05-17 17:06:30,1097126,4443674,1222,5469376,CPU_STRESS,6.75
2025-05-17 17:06:45,1114464,4418458,1222,5460923,CPU_STRESS,7.0
2025-05-17 17:07:00,1239370,3780171,1222,5417087,CPU_STRESS,7.25
2025-05-17 17:07:15,1262541,3806131,1222,5436632,CPU_STRESS,7.5
2025-05-17 17:07:30,1280998,4083127,1222,5511745,CPU_STRESS,7.75
2025-05-17 17:07:45,1262085,4080477,1222,5531537,CPU_STRESS,8.0
2025-05-17 17:08:00,1261048,4171393,1222,5848096,CPU_STRESS,8.25
2025-05-17 17:08:15,1247324,5100856,1222,5891024,CPU_STRESS,8.5
2025-05-17 17:08:30,1235478,5140915,1222,5873639,CPU_STRESS,8.75
2025-05-17 17:08:45,1205743,4956425,1222,5873639,CPU_STRESS,9.0
2025-05-17 17:09:00,1195200,4942843,1222,5900415,CPU_STRESS,9.25
2025-05-17 17:09:15,1109464,4474722,1222,5888312,CPU_STRESS,9.5
2025-05-17 17:09:30,919093,4465318,1222,5877148,CPU_STRESS,9.75
2025-05-17 17:09:45,932072,4534754,1222,5877148,CPU_STRESS,10.0
2025-05-17 17:10:00,1046782,4561016,1222,5902145,CPU_STRESS,10.25
2025-05-17 17:10:15,1081602,5057866,1222,5911464,CPU_STRESS,10.5
2025-05-17 17:10:30,1305980,5120366,1222,5902146,CPU_STRESS,10.75
2025-05-17 17:10:45,1301953,5011278,1222,5899099,CPU_STRESS,11.0
2025-05-17 17:11:00,1119683,4982064,1222,5890004,CPU_STRESS,11.25
2025-05-17 17:11:15,1076830,4720225,1222,5874092,CPU_STRESS,11.5
2025-05-17 17:11:30,797046,4680947,1222,5865228,CPU_STRESS,11.75
2025-05-17 17:11:45,758674,4731691,1222,5865228,CPU_STRESS,12.0
2025-05-17 17:12:00,799953,4742999,1222,5877428,CPU_STRESS,12.25
2025-05-17 17:12:15,827506,5052491,1222,5885492,CPU_STRESS,12.5
2025-05-17 17:12:30,967308,5056737,1222,5880441,CPU_STRESS,12.75
2025-05-17 17:12:45,1007184,4940495,1222,5880441,CPU_STRESS,13.0
2025-05-17 17:13:00,1139762,4940495,1222,5905087,CPU_STRESS,13.25
2025-05-17 17:13:15,1152782,4784125,1222,5907109,CPU_STRESS,13.5
