Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,70,190,70,60,60,80,70,60,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,70,190,70,60,60,80,70,60,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,230,190,225,220,225,235,225,220,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,230,190,225,220,225,235,225,220,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,350,360,350,350,345,355,350,350,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,350,360,350,350,345,355,350,350,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,310,360,320,320,300,320,320,320,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,263,310,290,278,268,280,278,263,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,262,305,284,274,270,283,279,265,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,260,292,268,260,264,292,267,270,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,260,299,267,262,267,283,260,267,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,257,299,271,266,264,279,260,260,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,253,301,277,274,261,276,255,252,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,253,305,283,277,256,274,247,255,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,253,309,285,285,269,269,261,253,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,252,307,283,284,269,267,246,250,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,251,305,282,292,281,273,251,255,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,255,304,285,300,307,282,261,265,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,256,305,289,299,309,286,268,268,0,0,CPU_STRESS,5.25
2025-05-17 17:05:30,256,305,293,298,310,288,268,266,0,0,CPU_STRESS,5.5
2025-05-17 17:05:45,259,309,305,297,312,294,271,271,0,0,CPU_STRESS,5.75
2025-05-17 17:06:00,269,319,337,301,319,306,281,286,0,0,CPU_STRESS,6.0
2025-05-17 17:06:15,269,322,346,302,318,309,281,287,0,0,CPU_STRESS,6.25
2025-05-17 17:06:30,271,326,347,302,319,307,281,289,0,0,CPU_STRESS,6.5
2025-05-17 17:06:45,273,330,348,303,320,307,284,291,0,0,CPU_STRESS,6.75
2025-05-17 17:07:00,282,345,344,306,318,308,295,295,0,0,CPU_STRESS,7.0
2025-05-17 17:07:15,291,356,342,311,317,309,311,304,0,0,CPU_STRESS,7.25
2025-05-17 17:07:30,292,363,343,312,317,311,312,305,0,0,CPU_STRESS,7.5
2025-05-17 17:07:45,292,364,346,318,319,311,317,313,0,0,CPU_STRESS,7.75
2025-05-17 17:08:00,295,363,342,324,333,311,324,319,0,0,CPU_STRESS,8.0
2025-05-17 17:08:15,303,357,343,333,361,309,336,324,0,0,CPU_STRESS,8.25
2025-05-17 17:08:30,305,357,343,333,361,309,339,321,0,0,CPU_STRESS,8.5
2025-05-17 17:08:45,308,358,345,335,362,314,339,316,0,0,CPU_STRESS,8.75
2025-05-17 17:09:00,317,365,346,342,365,330,339,310,0,0,CPU_STRESS,9.0
2025-05-17 17:09:15,333,369,359,358,386,358,339,294,0,0,CPU_STRESS,9.25
2025-05-17 17:09:30,332,369,360,361,387,362,342,297,0,0,CPU_STRESS,9.5
2025-05-17 17:09:45,326,370,359,361,387,360,343,300,0,0,CPU_STRESS,9.75
2025-05-17 17:10:00,314,370,360,363,380,356,343,319,0,0,CPU_STRESS,10.0
2025-05-17 17:10:15,291,370,361,380,362,354,343,359,0,0,CPU_STRESS,10.25
2025-05-17 17:10:30,291,371,363,377,362,354,350,362,0,0,CPU_STRESS,10.5
2025-05-17 17:10:45,291,369,365,379,362,354,353,364,0,0,CPU_STRESS,10.75
2025-05-17 17:11:00,293,368,374,374,360,358,359,366,0,0,CPU_STRESS,11.0
2025-05-17 17:11:15,294,366,404,350,349,375,386,373,0,0,CPU_STRESS,11.25
2025-05-17 17:11:30,298,368,402,351,350,373,388,374,0,0,CPU_STRESS,11.5
2025-05-17 17:11:45,306,369,404,352,350,372,389,374,0,0,CPU_STRESS,11.75
2025-05-17 17:12:00,336,373,403,357,360,369,389,372,0,0,CPU_STRESS,12.0
2025-05-17 17:12:15,369,401,401,379,394,351,389,360,0,0,CPU_STRESS,12.25
2025-05-17 17:12:30,368,402,400,382,394,351,387,358,0,0,CPU_STRESS,12.5
2025-05-17 17:12:45,368,403,403,381,392,352,386,357,0,0,CPU_STRESS,12.75
2025-05-17 17:13:00,361,400,405,382,391,356,379,357,0,0,CPU_STRESS,13.0
2025-05-17 17:13:15,351,389,420,394,388,386,357,356,0,0,CPU_STRESS,13.25
2025-05-17 17:13:30,349,390,417,394,390,387,357,355,0,0,CPU_STRESS,13.5
2025-05-17 17:13:45,348,391,417,394,389,388,359,356,0,0,CPU_STRESS,13.75
2025-05-17 17:14:00,350,391,416,392,390,388,371,356,0,0,CPU_STRESS,14.0
2025-05-17 17:14:15,358,388,409,379,390,391,406,369,0,0,CPU_STRESS,14.25
2025-05-17 17:14:30,364,387,409,384,392,395,406,370,0,0,CPU_STRESS,14.5
2025-05-17 17:14:45,366,386,408,384,392,396,403,371,0,0,CPU_STRESS,14.75
2025-05-17 17:15:00,369,388,405,385,393,401,399,371,0,0,CPU_STRESS,15.0
2025-05-17 17:15:15,380,398,402,399,405,436,388,371,0,0,CPU_STRESS,15.25
2025-05-17 17:15:30,380,400,403,401,408,447,388,373,0,0,CPU_STRESS,15.5
2025-05-17 17:15:45,380,401,404,401,409,447,386,373,0,0,CPU_STRESS,15.75
2025-05-17 17:16:00,387,402,410,401,408,440,384,375,0,0,CPU_STRESS,16.0
2025-05-17 17:16:15,405,420,426,405,400,421,379,400,0,0,CPU_STRESS,16.25
2025-05-17 17:16:30,405,420,427,405,401,422,381,403,0,0,CPU_STRESS,16.5
