Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 16:59:00,150,170,160,140,140,180,150,140,0,0,NET_LOSS,0.0
2025-05-17 16:59:15,135,170,150,140,140,180,130,140,0,0,NET_LOSS,0.25
2025-05-17 16:59:30,95,100,105,80,95,100,90,80,0,0,NET_LOSS,0.5
2025-05-17 16:59:45,95,100,105,80,95,100,90,80,0,0,NET_LOSS,0.75
2025-05-17 17:00:00,95,130,105,100,95,110,90,90,0,0,NET_LOSS,1.0
2025-05-17 17:00:15,95,130,105,100,95,110,90,90,0,0,NET_LOSS,1.25
2025-05-17 17:00:30,155,200,170,160,170,175,155,145,0,0,NET_LOSS,1.5
2025-05-17 17:00:45,155,200,170,160,170,230,155,145,0,0,NET_LOSS,1.75
2025-05-17 17:01:00,190,240,200,200,210,230,200,190,0,0,NET_LOSS,2.0
2025-05-17 17:01:15,190,240,200,200,210,230,200,190,0,0,NET_LOSS,2.25
2025-05-17 17:01:30,243,247,247,253,233,254,238,222,0,0,NET_LOSS,2.5
2025-05-17 17:01:45,291,298,292,275,263,302,265,270,0,0,NET_LOSS,2.75
2025-05-17 17:02:00,294,301,294,276,265,303,264,270,0,0,NET_LOSS,3.0
2025-05-17 17:02:15,292,303,295,276,268,299,265,272,0,0,NET_LOSS,3.25
2025-05-17 17:02:30,295,305,298,279,271,293,263,274,0,0,NET_LOSS,3.5
2025-05-17 17:02:45,292,307,298,286,274,285,258,275,0,0,NET_LOSS,3.75
2025-05-17 17:03:00,297,312,296,287,276,289,262,278,0,0,NET_LOSS,4.0
2025-05-17 17:03:15,297,314,296,287,280,290,264,280,0,0,NET_LOSS,4.25
2025-05-17 17:03:30,296,313,296,285,280,291,269,279,0,0,NET_LOSS,4.5
2025-05-17 17:03:45,295,314,299,286,283,295,275,281,0,0,NET_LOSS,4.75
2025-05-17 17:04:00,300,318,307,278,291,294,284,280,0,0,NET_LOSS,5.0
2025-05-17 17:04:15,298,318,308,278,292,296,287,281,0,0,NET_LOSS,5.25
2025-05-17 17:04:30,302,320,321,278,297,305,295,281,0,0,NET_LOSS,5.5
2025-05-17 17:04:45,310,323,346,275,312,311,307,282,0,0,NET_LOSS,5.75
2025-05-17 17:05:00,311,323,348,276,311,311,311,285,0,0,NET_LOSS,6.0
2025-05-17 17:05:15,310,325,350,282,305,309,312,287,0,0,NET_LOSS,6.25
2025-05-17 17:05:30,312,333,359,292,296,309,309,296,0,0,NET_LOSS,6.5
2025-05-17 17:05:45,313,359,374,315,284,310,305,314,0,0,NET_LOSS,6.75
2025-05-17 17:06:00,317,361,376,317,283,312,305,321,0,0,NET_LOSS,7.0
2025-05-17 17:06:15,321,361,379,321,283,314,307,321,0,0,NET_LOSS,7.25
2025-05-17 17:06:30,331,361,377,333,284,324,318,323,0,0,NET_LOSS,7.5
2025-05-17 17:06:45,344,358,363,340,288,340,327,324,0,0,NET_LOSS,7.75
2025-05-17 17:07:00,345,357,362,347,297,341,330,326,0,0,NET_LOSS,8.0
2025-05-17 17:07:15,350,359,361,348,297,340,327,324,0,0,NET_LOSS,8.25
2025-05-17 17:07:30,358,366,361,344,306,340,326,320,0,0,NET_LOSS,8.5
2025-05-17 17:07:45,369,369,361,339,320,342,323,317,0,0,NET_LOSS,8.75
2025-05-17 17:08:00,372,373,361,340,320,345,323,319,0,0,NET_LOSS,9.0
2025-05-17 17:08:15,372,373,361,341,322,347,323,315,0,0,NET_LOSS,9.25
2025-05-17 17:08:30,374,370,367,344,345,361,331,317,0,0,NET_LOSS,9.5
2025-05-17 17:08:45,377,371,372,356,377,382,342,319,0,0,NET_LOSS,9.75
2025-05-17 17:09:00,379,371,371,357,377,391,347,323,0,0,NET_LOSS,10.0
2025-05-17 17:09:15,379,371,374,357,374,391,348,325,0,0,NET_LOSS,10.25
2025-05-17 17:09:30,380,371,377,357,365,394,362,328,0,0,NET_LOSS,10.5
2025-05-17 17:09:45,380,372,386,356,346,402,405,340,0,0,NET_LOSS,10.75
2025-05-17 17:10:00,384,370,385,354,349,402,403,340,0,0,NET_LOSS,11.0
2025-05-17 17:10:15,383,370,385,351,349,404,395,346,0,0,NET_LOSS,11.25
2025-05-17 17:10:30,393,371,384,349,357,402,385,350,0,0,NET_LOSS,11.5
2025-05-17 17:10:45,403,382,375,332,375,393,365,361,0,0,NET_LOSS,11.75
2025-05-17 17:11:00,403,383,378,332,385,389,367,364,0,0,NET_LOSS,12.0
2025-05-17 17:11:15,400,386,378,337,385,389,368,365,0,0,NET_LOSS,12.25
2025-05-17 17:11:30,397,396,382,346,386,389,380,368,0,0,NET_LOSS,12.5
2025-05-17 17:11:45,388,423,403,373,395,383,402,378,0,0,NET_LOSS,12.75
2025-05-17 17:12:00,388,421,403,374,396,383,403,381,0,0,NET_LOSS,13.0
2025-05-17 17:12:15,387,422,403,376,396,384,403,381,0,0,NET_LOSS,13.25
2025-05-17 17:12:30,386,417,397,379,395,384,402,384,0,0,NET_LOSS,13.5
2025-05-17 17:12:45,373,399,384,402,393,390,390,392,0,0,NET_LOSS,13.75
2025-05-17 17:13:00,372,398,385,405,394,392,382,396,0,0,NET_LOSS,14.0
2025-05-17 17:13:15,373,399,386,406,394,392,386,396,0,0,NET_LOSS,14.25
2025-05-17 17:13:30,375,401,397,400,397,393,389,396,0,0,NET_LOSS,14.5
2025-05-17 17:13:45,382,409,429,391,400,398,400,391,0,0,NET_LOSS,14.75
2025-05-17 17:14:00,385,412,425,396,404,399,404,393,0,0,NET_LOSS,15.0
2025-05-17 17:14:15,386,413,422,396,403,399,404,393,0,0,NET_LOSS,15.25
2025-05-17 17:14:30,396,414,420,402,403,400,405,397,0,0,NET_LOSS,15.5
2025-05-17 17:14:45,407,419,410,409,401,404,417,412,0,0,NET_LOSS,15.75
2025-05-17 17:15:00,405,418,410,410,401,404,417,413,0,0,NET_LOSS,16.0
2025-05-17 17:15:15,404,418,411,410,402,404,418,413,0,0,NET_LOSS,16.25
2025-05-17 17:15:30,402,416,415,411,404,401,417,411,0,0,NET_LOSS,16.5
2025-05-17 17:15:45,399,410,424,417,421,401,417,396,0,0,NET_LOSS,16.75
2025-05-17 17:16:00,398,408,418,417,419,404,414,397,0,0,NET_LOSS,17.0
2025-05-17 17:16:15,399,408,417,417,418,404,412,397,0,0,NET_LOSS,17.25
2025-05-17 17:16:30,397,408,414,417,414,405,408,398,0,0,NET_LOSS,17.5
2025-05-17 17:16:45,394,406,384,416,392,414,388,408,0,0,NET_LOSS,17.75
2025-05-17 17:17:00,388,407,385,409,392,416,388,409,0,0,NET_LOSS,18.0
2025-05-17 17:17:15,398,406,386,408,393,417,389,409,0,0,NET_LOSS,18.25
2025-05-17 17:17:30,404,413,388,402,394,416,401,410,0,0,NET_LOSS,18.5
2025-05-17 17:17:45,425,438,394,386,416,412,425,416,0,0,NET_LOSS,18.75
2025-05-17 17:18:00,425,440,398,385,420,412,425,416,0,0,NET_LOSS,19.0
2025-05-17 17:18:15,425,442,399,390,420,412,424,416,0,0,NET_LOSS,19.25
2025-05-17 17:18:30,420,443,412,397,421,415,421,420,0,0,NET_LOSS,19.5
2025-05-17 17:18:45,415,447,449,443,424,431,411,431,0,0,NET_LOSS,19.75
2025-05-17 17:19:00,415,450,450,442,423,434,411,433,0,0,NET_LOSS,20.0
2025-05-17 17:19:15,415,452,452,438,423,432,412,434,0,0,NET_LOSS,20.25
2025-05-17 17:19:30,407,453,447,434,423,432,414,435,0,0,NET_LOSS,20.5
2025-05-17 17:19:45,393,455,440,420,425,431,423,444,0,0,NET_LOSS,20.75
2025-05-17 17:20:00,393,453,440,420,426,432,428,446,0,0,NET_LOSS,21.0
2025-05-17 17:20:15,395,454,441,421,427,432,428,447,0,0,NET_LOSS,21.25
2025-05-17 17:20:30,399,450,446,424,427,436,428,445,0,0,NET_LOSS,21.5
2025-05-17 17:20:45,406,442,453,440,428,456,428,435,0,0,NET_LOSS,21.75
2025-05-17 17:21:00,406,442,454,434,434,456,428,437,0,0,NET_LOSS,22.0
2025-05-17 17:21:15,408,443,454,434,434,457,427,436,0,0,NET_LOSS,22.25
2025-05-17 17:21:30,408,445,454,430,435,458,422,435,0,0,NET_LOSS,22.5
2025-05-17 17:21:45,409,449,449,394,458,443,418,427,0,0,NET_LOSS,22.75
2025-05-17 17:22:00,411,449,447,395,458,441,417,427,0,0,NET_LOSS,23.0
2025-05-17 17:22:15,405,447,446,396,454,441,417,427,0,0,NET_LOSS,23.25
2025-05-17 17:22:30,397,442,443,396,447,435,414,426,0,0,NET_LOSS,23.5
2025-05-17 17:22:45,393,418,432,394,427,417,400,422,0,0,NET_LOSS,23.75
2025-05-17 17:23:00,393,417,432,396,427,418,399,420,0,0,NET_LOSS,24.0
2025-05-17 17:23:15,401,417,432,398,426,419,398,420,0,0,NET_LOSS,24.25
2025-05-17 17:23:30,413,417,433,403,425,420,396,420,0,0,NET_LOSS,24.5
2025-05-17 17:23:45,444,421,436,424,411,428,392,419,0,0,NET_LOSS,24.75
2025-05-17 17:24:00,444,420,436,422,408,430,392,418,0,0,NET_LOSS,25.0
2025-05-17 17:24:15,446,421,435,422,411,429,394,418,0,0,NET_LOSS,25.25
2025-05-17 17:24:30,443,420,429,421,409,427,395,418,0,0,NET_LOSS,25.5
2025-05-17 17:24:45,434,428,418,409,400,418,399,418,0,0,NET_LOSS,25.75
2025-05-17 17:25:00,433,422,417,410,405,417,398,418,0,0,NET_LOSS,26.0
2025-05-17 17:25:15,428,425,417,410,405,417,398,418,0,0,NET_LOSS,26.25
