Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,640,790,850,760,820,780,830,700,0,0,BASELINE,0.0
2025-05-17 17:00:15,640,790,850,760,820,780,830,700,0,0,BASELINE,0.25
2025-05-17 17:00:30,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.5
2025-05-17 17:00:45,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.75
2025-05-17 17:01:00,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,1.0
2025-05-17 17:01:15,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,1.25
2025-05-17 17:01:30,880,1220,1560,1670,820,1070,1490,780,0,0,BASELINE,1.5
2025-05-17 17:01:45,880,1220,1560,1670,820,1070,1490,780,0,0,BASELINE,1.75
2025-05-17 17:02:00,880,1220,1560,1670,820,1070,1490,780,0,0,BASELINE,2.0
2025-05-17 17:02:15,880,1220,1560,1670,820,1070,1490,780,0,0,BASELINE,2.25
2025-05-17 17:02:30,987,1011,1561,1585,852,1045,1531,838,0,0,BASELINE,2.5
2025-05-17 17:02:45,1069,838,1639,1564,857,1025,1805,982,0,0,BASELINE,2.75
2025-05-17 17:03:00,1068,850,1607,1599,857,1023,1794,982,0,0,BASELINE,3.0
2025-05-17 17:03:15,1065,863,1611,1607,860,1026,1788,978,0,0,BASELINE,3.25
2025-05-17 17:03:30,1059,924,1590,1629,869,1032,1751,992,0,0,BASELINE,3.5
2025-05-17 17:03:45,1053,1049,1607,1767,1056,1143,1722,1070,0,0,BASELINE,3.75
2025-05-17 17:04:00,1073,1087,1650,1806,1066,1170,1706,1106,0,0,BASELINE,4.0
2025-05-17 17:04:15,1074,1088,1657,1809,1055,1175,1709,1122,0,0,BASELINE,4.25
2025-05-17 17:04:30,1117,1126,1672,1803,1065,1182,1716,1125,0,0,BASELINE,4.5
2025-05-17 17:04:45,1301,1187,1973,1825,1057,1275,1688,1304,0,0,BASELINE,4.75
2025-05-17 17:05:00,1294,1203,1991,1841,1104,1288,1740,1338,0,0,BASELINE,5.0
2025-05-17 17:05:15,1307,1211,2006,1840,1125,1284,1747,1339,0,0,BASELINE,5.25
2025-05-17 17:05:30,1355,1282,2023,1887,1156,1297,1765,1345,0,0,BASELINE,5.5
2025-05-17 17:05:45,1506,1429,2132,2186,1402,1382,2128,1358,0,0,BASELINE,5.75
2025-05-17 17:06:00,1484,1444,2146,2214,1398,1388,2165,1406,0,0,BASELINE,6.0
2025-05-17 17:06:15,1447,1421,2159,2239,1422,1386,2162,1397,0,0,BASELINE,6.25
2025-05-17 17:06:30,1388,1407,2083,2204,1425,1400,2133,1411,0,0,BASELINE,6.5
2025-05-17 17:06:45,1235,1381,1951,2007,1368,1426,1931,1402,0,0,BASELINE,6.75
2025-05-17 17:07:00,1208,1352,1884,1971,1348,1420,1936,1349,0,0,BASELINE,7.0
2025-05-17 17:07:15,1198,1347,1889,1965,1344,1415,1963,1349,0,0,BASELINE,7.25
2025-05-17 17:07:30,1193,1301,1887,1952,1330,1392,1970,1337,0,0,BASELINE,7.5
2025-05-17 17:07:45,1156,1230,1857,1937,1249,1256,1979,1242,0,0,BASELINE,7.75
