Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,420,610,560,560,510,570,470,420,0,0,MEM_STRESS,0.0
2025-05-17 17:00:15,420,610,560,560,510,570,470,420,0,0,MEM_STRESS,0.25
2025-05-17 17:00:30,780,895,865,880,830,860,812,790,0,0,MEM_STRESS,0.5
2025-05-17 17:00:45,780,895,865,880,830,860,812,790,0,0,MEM_STRESS,0.75
2025-05-17 17:01:00,1180,1235,1235,1205,1265,1210,1167,1155,0,0,MEM_STRESS,1.0
2025-05-17 17:01:15,1180,1290,1235,1210,1265,1270,1167,1155,0,0,MEM_STRESS,1.25
2025-05-17 17:01:30,1220,1290,1300,1210,1380,1270,1180,1150,0,0,MEM_STRESS,1.5
2025-05-17 17:01:45,1220,1290,1300,1210,1380,1270,1180,1150,0,0,MEM_STRESS,1.75
2025-05-17 17:02:00,1160,1260,1180,1200,1130,1150,1070,1190,0,0,MEM_STRESS,2.0
2025-05-17 17:02:15,1160,1260,1180,1200,1130,1150,1070,1190,0,0,MEM_STRESS,2.25
2025-05-17 17:02:30,1144,1181,1178,1194,1170,1148,1141,1150,0,0,MEM_STRESS,2.5
2025-05-17 17:02:45,1138,1187,1183,1190,1173,1154,1141,1171,0,0,MEM_STRESS,2.75
2025-05-17 17:03:00,1140,1189,1170,1193,1188,1188,1135,1171,0,0,MEM_STRESS,3.0
2025-05-17 17:03:15,1128,1148,1159,1212,1207,1207,1216,1139,0,0,MEM_STRESS,3.25
2025-05-17 17:03:30,1137,1196,1173,1220,1201,1208,1217,1173,0,0,MEM_STRESS,3.5
2025-05-17 17:03:45,1136,1206,1172,1220,1194,1215,1215,1175,0,0,MEM_STRESS,3.75
2025-05-17 17:04:00,1141,1234,1177,1223,1200,1219,1213,1178,0,0,MEM_STRESS,4.0
2025-05-17 17:04:15,1167,1365,1229,1295,1211,1238,1210,1274,0,0,MEM_STRESS,4.25
2025-05-17 17:04:30,1180,1366,1232,1305,1224,1236,1215,1285,0,0,MEM_STRESS,4.5
2025-05-17 17:04:45,1185,1358,1237,1316,1228,1236,1220,1290,0,0,MEM_STRESS,4.75
2025-05-17 17:05:00,1187,1322,1248,1323,1235,1252,1247,1297,0,0,MEM_STRESS,5.0
2025-05-17 17:05:15,1293,1247,1348,1375,1343,1344,1443,1318,0,0,MEM_STRESS,5.25
2025-05-17 17:05:30,1302,1248,1355,1380,1357,1341,1445,1327,0,0,MEM_STRESS,5.5
2025-05-17 17:05:45,1297,1254,1351,1375,1357,1337,1439,1325,0,0,MEM_STRESS,5.75
2025-05-17 17:06:00,1272,1275,1364,1365,1357,1328,1430,1305,0,0,MEM_STRESS,6.0
2025-05-17 17:06:15,1178,1340,1349,1332,1311,1282,1396,1250,0,0,MEM_STRESS,6.25
2025-05-17 17:06:30,1192,1357,1352,1336,1310,1294,1407,1255,0,0,MEM_STRESS,6.5
2025-05-17 17:06:45,1192,1352,1359,1336,1309,1294,1414,1257,0,0,MEM_STRESS,6.75
2025-05-17 17:07:00,1199,1371,1379,1336,1312,1303,1416,1267,0,0,MEM_STRESS,7.0
2025-05-17 17:07:15,1310,1399,1448,1348,1323,1320,1455,1399,0,0,MEM_STRESS,7.25
2025-05-17 17:07:30,1332,1399,1447,1351,1344,1331,1456,1452,0,0,MEM_STRESS,7.5
2025-05-17 17:07:45,1335,1402,1452,1348,1346,1326,1455,1465,0,0,MEM_STRESS,7.75
2025-05-17 17:08:00,1338,1435,1460,1359,1345,1331,1453,1479,0,0,MEM_STRESS,8.0
2025-05-17 17:08:15,1338,1491,1501,1476,1348,1427,1423,1496,0,0,MEM_STRESS,8.25
2025-05-17 17:08:30,1340,1504,1506,1473,1353,1429,1419,1509,0,0,MEM_STRESS,8.5
2025-05-17 17:08:45,1336,1498,1511,1469,1356,1429,1417,1503,0,0,MEM_STRESS,8.75
2025-05-17 17:09:00,1335,1487,1521,1446,1360,1430,1415,1475,0,0,MEM_STRESS,9.0
2025-05-17 17:09:15,1312,1467,1535,1319,1403,1421,1352,1372,0,0,MEM_STRESS,9.25
2025-05-17 17:09:30,1318,1466,1537,1318,1405,1412,1345,1366,0,0,MEM_STRESS,9.5
2025-05-17 17:09:45,1319,1469,1538,1321,1413,1407,1346,1372,0,0,MEM_STRESS,9.75
2025-05-17 17:10:00,1322,1473,1527,1332,1417,1390,1347,1394,0,0,MEM_STRESS,10.0
2025-05-17 17:10:15,1342,1470,1512,1428,1424,1356,1379,1476,0,0,MEM_STRESS,10.25
2025-05-17 17:10:30,1343,1461,1512,1464,1420,1361,1391,1484,0,0,MEM_STRESS,10.5
2025-05-17 17:10:45,1344,1465,1512,1462,1418,1367,1395,1485,0,0,MEM_STRESS,10.75
2025-05-17 17:11:00,1357,1454,1511,1469,1413,1375,1419,1506,0,0,MEM_STRESS,11.0
