Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,1650,1680,2620,1390,1660,1670,1940,1600,0,0,MEM_STRESS,0.0
2025-05-17 17:00:15,1650,1680,2620,1390,1660,1670,1940,1600,0,0,MEM_STRESS,0.25
2025-05-17 17:00:30,18095,18350,18450,18275,18260,18265,18450,18200,0,0,MEM_STRESS,0.5
2025-05-17 17:00:45,18095,18350,18450,18275,18260,18265,18450,18200,0,0,MEM_STRESS,0.75
2025-05-17 17:01:00,25115,25675,25530,26675,25670,25705,25985,25720,0,0,MEM_STRESS,1.0
2025-05-17 17:01:15,25115,25675,25530,26675,25670,25705,25985,25720,0,0,MEM_STRESS,1.25
2025-05-17 17:01:30,15690,16330,16780,18190,16480,16550,17010,16640,0,0,MEM_STRESS,1.5
2025-05-17 17:01:45,15690,16330,16780,18190,16480,16550,17010,16640,0,0,MEM_STRESS,1.75
2025-05-17 17:02:00,10750,12320,12950,11390,12660,11580,11400,11020,0,0,MEM_STRESS,2.0
2025-05-17 17:02:15,10750,12320,12950,11390,12660,11580,11400,11020,0,0,MEM_STRESS,2.25
2025-05-17 17:02:30,10366,11660,12456,11219,11920,10715,11293,10904,0,0,MEM_STRESS,2.5
2025-05-17 17:02:45,10368,11673,12421,10809,11687,10809,11423,10926,0,0,MEM_STRESS,2.75
2025-05-17 17:03:00,10359,11452,12001,10470,11153,10835,11221,10756,0,0,MEM_STRESS,3.0
2025-05-17 17:03:15,9987,11035,11448,10266,10770,10526,11035,10662,0,0,MEM_STRESS,3.25
2025-05-17 17:03:30,10182,11326,11396,10574,11177,10744,11063,10829,0,0,MEM_STRESS,3.5
2025-05-17 17:03:45,10060,11236,11397,10471,10962,10667,11052,10547,0,0,MEM_STRESS,3.75
2025-05-17 17:04:00,10237,11272,11480,11410,10956,10938,11092,10636,0,0,MEM_STRESS,4.0
2025-05-17 17:04:15,10903,12066,12137,12145,11133,11607,11324,10845,0,0,MEM_STRESS,4.25
2025-05-17 17:04:30,11830,12673,12817,12242,11169,11862,11606,11400,0,0,MEM_STRESS,4.5
2025-05-17 17:04:45,11830,12607,12900,12267,11205,11830,11785,11391,0,0,MEM_STRESS,4.75
2025-05-17 17:05:00,11935,12874,13090,12641,11988,11856,12113,11789,0,0,MEM_STRESS,5.0
2025-05-17 17:05:15,13062,14332,14508,13046,12483,12426,12710,12827,0,0,MEM_STRESS,5.25
2025-05-17 17:05:30,13114,14327,14611,13236,12444,12547,12765,13246,0,0,MEM_STRESS,5.5
2025-05-17 17:05:45,13084,14309,14569,13314,12601,12669,12861,13373,0,0,MEM_STRESS,5.75
2025-05-17 17:06:00,13191,14347,14584,14148,13341,13076,13088,14142,0,0,MEM_STRESS,6.0
2025-05-17 17:06:15,13295,14606,15055,15246,14459,14856,13517,14850,0,0,MEM_STRESS,6.25
2025-05-17 17:06:30,13827,14963,15331,15452,14605,15274,13971,15241,0,0,MEM_STRESS,6.5
2025-05-17 17:06:45,13993,15198,15434,15571,14719,15244,14081,15502,0,0,MEM_STRESS,6.75
2025-05-17 17:07:00,14837,16199,15540,15757,15590,15573,14426,16133,0,0,MEM_STRESS,7.0
2025-05-17 17:07:15,16147,17464,16439,16453,16304,16218,16251,16293,0,0,MEM_STRESS,7.25
2025-05-17 17:07:30,16741,17839,16537,16639,16473,16735,16353,16593,0,0,MEM_STRESS,7.5
2025-05-17 17:07:45,16837,17888,16612,16708,16464,16794,16467,16747,0,0,MEM_STRESS,7.75
2025-05-17 17:08:00,17244,18150,16824,17984,16407,17405,16758,17198,0,0,MEM_STRESS,8.0
2025-05-17 17:08:15,18067,18339,17153,18972,16429,18475,17170,17746,0,0,MEM_STRESS,8.25
2025-05-17 17:08:30,18565,18729,17466,19706,16530,18772,17570,18090,0,0,MEM_STRESS,8.5
2025-05-17 17:08:45,18776,18932,17584,19799,16622,18917,17626,18268,0,0,MEM_STRESS,8.75
2025-05-17 17:09:00,18851,19177,18033,20071,17873,19234,18662,19253,0,0,MEM_STRESS,9.0
2025-05-17 17:09:15,19112,19200,19354,20252,18301,19743,19917,20570,0,0,MEM_STRESS,9.25
2025-05-17 17:09:30,19987,19151,19550,20509,18509,20195,20056,21032,0,0,MEM_STRESS,9.5
2025-05-17 17:09:45,20012,19128,19674,20706,18613,20222,20123,21151,0,0,MEM_STRESS,9.75
2025-05-17 17:10:00,20125,19331,20040,21858,20005,20923,20177,21726,0,0,MEM_STRESS,10.0
2025-05-17 17:10:15,20782,20761,20800,22143,20463,21816,20284,22480,0,0,MEM_STRESS,10.25
2025-05-17 17:10:30,20890,20762,21490,22159,20817,22010,20603,22500,0,0,MEM_STRESS,10.5
2025-05-17 17:10:45,20973,20966,21390,22357,20977,21935,21192,22638,0,0,MEM_STRESS,10.75
2025-05-17 17:11:00,21132,21450,21640,23202,23403,21941,22201,23123,0,0,MEM_STRESS,11.0
2025-05-17 17:11:15,22075,22702,22341,23548,23546,22102,23106,23560,0,0,MEM_STRESS,11.25
2025-05-17 17:11:30,22579,22813,22904,23524,23866,22222,23155,23475,0,0,MEM_STRESS,11.5
2025-05-17 17:11:45,22582,22921,22869,23580,23725,22281,23294,23547,0,0,MEM_STRESS,11.75
2025-05-17 17:12:00,22845,23330,23750,23831,22682,23234,23601,23093,0,0,MEM_STRESS,12.0
2025-05-17 17:12:15,24375,24015,26324,24000,22270,24651,24476,22949,0,0,MEM_STRESS,12.25
2025-05-17 17:12:30,24709,24184,26430,24197,22307,24784,24865,23222,0,0,MEM_STRESS,12.5
2025-05-17 17:12:45,24668,24211,26357,24362,22359,24872,25387,23366,0,0,MEM_STRESS,12.75
2025-05-17 17:13:00,25291,24350,26694,26015,23976,25651,26779,24269,0,0,MEM_STRESS,13.0
2025-05-17 17:13:15,27189,24742,28308,27552,25538,27246,28329,26208,0,0,MEM_STRESS,13.25
2025-05-17 17:13:30,27415,25320,28761,27816,26187,27544,28697,26732,0,0,MEM_STRESS,13.5
2025-05-17 17:13:45,27559,25604,28818,28085,27304,27527,28610,27163,0,0,MEM_STRESS,13.75
2025-05-17 17:14:00,27737,26117,29024,28469,28050,27619,28524,27882,0,0,MEM_STRESS,14.0
