Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,11.0,10.7,10.3,11.0,9.78,10.9,10.3,9.57,0,0,DELAY,0.0
2025-05-17 17:00:15,11.0,10.7,10.3,11.0,9.78,10.9,10.3,9.57,0,0,DELAY,0.25
2025-05-17 17:00:30,11.0,10.7,10.3,11.0,9.78,10.9,10.3,9.57,0,0,DELAY,0.5
2025-05-17 17:00:45,16.3,17.3,16.0,15.7,15.6,15.3,16.5,16.5,0,0,DELAY,0.75
2025-05-17 17:01:00,16.3,17.3,16.0,15.7,15.6,15.3,16.5,16.5,0,0,DELAY,1.0
2025-05-17 17:01:15,49.449999999999996,50.425,50.4,50.550000000000004,49.0,49.05,50.85,49.6,0,0,DELAY,1.25
2025-05-17 17:01:30,49.449999999999996,50.425,50.4,50.550000000000004,49.0,49.05,50.85,49.6,0,0,DELAY,1.5
2025-05-17 17:01:45,88.35,87.225,89.6,90.0,89.35,86.3,90.0,87.7,0,0,DELAY,1.75
2025-05-17 17:02:00,88.35,87.225,89.6,90.0,89.35,86.3,90.0,87.7,0,0,DELAY,2.0
2025-05-17 17:02:15,94.1,90.9,94.4,94.6,96.3,89.8,94.8,92.7,0,0,DELAY,2.25
2025-05-17 17:02:30,75.95131190476197,77.31156825396818,75.9261041666666,78.34545119047618,79.55579047619041,67.28521365634364,78.14353541666665,81.10458373015881,0,0,DELAY,2.5
2025-05-17 17:02:45,80.15480634920642,82.1698765873015,82.30370535714277,84.24327619047617,80.51625714285707,73.07225217282716,84.08534374999999,84.72480039682549,0,0,DELAY,2.75
2025-05-17 17:03:00,85.68896666666673,86.62591666666661,86.6643601190476,88.10021428571426,84.33065635186065,79.72908221778219,88.36673456632653,89.32203134920643,0,0,DELAY,3.0
2025-05-17 17:03:15,86.48002385570952,85.66919428372549,88.12164431818181,89.99900595238093,85.80860422504615,82.597114367332,87.56273239018647,88.1678512987014,0,0,DELAY,3.25
2025-05-17 17:03:30,87.5413905223762,85.94187761705884,88.064579503367,89.64241865079364,86.6451494631414,82.39884428186191,87.9795745470492,88.54912748917758,0,0,DELAY,3.5
2025-05-17 17:03:45,86.19712147475708,82.80986214086839,87.1121317011692,87.71265079365077,84.95978559218194,82.97093798387925,86.07794670822135,85.64114722804078,0,0,DELAY,3.75
2025-05-17 17:04:00,82.15723950771445,78.84804211095926,84.85381344140264,82.59983881673881,79.28020594610706,79.43321637400446,81.09118799533798,80.60223185425689,0,0,DELAY,4.0
2025-05-17 17:04:15,81.98845349241395,80.32400712490124,86.01612693476577,83.72046269841275,80.46639274042954,82.65337731847471,82.65428395023855,81.03009671994676,0,0,DELAY,4.25
2025-05-17 17:04:30,81.53964910644905,80.33205462184873,85.98692453501799,83.74388650793654,80.02470317460322,81.46430659928306,82.59804036049496,81.21932515131931,0,0,DELAY,4.5
2025-05-17 17:04:45,80.70502091096031,80.19537835922249,85.4216834363031,82.75880436507937,79.82456746031745,80.66062164373474,82.29176893192351,81.28035848465261,0,0,DELAY,4.75
2025-05-17 17:05:00,77.25753293650791,80.17386396361809,84.08277122802619,81.97266388888893,79.0759818541451,77.5181990540505,81.87839420990883,82.60978965070873,0,0,DELAY,5.0
2025-05-17 17:05:15,76.28223521560139,79.27085864569223,83.53566284864357,81.7398878787879,77.9778466504255,76.79858620578766,82.40942137795446,81.07399152661061,0,0,DELAY,5.25
2025-05-17 17:05:30,76.10966854893472,79.04146295425775,83.28686642007213,81.56469105339107,77.99963831709218,76.6272486516751,82.61777513731106,81.16393319327729,0,0,DELAY,5.5
2025-05-17 17:05:45,75.899811155451,77.73257135974117,82.41248839809415,81.48931010101009,78.08743831709218,76.56532740347888,81.50684735953323,80.28306533613443,0,0,DELAY,5.75
2025-05-17 17:06:00,75.84903412137403,76.26734144495849,80.06698232323235,80.60967103174602,78.16461770685447,76.31151957519603,80.52056306550449,78.69407023809518,0,0,DELAY,6.0
2025-05-17 17:06:15,76.2625416574654,76.19178329477539,79.76127569340784,80.79997353266886,78.63120856352637,76.60241570175467,81.32702705524204,78.94464629608271,0,0,DELAY,6.25
2025-05-17 17:06:30,76.53916189556065,75.98837853287063,79.75698428236488,80.66767353266886,78.657429198447,76.69570057488806,81.13358504401454,79.08835185163827,0,0,DELAY,6.5
2025-05-17 17:06:45,77.8186906600394,76.46056114935809,79.90465939059,80.83162353266887,79.0492486846626,76.97992676536425,81.23594946292896,79.71508994687638,0,0,DELAY,6.75
2025-05-17 17:07:00,81.39150680150469,77.64957648865874,80.50422581404112,81.30594019933558,79.36934298480692,80.26181032683812,81.77654931599986,81.50467675585286,0,0,DELAY,7.0
2025-05-17 17:07:15,81.4618780136259,78.65472177526236,81.24531220134878,82.16287136816678,79.95974362566932,80.32318419186198,81.98750288742843,81.8038761904762,0,0,DELAY,7.25
2025-05-17 17:07:30,81.51973515648307,79.61739915621474,81.47197886801543,82.93634279673823,80.13712695900266,80.4217271211549,82.07805878854487,81.99479761904762,0,0,DELAY,7.5
2025-05-17 17:07:45,82.10197241891947,81.11260530480743,82.54681352430474,83.74565567552608,81.06035045106614,80.68469485619762,82.82367444704484,82.25347222222223,0,0,DELAY,7.75
2025-05-17 17:08:00,82.45672508294612,85.60987532503242,84.26408319622067,86.82552900432907,83.92591615860836,83.38997738048161,84.86647508073801,83.48518809523806,0,0,DELAY,8.0
2025-05-17 17:08:15,83.04851818854824,85.88438488133636,84.4254888552959,87.27577900432905,84.31816548924934,83.89454098632022,84.87151889026183,83.62800476190472,0,0,DELAY,8.25
2025-05-17 17:08:30,83.25796198364202,85.96615392895539,84.37869441085144,87.49215400432904,84.60288441476827,84.06957114505039,84.92952227190435,83.54021904761903,0,0,DELAY,8.5
2025-05-17 17:08:45,82.86988788265296,85.91445883091617,84.57788205556314,87.78448257575758,84.65780108143494,84.2297568593361,85.19203718650921,82.98524285714285,0,0,DELAY,8.75
2025-05-17 17:09:00,82.12950874217482,85.7708208638321,84.38730264943291,87.77299880952374,84.66268754914452,85.53806683734052,86.27393019210544,82.37485450725742,0,0,DELAY,9.0
2025-05-17 17:09:15,81.87959933775687,85.66679077753768,84.53261230854763,87.60615213675204,84.71355806087722,85.96288070060143,86.24930258124185,82.46810172345572,0,0,DELAY,9.25
2025-05-17 17:09:30,81.89221083321459,84.96421858652643,84.44878957836859,87.48000213675203,84.6131488569848,85.86927064121639,85.87731916376417,82.48843505678906,0,0,DELAY,9.5
2025-05-17 17:09:45,81.89992851719728,83.68905904301783,84.32251020314024,87.03753269230765,83.87098602818857,85.58749957617032,86.02770652043989,82.65261124726527,0,0,DELAY,9.75
2025-05-17 17:10:00,81.93145073941947,79.63000786714998,83.49309705332115,86.10178809523812,81.73406219483297,82.4649768853885,85.18503216800278,83.19309206349207,0,0,DELAY,10.0
2025-05-17 17:10:15,81.94993359838968,79.79497334334047,83.51488521261251,85.89394484126987,81.6091287855072,82.49836550984882,85.44948068766071,83.42291666666668,0,0,DELAY,10.25
2025-05-17 17:10:30,81.98409214180703,79.86103286715,83.4823614030887,85.82806507936512,81.63715570858412,82.644518684452,85.4704687828988,83.57427857142858,0,0,DELAY,10.5
2025-05-17 17:10:45,81.84558835919204,81.36772686350454,83.72244473642208,85.64068431013433,81.9282326821286,82.83177384318216,85.65171082124907,84.02317857142857,0,0,DELAY,10.75
2025-05-17 17:11:00,81.97580178561968,83.17007385470701,84.19972286320893,84.95014682539684,81.96826547232848,83.80400832351619,85.80407767794595,84.61320714285708,0,0,DELAY,11.0
2025-05-17 17:11:15,81.87473931113946,82.87825002429767,83.960729585898,84.75208333333336,81.86048787505865,83.76690023165516,85.78600090208829,84.64565714285709,0,0,DELAY,11.25
2025-05-17 17:11:30,81.87220597780612,82.80469446874213,83.88592958589797,84.69500735930738,81.79570514617761,83.61384445964937,85.59044154751783,84.09676111111102,0,0,DELAY,11.5
2025-05-17 17:11:45,81.87163022023036,82.35296821560931,83.82953672875512,84.61922164502167,81.63625642545391,83.32311033266525,85.37991026005939,82.77511825396823,0,0,DELAY,11.75
2025-05-17 17:12:00,81.8628635535637,80.2504612167273,81.79744718973126,84.62974215686276,81.5080050359201,80.36406699250358,81.74551106907157,78.89707875457866,0,0,DELAY,12.0
2025-05-17 17:12:15,81.89027567477582,80.41614327876005,81.8875844551589,84.63147246201514,81.57910198085469,80.31608147465887,82.42752303220718,78.58160256410245,0,0,DELAY,12.25
2025-05-17 17:12:30,81.96366542164976,80.61360875495053,82.11959005172952,84.62259150963416,81.59451864752135,80.30474035328025,81.98057285540601,78.81212079871338,0,0,DELAY,12.5
2025-05-17 17:12:45,82.1707177952308,80.49008423620685,82.82920236231604,85.1331668831169,81.77304945560216,80.41416240900232,81.86267735153724,79.37872913204674,0,0,DELAY,12.75
2025-05-17 17:13:00,82.71140129493361,80.44905015978276,84.42525794703091,85.48562261904767,82.38365404333112,81.3445831353477,83.34146014287957,80.92443099547506,0,0,DELAY,13.0
2025-05-17 17:13:15,82.7762052831262,80.63346200561554,84.52466161467673,85.50562222222229,82.44722128467384,81.49285806319762,83.27196014287959,80.84073156085175,0,0,DELAY,13.25
2025-05-17 17:13:30,82.79002301965323,81.22040805824713,84.69485512117024,85.45302716450222,82.46227647947904,81.87280198930075,83.82001576803111,80.89324822751844,0,0,DELAY,13.5
2025-05-17 17:13:45,82.77964801965324,81.73066885189795,84.79912131425765,85.08979404761904,82.5520870314271,82.36088777785861,83.70754014386368,81.0040648941851,0,0,DELAY,13.75
2025-05-17 17:14:00,82.7837738919675,83.15579969642592,85.31173492324685,84.79724007936504,82.9751064850102,83.79401054096152,85.72380885332754,81.30815994913014,0,0,DELAY,14.0
2025-05-17 17:14:15,82.83048525331857,83.20591525972439,85.442398648737,84.79047103174598,82.98891025525393,83.79401054096152,85.739678875832,81.08494685389209,0,0,DELAY,14.25
2025-05-17 17:14:30,82.73905661186198,82.9100147835339,85.31006907414493,84.68706468253963,82.99320826280194,83.5825733488845,85.7454303336588,81.2147795031056,0,0,DELAY,14.5
2025-05-17 17:14:45,82.57248006857604,82.17022003675883,84.77539496944928,84.65146944444442,82.8827489276926,83.34540974859588,85.76416583309256,81.21028527233642,0,0,DELAY,14.75
2025-05-17 17:15:00,81.43746667537124,81.15263055607092,83.33858759086657,84.67287896825394,82.43532220629112,82.59094606131059,86.10797950579008,81.38470915750919,0,0,DELAY,15.0
2025-05-17 17:15:15,81.51342540082453,81.53024339453962,83.45120311035622,84.88258134920632,82.57530694312291,83.14971286216972,86.55605194083336,81.7068424908425,0,0,DELAY,15.25
2025-05-17 17:15:30,81.95436123561454,82.05018096502837,83.77307636381535,85.29459593253965,82.65578472090068,83.26881762407449,86.61737336940477,81.82984523809525,0,0,DELAY,15.5
2025-05-17 17:15:45,83.17486075033321,83.01176525342343,85.55212217219054,86.26417966269842,83.13739478195075,83.81496256509085,87.07715587569018,82.77575357142855,0,0,DELAY,15.75
2025-05-17 17:16:00,86.892641072812,86.45828688935735,89.19014296877751,87.78486158119664,84.8827520594283,86.85782069100318,88.28252108134501,83.85124984084537,0,0,DELAY,16.0
2025-05-17 17:16:15,86.99089359231144,86.8368035050503,90.55101452088894,87.867050946276,85.03979842102486,87.29004135644882,88.12815032789125,84.1115770774976,0,0,DELAY,16.25
