Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,10,10,40,40,0,10,70,0,0,0,BASELINE,0.0
2025-05-17 17:00:15,10,10,40,40,0,10,70,0,0,0,BASELINE,0.25
2025-05-17 17:00:30,20,10,10,10,80,30,110,40,0,0,BASELINE,0.5
2025-05-17 17:00:45,30,15,27,32,83,39,102,38,0,0,BASELINE,0.75
2025-05-17 17:01:00,27,15,25,27,81,43,105,49,0,0,BASELINE,1.0
2025-05-17 17:01:15,38,15,37,30,78,63,78,66,0,0,BASELINE,1.25
2025-05-17 17:01:30,38,15,39,31,78,67,78,66,0,0,BASELINE,1.5
2025-05-17 17:01:45,23,32,158,99,18,271,16,161,0,0,BASELINE,1.75
2025-05-17 17:02:00,24,36,168,122,23,290,18,162,0,0,BASELINE,2.0
2025-05-17 17:02:15,31,37,147,140,73,256,90,147,0,0,BASELINE,2.25
2025-05-17 17:02:30,32,37,146,156,75,256,98,147,0,0,BASELINE,2.5
2025-05-17 17:02:45,60,23,146,334,178,111,247,65,0,0,BASELINE,2.75
2025-05-17 17:03:00,71,21,142,373,176,68,250,53,0,0,BASELINE,3.0
2025-05-17 17:03:15,78,23,137,334,166,26,202,42,0,0,BASELINE,3.25
2025-05-17 17:03:30,76,23,138,325,166,26,201,42,0,0,BASELINE,3.5
2025-05-17 17:03:45,33,14,233,333,166,24,108,24,0,0,BASELINE,3.75
2025-05-17 17:04:00,22,13,252,313,164,29,99,25,0,0,BASELINE,4.0
2025-05-17 17:04:15,31,14,216,278,164,43,111,41,0,0,BASELINE,4.25
2025-05-17 17:04:30,32,15,211,235,161,43,111,41,0,0,BASELINE,4.5
2025-05-17 17:04:45,239,32,136,154,82,40,104,237,0,0,BASELINE,4.75
2025-05-17 17:05:00,254,36,120,138,77,49,103,242,0,0,BASELINE,5.0
2025-05-17 17:05:15,186,37,110,132,111,61,103,203,0,0,BASELINE,5.25
2025-05-17 17:05:30,186,37,108,132,113,61,103,203,0,0,BASELINE,5.5
2025-05-17 17:05:45,154,23,140,239,97,170,118,150,0,0,BASELINE,5.75
2025-05-17 17:06:00,149,21,150,251,115,165,122,140,0,0,BASELINE,6.0
2025-05-17 17:06:15,149,22,144,196,150,169,93,132,0,0,BASELINE,6.25
2025-05-17 17:06:30,149,22,144,184,150,169,92,132,0,0,BASELINE,6.5
2025-05-17 17:06:45,212,8,148,140,163,124,37,63,0,0,BASELINE,6.75
2025-05-17 17:07:00,214,7,147,137,167,123,35,54,0,0,BASELINE,7.0
2025-05-17 17:07:15,188,11,142,106,146,126,68,64,0,0,BASELINE,7.25
2025-05-17 17:07:30,186,11,140,104,146,126,69,64,0,0,BASELINE,7.5
2025-05-17 17:07:45,101,28,60,82,43,326,172,119,0,0,BASELINE,7.75
2025-05-17 17:08:00,91,29,52,77,41,332,168,125,0,0,BASELINE,8.0
2025-05-17 17:08:15,77,31,41,77,109,235,117,129,0,0,BASELINE,8.25
2025-05-17 17:08:30,77,31,41,77,110,233,114,129,0,0,BASELINE,8.5
2025-05-17 17:08:45,45,60,46,90,260,109,36,63,0,0,BASELINE,8.75
2025-05-17 17:09:00,40,63,49,91,271,76,35,55,0,0,BASELINE,9.0
2025-05-17 17:09:15,50,58,52,94,313,60,57,64,0,0,BASELINE,9.25
2025-05-17 17:09:30,50,57,52,94,313,60,56,64,0,0,BASELINE,9.5
2025-05-17 17:09:45,52,45,48,100,443,29,8,204,0,0,BASELINE,9.75
2025-05-17 17:10:00,63,39,46,103,484,28,5,211,0,0,BASELINE,10.0
2025-05-17 17:10:15,78,37,49,101,366,43,48,178,0,0,BASELINE,10.25
2025-05-17 17:10:30,79,37,49,101,360,43,44,178,0,0,BASELINE,10.5
2025-05-17 17:10:45,265,19,77,132,122,302,57,120,0,0,BASELINE,10.75
2025-05-17 17:11:00,276,16,83,140,72,308,61,111,0,0,BASELINE,11.0
2025-05-17 17:11:15,235,14,87,135,67,224,79,100,0,0,BASELINE,11.25
2025-05-17 17:11:30,234,14,87,135,66,224,79,100,0,0,BASELINE,11.5
2025-05-17 17:11:45,65,60,39,151,24,88,72,43,0,0,BASELINE,11.75
2025-05-17 17:12:00,42,63,23,153,39,70,76,26,0,0,BASELINE,12.0
2025-05-17 17:12:15,29,52,25,148,96,26,94,38,0,0,BASELINE,12.25
2025-05-17 17:12:30,29,52,25,148,102,26,92,38,0,0,BASELINE,12.5
2025-05-17 17:12:45,46,26,28,137,179,37,92,44,0,0,BASELINE,12.75
2025-05-17 17:13:00,58,22,33,130,187,48,92,52,0,0,BASELINE,13.0
2025-05-17 17:13:15,75,22,41,120,156,60,99,59,0,0,BASELINE,13.25
2025-05-17 17:13:30,75,22,41,120,153,60,108,59,0,0,BASELINE,13.5
2025-05-17 17:13:45,75,8,82,75,66,26,211,28,0,0,BASELINE,13.75
2025-05-17 17:14:00,75,7,82,67,64,21,209,23,0,0,BASELINE,14.0
2025-05-17 17:14:15,75,11,88,69,79,25,163,38,0,0,BASELINE,14.25
2025-05-17 17:14:30,75,11,88,69,79,25,156,38,0,0,BASELINE,14.5
2025-05-17 17:14:45,39,33,59,73,82,36,77,25,0,0,BASELINE,14.75
2025-05-17 17:15:00,33,35,52,75,87,43,62,25,0,0,BASELINE,15.0
2025-05-17 17:15:15,39,37,52,77,124,60,79,36,0,0,BASELINE,15.25
2025-05-17 17:15:30,39,37,52,77,165,60,80,36,0,0,BASELINE,15.5
2025-05-17 17:15:45,55,48,70,128,418,49,93,24,0,0,BASELINE,15.75
2025-05-17 17:16:00,63,49,77,139,461,50,95,24,0,0,BASELINE,16.0
2025-05-17 17:16:15,75,44,78,135,423,60,109,38,0,0,BASELINE,16.25
2025-05-17 17:16:30,75,44,78,135,428,60,111,38,0,0,BASELINE,16.5
2025-05-17 17:16:45,32,16,123,154,481,48,160,28,0,0,BASELINE,16.75
2025-05-17 17:17:00,23,12,129,162,476,49,167,27,0,0,BASELINE,17.0
2025-05-17 17:17:15,29,11,121,148,402,61,165,39,0,0,BASELINE,17.25
2025-05-17 17:17:30,29,11,121,146,373,62,166,39,0,0,BASELINE,17.5
2025-05-17 17:17:45,86,85,62,99,133,131,166,33,0,0,BASELINE,17.75
2025-05-17 17:18:00,102,89,56,85,114,139,166,34,0,0,BASELINE,18.0
2025-05-17 17:18:15,115,64,53,75,124,142,165,43,0,0,BASELINE,18.25
