Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,640,790,850,760,820,780,830,700,0,0,BASELINE,0.0
2025-05-17 17:00:15,640,790,850,760,820,780,830,700,0,0,BASELINE,0.25
2025-05-17 17:00:30,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.5
2025-05-17 17:00:45,928,962,1212,1174,852,967,1172,729,0,0,BASELINE,0.75
2025-05-17 17:01:00,949,967,1303,1220,857,967,1248,726,0,0,BASELINE,1.0
2025-05-17 17:01:15,934,1013,1353,1304,859,1006,1324,737,0,0,BASELINE,1.25
2025-05-17 17:01:30,933,1018,1356,1417,859,1007,1328,740,0,0,BASELINE,1.5
2025-05-17 17:01:45,901,1151,1533,1618,833,1054,1460,785,0,0,BASELINE,1.75
2025-05-17 17:02:00,904,1170,1554,1656,823,1061,1501,800,0,0,BASELINE,2.0
2025-05-17 17:02:15,950,1098,1556,1622,816,1048,1550,829,0,0,BASELINE,2.25
2025-05-17 17:02:30,962,1094,1557,1612,816,1047,1555,835,0,0,BASELINE,2.5
2025-05-17 17:02:45,1074,872,1581,1575,802,1017,1767,938,0,0,BASELINE,2.75
2025-05-17 17:03:00,1095,841,1614,1584,811,1018,1787,951,0,0,BASELINE,3.0
2025-05-17 17:03:15,1078,901,1623,1608,830,1015,1765,980,0,0,BASELINE,3.25
2025-05-17 17:03:30,1072,907,1623,1645,842,1025,1762,980,0,0,BASELINE,3.5
2025-05-17 17:03:45,1064,1048,1609,1772,1008,1131,1734,1074,0,0,BASELINE,3.75
2025-05-17 17:04:00,1066,1089,1617,1792,1077,1160,1707,1088,0,0,BASELINE,4.0
2025-05-17 17:04:15,1095,1105,1653,1830,1092,1191,1700,1126,0,0,BASELINE,4.25
2025-05-17 17:04:30,1107,1111,1681,1832,1093,1193,1698,1127,0,0,BASELINE,4.5
2025-05-17 17:04:45,1276,1170,1996,1831,1073,1275,1691,1274,0,0,BASELINE,4.75
2025-05-17 17:05:00,1318,1182,2041,1859,1092,1291,1735,1342,0,0,BASELINE,5.0
2025-05-17 17:05:15,1379,1176,2106,1959,1109,1311,1789,1367,0,0,BASELINE,5.25
2025-05-17 17:05:30,1392,1181,2111,2094,1117,1317,1833,1368,0,0,BASELINE,5.5
2025-05-17 17:05:45,1566,1458,2180,2309,1384,1389,2154,1399,0,0,BASELINE,5.75
2025-05-17 17:06:00,1552,1473,2179,2303,1457,1407,2179,1404,0,0,BASELINE,6.0
2025-05-17 17:06:15,1451,1452,2144,2250,1433,1423,2136,1411,0,0,BASELINE,6.25
2025-05-17 17:06:30,1431,1448,2044,2110,1433,1428,2119,1410,0,0,BASELINE,6.5
2025-05-17 17:06:45,1264,1393,1940,2001,1373,1444,1989,1384,0,0,BASELINE,6.75
2025-05-17 17:07:00,1252,1367,1890,1993,1356,1443,1946,1374,0,0,BASELINE,7.0
2025-05-17 17:07:15,1215,1349,1879,1933,1346,1424,1928,1368,0,0,BASELINE,7.25
2025-05-17 17:07:30,1211,1344,1874,1927,1346,1410,1932,1360,0,0,BASELINE,7.5
2025-05-17 17:07:45,1167,1236,1839,1917,1278,1286,1953,1261,0,0,BASELINE,7.75
