Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,677,580,540,590,550,760,510,500,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,785,580,540,590,550,760,510,500,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,785,580,540,590,550,760,510,500,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,550,485,485,617,495,645,435,455,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,550,485,485,576,495,645,435,455,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,550,485,485,593,495,645,435,455,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,795,485,485,706,495,645,435,455,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,920,1390,1260,964,950,1060,900,960,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,920,1390,1260,1248,950,1060,900,960,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,920,1390,1260,1305,950,1060,900,960,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,920,1329,1237,1291,950,1060,900,960,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,1160,1400,1236,1289,950,1290,1150,1250,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,1160,1400,1216,1261,950,1290,1150,1250,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,1160,1400,1208,1256,950,1290,1150,1250,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,1116,1400,1215,1243,950,1232,1191,1237,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,1116,1190,1245,1238,1180,1233,1190,1237,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,1089,1190,1245,1210,1180,1193,1221,1237,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,1093,1190,1245,1207,1180,1186,1229,1242,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,1104,1217,1260,1226,1241,1195,1232,1241,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,1110,1217,1285,1239,1242,1194,1232,1242,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,1165,1217,1340,1321,1292,1179,1237,1289,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,1173,1217,1340,1335,1300,1192,1235,1300,0,0,CPU_STRESS,5.25
2025-05-17 17:05:30,1175,1222,1340,1353,1316,1222,1237,1306,0,0,CPU_STRESS,5.5
2025-05-17 17:05:45,1175,1233,1402,1355,1320,1236,1242,1307,0,0,CPU_STRESS,5.75
2025-05-17 17:06:00,1166,1374,1538,1410,1425,1388,1284,1328,0,0,CPU_STRESS,6.0
2025-05-17 17:06:15,1175,1389,1558,1422,1455,1410,1309,1328,0,0,CPU_STRESS,6.25
2025-05-17 17:06:30,1183,1385,1539,1425,1455,1410,1329,1325,0,0,CPU_STRESS,6.5
2025-05-17 17:06:45,1185,1385,1539,1425,1458,1411,1330,1325,0,0,CPU_STRESS,6.75
2025-05-17 17:07:00,1197,1385,1525,1419,1459,1411,1342,1324,0,0,CPU_STRESS,7.0
2025-05-17 17:07:15,1294,1372,1426,1319,1462,1405,1415,1317,0,0,CPU_STRESS,7.25
2025-05-17 17:07:30,1304,1363,1408,1302,1461,1396,1420,1316,0,0,CPU_STRESS,7.5
2025-05-17 17:07:45,1311,1369,1398,1317,1454,1368,1421,1316,0,0,CPU_STRESS,7.75
2025-05-17 17:08:00,1309,1369,1398,1320,1451,1364,1421,1317,0,0,CPU_STRESS,8.0
2025-05-17 17:08:15,1287,1341,1350,1344,1426,1289,1398,1324,0,0,CPU_STRESS,8.25
2025-05-17 17:08:30,1302,1331,1352,1361,1420,1270,1397,1323,0,0,CPU_STRESS,8.5
2025-05-17 17:08:45,1363,1324,1372,1390,1428,1329,1407,1327,0,0,CPU_STRESS,8.75
2025-05-17 17:09:00,1392,1324,1372,1392,1429,1348,1408,1330,0,0,CPU_STRESS,9.0
2025-05-17 17:09:15,1569,1385,1394,1499,1469,1492,1410,1360,0,0,CPU_STRESS,9.25
2025-05-17 17:09:30,1567,1382,1403,1509,1475,1545,1411,1366,0,0,CPU_STRESS,9.5
2025-05-17 17:09:45,1425,1376,1415,1482,1463,1528,1413,1370,0,0,CPU_STRESS,9.75
2025-05-17 17:10:00,1417,1376,1416,1467,1461,1526,1414,1374,0,0,CPU_STRESS,10.0
2025-05-17 17:10:15,1201,1453,1434,1363,1408,1453,1468,1415,0,0,CPU_STRESS,10.25
2025-05-17 17:10:30,1177,1464,1443,1353,1390,1444,1482,1420,0,0,CPU_STRESS,10.5
2025-05-17 17:10:45,1171,1473,1461,1345,1393,1427,1482,1430,0,0,CPU_STRESS,10.75
2025-05-17 17:11:00,1171,1475,1468,1340,1394,1424,1482,1432,0,0,CPU_STRESS,11.0
2025-05-17 17:11:15,1161,1485,1618,1258,1375,1368,1498,1498,0,0,CPU_STRESS,11.25
2025-05-17 17:11:30,1172,1482,1611,1242,1375,1357,1497,1519,0,0,CPU_STRESS,11.5
2025-05-17 17:11:45,1206,1488,1579,1263,1381,1362,1483,1495,0,0,CPU_STRESS,11.75
2025-05-17 17:12:00,1227,1489,1567,1272,1383,1361,1483,1493,0,0,CPU_STRESS,12.0
2025-05-17 17:12:15,1368,1518,1430,1338,1456,1361,1432,1406,0,0,CPU_STRESS,12.25
2025-05-17 17:12:30,1415,1527,1413,1356,1469,1364,1423,1384,0,0,CPU_STRESS,12.5
2025-05-17 17:12:45,1363,1515,1402,1392,1465,1368,1411,1386,0,0,CPU_STRESS,12.75
