Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,19425,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,19425,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,6600,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,6725,1805,1895,2180,1990,1535,1710,1730,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,6725,1805,1895,2180,1990,1535,1710,1730,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,6725,1805,1895,2180,1990,1535,1710,1730,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,6725,1805,1895,2180,1990,1535,1710,1730,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,14000,9425,10085,10005,9290,9375,9725,9150,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,14000,9425,10085,10005,9290,9375,9725,9150,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,14000,9425,10085,10005,9290,9375,9725,9150,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,14000,9425,10085,10005,9290,9375,9725,9150,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,11460,11520,12470,11310,11150,10560,11150,11550,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,11460,11520,12470,11310,11150,10560,11150,11550,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,11460,11520,12470,11310,11150,10560,11150,11550,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,11849,11486,12921,12065,12699,11311,11034,11032,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,10235,11500,11360,10755,10315,11330,11039,11032,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,10235,11375,11360,10755,10315,11624,11100,10940,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,10235,11355,11360,10755,10315,11736,11041,10932,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,10235,11426,11360,10755,10315,11500,10939,10918,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,11070,11492,11490,10990,12720,11483,11080,10950,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,11070,11538,11490,10990,12720,11540,11729,11684,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,11070,11625,11490,10990,12720,11685,12143,12084,0,0,CPU_STRESS,5.25
2025-05-17 17:05:30,11884,11814,13509,12249,13799,11843,12268,12056,0,0,CPU_STRESS,5.5
2025-05-17 17:05:45,11909,12239,13509,12365,13860,12305,12302,12123,0,0,CPU_STRESS,5.75
2025-05-17 17:06:00,12258,12964,13976,12847,14455,13874,12543,12646,0,0,CPU_STRESS,6.0
2025-05-17 17:06:15,12537,13516,14047,13158,14626,14441,12886,12857,0,0,CPU_STRESS,6.25
2025-05-17 17:06:30,12567,13791,13925,13448,14384,14283,13069,12863,0,0,CPU_STRESS,6.5
2025-05-17 17:06:45,12673,13934,13945,13587,14385,14316,13103,12863,0,0,CPU_STRESS,6.75
2025-05-17 17:07:00,13255,14264,13983,13913,14425,14364,13244,13022,0,0,CPU_STRESS,7.0
2025-05-17 17:07:15,14334,15328,14689,15145,14667,14798,13657,14492,0,0,CPU_STRESS,7.25
2025-05-17 17:07:30,14547,16206,15004,15220,14671,15062,13837,15159,0,0,CPU_STRESS,7.5
2025-05-17 17:07:45,14408,16558,15100,15290,14646,15124,14513,15335,0,0,CPU_STRESS,7.75
2025-05-17 17:08:00,14404,16638,15172,15535,15815,15137,14697,15651,0,0,CPU_STRESS,8.0
2025-05-17 17:08:15,14488,17210,16149,15535,17230,15362,16536,16981,0,0,CPU_STRESS,8.25
2025-05-17 17:08:30,14471,17625,16397,16152,17230,15702,16769,17334,0,0,CPU_STRESS,8.5
2025-05-17 17:08:45,14487,17879,16506,18220,17230,16328,16798,17164,0,0,CPU_STRESS,8.75
2025-05-17 17:09:00,15590,18111,17325,18610,16385,16964,16798,17184,0,0,CPU_STRESS,9.0
2025-05-17 17:09:15,16890,18886,17325,18610,18280,17665,16867,17232,0,0,CPU_STRESS,9.25
2025-05-17 17:09:30,16890,19153,19920,19065,18280,18256,16928,17304,0,0,CPU_STRESS,9.5
2025-05-17 17:09:45,16890,19490,19920,19091,18280,18606,17026,17482,0,0,CPU_STRESS,9.75
2025-05-17 17:10:00,18800,19700,19560,19170,19688,18684,17168,17490,0,0,CPU_STRESS,10.0
2025-05-17 17:10:15,19301,20081,20077,20230,19902,18683,18235,17708,0,0,CPU_STRESS,10.25
2025-05-17 17:10:30,19721,20078,19992,20661,20173,18828,18798,18312,0,0,CPU_STRESS,10.5
2025-05-17 17:10:45,20022,20152,20220,21300,20757,19113,19078,18998,0,0,CPU_STRESS,10.75
2025-05-17 17:11:00,20374,20148,20230,21572,21166,19253,19118,19528,0,0,CPU_STRESS,11.0
2025-05-17 17:11:15,20668,20021,20586,22608,22253,19483,19714,20685,0,0,CPU_STRESS,11.25
2025-05-17 17:11:30,20871,20138,21042,22865,22886,19867,20054,21196,0,0,CPU_STRESS,11.5
2025-05-17 17:11:45,21235,20483,21709,22807,23165,20604,20498,21962,0,0,CPU_STRESS,11.75
2025-05-17 17:12:00,21206,20940,22389,22647,23350,21420,20635,22040,0,0,CPU_STRESS,12.0
2025-05-17 17:12:15,20914,21940,23861,22421,23965,22623,21421,22945,0,0,CPU_STRESS,12.25
2025-05-17 17:12:30,21000,22921,24417,22535,24054,23003,22028,23985,0,0,CPU_STRESS,12.5
2025-05-17 17:12:45,21490,23188,24545,23052,24153,22742,22525,23885,0,0,CPU_STRESS,12.75
2025-05-17 17:13:00,21801,23378,24564,23414,24114,22729,22782,23959,0,0,CPU_STRESS,13.0
