Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,194,205,173,213,218,199,171,180,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,70,241,75,70,65,95,65,65,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,70,277,75,70,65,95,65,65,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,70,290,75,70,65,95,65,65,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,190,292,200,200,185,215,190,195,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,190,326,200,200,185,215,190,195,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,190,337,200,200,185,215,190,195,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,310,347,320,320,300,320,320,320,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,260,347,270,260,270,280,270,270,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,260,316,270,260,270,280,270,270,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,270,301,298,279,272,291,262,271,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,258,305,300,289,263,282,256,263,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,257,305,300,288,263,279,256,263,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,256,303,285,282,262,275,254,259,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,256,302,286,280,263,278,255,264,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,259,301,288,282,266,287,262,269,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,259,301,288,284,285,290,266,270,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,259,301,289,297,304,281,264,270,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,260,301,289,301,309,280,263,267,0,0,CPU_STRESS,5.25
2025-05-17 17:05:30,261,302,291,300,314,289,266,268,0,0,CPU_STRESS,5.5
2025-05-17 17:05:45,262,304,300,300,315,292,267,272,0,0,CPU_STRESS,5.75
2025-05-17 17:06:00,268,312,338,301,316,301,275,278,0,0,CPU_STRESS,6.0
2025-05-17 17:06:15,274,321,348,301,317,308,285,288,0,0,CPU_STRESS,6.25
2025-05-17 17:06:30,274,328,351,302,318,310,289,297,0,0,CPU_STRESS,6.5
2025-05-17 17:06:45,276,330,351,302,318,310,290,300,0,0,CPU_STRESS,6.75
2025-05-17 17:07:00,278,336,350,303,316,311,295,304,0,0,CPU_STRESS,7.0
2025-05-17 17:07:15,287,361,343,310,313,311,306,307,0,0,CPU_STRESS,7.25
2025-05-17 17:07:30,293,369,341,316,314,311,314,306,0,0,CPU_STRESS,7.5
2025-05-17 17:07:45,296,364,342,322,317,313,319,310,0,0,CPU_STRESS,7.75
2025-05-17 17:08:00,296,364,343,325,338,314,321,310,0,0,CPU_STRESS,8.0
2025-05-17 17:08:15,300,356,343,325,355,309,332,318,0,0,CPU_STRESS,8.25
2025-05-17 17:08:30,303,356,343,330,359,310,337,318,0,0,CPU_STRESS,8.5
2025-05-17 17:08:45,306,360,344,337,365,314,340,320,0,0,CPU_STRESS,8.75
2025-05-17 17:09:00,308,363,345,338,366,318,341,319,0,0,CPU_STRESS,9.0
2025-05-17 17:09:15,326,366,356,355,382,357,341,309,0,0,CPU_STRESS,9.25
2025-05-17 17:09:30,330,367,362,359,386,371,341,302,0,0,CPU_STRESS,9.5
2025-05-17 17:09:45,334,369,366,364,386,368,342,302,0,0,CPU_STRESS,9.75
2025-05-17 17:10:00,334,369,366,364,386,368,342,309,0,0,CPU_STRESS,10.0
2025-05-17 17:10:15,309,370,366,383,366,359,342,344,0,0,CPU_STRESS,10.25
2025-05-17 17:10:30,304,370,366,385,362,357,343,357,0,0,CPU_STRESS,10.5
2025-05-17 17:10:45,298,370,367,384,364,361,348,363,0,0,CPU_STRESS,10.75
2025-05-17 17:11:00,298,370,369,383,362,362,352,363,0,0,CPU_STRESS,11.0
2025-05-17 17:11:15,299,363,400,353,343,375,379,374,0,0,CPU_STRESS,11.25
2025-05-17 17:11:30,300,363,404,349,341,376,387,376,0,0,CPU_STRESS,11.5
2025-05-17 17:11:45,303,371,406,356,350,376,385,376,0,0,CPU_STRESS,11.75
2025-05-17 17:12:00,313,372,406,356,360,376,385,376,0,0,CPU_STRESS,12.0
2025-05-17 17:12:15,357,396,402,377,390,353,385,358,0,0,CPU_STRESS,12.25
2025-05-17 17:12:30,371,407,402,381,395,349,385,356,0,0,CPU_STRESS,12.5
2025-05-17 17:12:45,379,407,404,383,396,354,385,358,0,0,CPU_STRESS,12.75
2025-05-17 17:13:00,379,407,404,383,396,355,383,358,0,0,CPU_STRESS,13.0
2025-05-17 17:13:15,349,394,416,395,392,378,359,358,0,0,CPU_STRESS,13.25
2025-05-17 17:13:30,345,391,419,399,391,387,358,358,0,0,CPU_STRESS,13.5
2025-05-17 17:13:45,349,393,420,400,390,392,367,358,0,0,CPU_STRESS,13.75
2025-05-17 17:14:00,350,393,420,400,390,392,368,359,0,0,CPU_STRESS,14.0
2025-05-17 17:14:15,358,385,410,386,390,392,403,368,0,0,CPU_STRESS,14.25
2025-05-17 17:14:30,360,386,407,384,390,393,406,371,0,0,CPU_STRESS,14.5
2025-05-17 17:14:45,374,390,407,384,390,393,402,373,0,0,CPU_STRESS,14.75
2025-05-17 17:15:00,375,390,407,384,391,393,402,373,0,0,CPU_STRESS,15.0
2025-05-17 17:15:15,377,397,402,395,413,436,392,373,0,0,CPU_STRESS,15.25
2025-05-17 17:15:30,379,400,402,399,415,448,389,373,0,0,CPU_STRESS,15.5
2025-05-17 17:15:45,381,405,404,400,411,445,383,373,0,0,CPU_STRESS,15.75
2025-05-17 17:16:00,381,405,404,400,410,445,382,373,0,0,CPU_STRESS,16.0
2025-05-17 17:16:15,405,418,424,404,403,426,381,398,0,0,CPU_STRESS,16.25
2025-05-17 17:16:30,407,424,426,405,400,423,380,407,0,0,CPU_STRESS,16.5
