Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,1740,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,1740,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,1740,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,2608,4535,4075,4527,4738,3571,3239,4699,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,5312,4965,4934,5177,4899,4271,5406,5049,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,19530,19470,19500,19960,19140,19050,19590,19450,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,19530,19470,19500,19960,19140,19050,19590,19450,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,26805,27090,27690,27785,26440,26890,27605,26870,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,26805,27090,27690,27785,26440,26890,27605,26870,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,16540,16960,17840,17590,16130,16930,17650,16380,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,16540,16960,17840,17590,16130,16930,17650,16380,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,11460,11520,12470,11310,11150,10560,11150,11550,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,12464,12845,13045,12798,12972,12312,12050,12990,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,11439,12133,12620,11953,11891,11562,11481,12011,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,11010,11576,11635,10980,10809,10973,10978,11033,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,9995,11583,11556,10933,10774,11053,10733,11077,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,9456,11272,10883,10501,9919,11284,10561,10499,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,9198,11086,10690,10444,9780,11302,10597,10362,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,9620,11117,10499,10586,10233,11337,10730,10616,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,10451,11145,10647,10678,10658,11335,11676,10862,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,10914,11289,11381,10905,12066,11307,11988,11713,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,11010,11582,11768,11006,12686,11371,12103,11919,0,0,CPU_STRESS,5.25
2025-05-17 17:05:30,11247,11941,12208,11168,13074,11544,12174,12046,0,0,CPU_STRESS,5.5
2025-05-17 17:05:45,11759,12256,12549,11819,13178,12401,12452,12094,0,0,CPU_STRESS,5.75
2025-05-17 17:06:00,11935,13128,13269,12766,13938,13599,12580,12304,0,0,CPU_STRESS,6.0
2025-05-17 17:06:15,12147,13523,13558,13204,14191,14112,12659,12450,0,0,CPU_STRESS,6.25
2025-05-17 17:06:30,12247,13670,13888,13509,14372,14123,12751,12635,0,0,CPU_STRESS,6.5
2025-05-17 17:06:45,12533,13787,13915,13565,14390,14165,12929,12757,0,0,CPU_STRESS,6.75
2025-05-17 17:07:00,13536,14069,14178,13981,14420,14285,13369,13069,0,0,CPU_STRESS,7.0
2025-05-17 17:07:15,14058,15258,14621,15297,14562,14732,13744,14052,0,0,CPU_STRESS,7.25
2025-05-17 17:07:30,14293,15655,14775,15688,14654,14960,13938,14556,0,0,CPU_STRESS,7.5
2025-05-17 17:07:45,14427,16271,15267,16038,15124,15205,14260,15055,0,0,CPU_STRESS,7.75
2025-05-17 17:08:00,14517,16523,15485,16335,15659,15236,15385,15365,0,0,CPU_STRESS,8.0
2025-05-17 17:08:15,14581,17184,16181,17736,16938,15556,16476,16671,0,0,CPU_STRESS,8.25
2025-05-17 17:08:30,14602,17721,16461,18280,17417,15738,16692,17112,0,0,CPU_STRESS,8.5
2025-05-17 17:08:45,15109,18052,17396,18367,17598,16371,16562,16994,0,0,CPU_STRESS,8.75
2025-05-17 17:09:00,16080,18323,17928,18390,17745,16815,16586,17030,0,0,CPU_STRESS,9.0
2025-05-17 17:09:15,16557,18947,19503,18524,18269,18099,16603,17090,0,0,CPU_STRESS,9.25
2025-05-17 17:09:30,16979,19164,19762,18760,18503,18611,16644,17172,0,0,CPU_STRESS,9.5
2025-05-17 17:09:45,17396,19355,19932,18955,18869,18594,16961,17373,0,0,CPU_STRESS,9.75
2025-05-17 17:10:00,18844,19766,19901,19298,19290,18636,17692,17522,0,0,CPU_STRESS,10.0
2025-05-17 17:10:15,19104,20009,19858,20210,19904,18750,18195,17885,0,0,CPU_STRESS,10.25
2025-05-17 17:10:30,19496,20021,19901,20815,20324,18842,18591,18482,0,0,CPU_STRESS,10.5
2025-05-17 17:10:45,20009,20158,20013,21313,20767,18937,18793,18982,0,0,CPU_STRESS,10.75
2025-05-17 17:11:00,20686,20177,20201,21719,21358,19093,19421,19294,0,0,CPU_STRESS,11.0
2025-05-17 17:11:15,20941,20015,20839,22600,22055,19560,19726,20765,0,0,CPU_STRESS,11.25
2025-05-17 17:11:30,21122,20093,21171,22950,22720,19925,19898,21641,0,0,CPU_STRESS,11.5
2025-05-17 17:11:45,20986,20537,21739,22773,23390,20794,20297,22378,0,0,CPU_STRESS,11.75
2025-05-17 17:12:00,20853,20923,22369,22721,23462,21402,21040,22595,0,0,CPU_STRESS,12.0
2025-05-17 17:12:15,20778,21714,23342,22419,24166,22647,21587,23617,0,0,CPU_STRESS,12.25
2025-05-17 17:12:30,20821,22653,23845,22435,24266,22785,21797,24042,0,0,CPU_STRESS,12.5
2025-05-17 17:12:45,21514,23268,24353,22890,24187,22658,22320,23726,0,0,CPU_STRESS,12.75
2025-05-17 17:13:00,23253,23399,24556,23795,24092,22621,23742,23642,0,0,CPU_STRESS,13.0
2025-05-17 17:13:15,24004,24360,24891,24906,23605,22409,24530,22709,0,0,CPU_STRESS,13.25
2025-05-17 17:13:30,24874,24807,25168,25875,23698,22517,25055,22756,0,0,CPU_STRESS,13.5
2025-05-17 17:13:45,24456,25229,25362,26441,24100,22901,25316,23776,0,0,CPU_STRESS,13.75
2025-05-17 17:14:00,24416,25336,25376,26785,24729,23441,25968,24666,0,0,CPU_STRESS,14.0
2025-05-17 17:14:15,24417,25575,25349,27508,25885,25263,26291,27051,0,0,CPU_STRESS,14.25
2025-05-17 17:14:30,24442,25791,25699,27648,26542,26184,26593,28157,0,0,CPU_STRESS,14.5
2025-05-17 17:14:45,24598,26163,26416,27344,26996,26571,26766,28095,0,0,CPU_STRESS,14.75
2025-05-17 17:15:00,25242,26338,27029,27290,27078,26756,26999,27927,0,0,CPU_STRESS,15.0
2025-05-17 17:15:15,25563,27244,28084,27068,27324,27681,27122,26943,0,0,CPU_STRESS,15.25
2025-05-17 17:15:30,25937,27758,28388,26991,27805,28012,27310,26955,0,0,CPU_STRESS,15.5
2025-05-17 17:15:45,26220,28391,27992,27117,28283,28564,27625,27502,0,0,CPU_STRESS,15.75
2025-05-17 17:16:00,27386,28478,27899,27112,28653,28721,28394,27771,0,0,CPU_STRESS,16.0
2025-05-17 17:16:15,28317,29443,27632,26912,29722,29921,28648,27917,0,0,CPU_STRESS,16.25
2025-05-17 17:16:30,28584,29966,27391,27028,29916,30271,28783,27984,0,0,CPU_STRESS,16.5
2025-05-17 17:16:45,28524,30403,27518,27365,29824,29989,29288,28516,0,0,CPU_STRESS,16.75
2025-05-17 17:17:00,28540,30415,27579,27842,29757,29959,30258,28686,0,0,CPU_STRESS,17.0
2025-05-17 17:17:15,28546,30707,27810,29181,28304,29637,30971,29471,0,0,CPU_STRESS,17.25
2025-05-17 17:17:30,28541,30805,28138,29775,27998,29548,31093,29750,0,0,CPU_STRESS,17.5
2025-05-17 17:17:45,28533,31005,29103,29868,28895,29661,31395,29786,0,0,CPU_STRESS,17.75
2025-05-17 17:18:00,28494,31080,29900,29975,29203,29672,32006,29827,0,0,CPU_STRESS,18.0
2025-05-17 17:18:15,28438,32086,32048,30937,32225,30325,32118,30923,0,0,CPU_STRESS,18.25
2025-05-17 17:18:30,28417,31878,32527,31393,32814,30494,32057,31412,0,0,CPU_STRESS,18.5
2025-05-17 17:18:45,28370,32241,32847,31892,32194,30196,31863,31693,0,0,CPU_STRESS,18.75
2025-05-17 17:19:00,28257,32222,32854,31932,32162,30182,30694,31740,0,0,CPU_STRESS,19.0
2025-05-17 17:19:15,28140,32127,32812,32494,31666,30068,30211,31545,0,0,CPU_STRESS,19.25
2025-05-17 17:19:30,28110,32147,32908,32585,31760,30067,30098,31644,0,0,CPU_STRESS,19.5
2025-05-17 17:19:45,28868,32131,32952,32349,31400,30072,30322,31361,0,0,CPU_STRESS,19.75
2025-05-17 17:20:00,30959,31988,33019,32061,31460,30123,31044,31189,0,0,CPU_STRESS,20.0
2025-05-17 17:20:15,31477,31107,32978,30514,32419,30733,31789,30447,0,0,CPU_STRESS,20.25
2025-05-17 17:20:30,31943,30772,32523,30094,32342,30636,31672,29858,0,0,CPU_STRESS,20.5
2025-05-17 17:20:45,31595,30253,31674,29778,31933,29929,30703,29380,0,0,CPU_STRESS,20.75
2025-05-17 17:21:00,30081,29848,30727,29626,31711,29593,29151,29155,0,0,CPU_STRESS,21.0
2025-05-17 17:21:15,28975,28379,28911,28617,29906,28110,27911,27905,0,0,CPU_STRESS,21.25
2025-05-17 17:21:30,28154,28012,28596,28754,29241,27668,27614,27622,0,0,CPU_STRESS,21.5
2025-05-17 17:21:45,27941,27950,28290,28540,28915,27904,27798,27789,0,0,CPU_STRESS,21.75
2025-05-17 17:22:00,27902,27947,28349,28479,28873,27934,28224,27815,0,0,CPU_STRESS,22.0
2025-05-17 17:22:15,27857,28292,28694,27808,28507,28853,28555,27933,0,0,CPU_STRESS,22.25
2025-05-17 17:22:30,27896,28290,28905,27694,28450,29032,28637,28046,0,0,CPU_STRESS,22.5
2025-05-17 17:22:45,28091,28312,29196,27944,28482,29552,28603,28224,0,0,CPU_STRESS,22.75
2025-05-17 17:23:00,28421,28335,29226,27976,28479,29512,28588,28236,0,0,CPU_STRESS,23.0
2025-05-17 17:23:15,28731,28545,29595,29254,28652,28605,28575,28214,0,0,CPU_STRESS,23.25
