Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,30,35,30,10,10,330,50,10,0,0,DELAY,0.0
2025-05-17 17:00:15,30,35,30,10,10,330,50,10,0,0,DELAY,0.25
2025-05-17 17:00:30,30,35,30,10,10,330,50,10,0,0,DELAY,0.5
2025-05-17 17:00:45,55,35,46,28,45,330,44,22,0,0,DELAY,0.75
2025-05-17 17:01:00,55,20,46,23,102,365,44,22,0,0,DELAY,1.0
2025-05-17 17:01:15,55,5,46,22,111,400,44,22,0,0,DELAY,1.25
2025-05-17 17:01:30,55,7,46,22,119,365,44,22,0,0,DELAY,1.5
2025-05-17 17:01:45,57,45,47,22,119,650,44,22,0,0,DELAY,1.75
2025-05-17 17:02:00,186,70,201,49,69,650,40,18,0,0,DELAY,2.0
2025-05-17 17:02:15,203,70,205,58,60,650,40,18,0,0,DELAY,2.25
2025-05-17 17:02:30,215,70,158,78,70,650,43,23,0,0,DELAY,2.5
2025-05-17 17:02:45,215,46,158,88,70,587,42,23,0,0,DELAY,2.75
2025-05-17 17:03:00,235,21,85,194,240,665,24,36,0,0,DELAY,3.0
2025-05-17 17:03:15,236,15,76,213,236,654,21,49,0,0,DELAY,3.25
2025-05-17 17:03:30,205,12,68,231,219,581,28,60,0,0,DELAY,3.5
2025-05-17 17:03:45,203,12,68,233,219,496,29,60,0,0,DELAY,3.75
2025-05-17 17:04:00,108,16,38,265,139,258,230,89,0,0,DELAY,4.0
2025-05-17 17:04:15,99,21,30,281,130,198,259,92,0,0,DELAY,4.25
2025-05-17 17:04:30,125,27,39,237,131,133,221,97,0,0,DELAY,4.5
2025-05-17 17:04:45,125,28,39,183,136,133,220,97,0,0,DELAY,4.75
2025-05-17 17:05:00,190,85,39,78,455,129,111,90,0,0,DELAY,5.0
2025-05-17 17:05:15,198,86,39,64,444,128,85,86,0,0,DELAY,5.25
2025-05-17 17:05:30,236,58,39,42,396,124,41,85,0,0,DELAY,5.5
2025-05-17 17:05:45,239,58,39,42,384,123,41,85,0,0,DELAY,5.75
2025-05-17 17:06:00,342,22,202,22,277,66,91,89,0,0,DELAY,6.0
2025-05-17 17:06:15,356,16,207,20,236,62,98,91,0,0,DELAY,6.25
2025-05-17 17:06:30,269,7,157,23,205,76,104,94,0,0,DELAY,6.5
2025-05-17 17:06:45,265,7,157,23,205,76,104,94,0,0,DELAY,6.75
2025-05-17 17:07:00,94,26,140,143,374,76,126,141,0,0,DELAY,7.0
2025-05-17 17:07:15,49,29,130,154,403,79,135,150,0,0,DELAY,7.25
2025-05-17 17:07:30,22,31,116,130,383,84,121,146,0,0,DELAY,7.5
2025-05-17 17:07:45,22,31,116,130,383,83,121,146,0,0,DELAY,7.75
2025-05-17 17:08:00,22,25,137,108,249,75,59,86,0,0,DELAY,8.0
2025-05-17 17:08:15,22,24,149,101,210,78,52,70,0,0,DELAY,8.25
2025-05-17 17:08:30,22,27,150,97,170,96,42,60,0,0,DELAY,8.5
2025-05-17 17:08:45,21,29,150,97,169,100,42,60,0,0,DELAY,8.75
2025-05-17 17:09:00,6,106,160,85,92,185,69,37,0,0,DELAY,9.0
2025-05-17 17:09:15,8,105,158,82,85,194,83,35,0,0,DELAY,9.25
2025-05-17 17:09:30,52,74,152,82,79,175,91,41,0,0,DELAY,9.5
2025-05-17 17:09:45,52,70,152,82,79,171,91,41,0,0,DELAY,9.75
2025-05-17 17:10:00,48,43,150,97,78,171,242,46,0,0,DELAY,10.0
2025-05-17 17:10:15,60,36,144,98,78,171,265,50,0,0,DELAY,10.25
2025-05-17 17:10:30,73,30,131,97,86,170,223,60,0,0,DELAY,10.5
2025-05-17 17:10:45,69,30,129,97,86,163,221,60,0,0,DELAY,10.75
2025-05-17 17:11:00,11,16,121,96,40,105,195,151,0,0,DELAY,11.0
2025-05-17 17:11:15,9,12,110,97,30,103,171,159,0,0,DELAY,11.25
2025-05-17 17:11:30,52,11,107,97,31,87,132,152,0,0,DELAY,11.5
2025-05-17 17:11:45,52,11,107,97,34,85,128,152,0,0,DELAY,11.75
2025-05-17 17:12:00,20,24,38,71,228,41,53,157,0,0,DELAY,12.0
2025-05-17 17:12:15,18,29,21,64,228,39,46,157,0,0,DELAY,12.25
2025-05-17 17:12:30,21,31,22,62,215,59,38,153,0,0,DELAY,12.5
2025-05-17 17:12:45,21,31,22,62,211,59,38,153,0,0,DELAY,12.75
2025-05-17 17:13:00,12,40,137,26,78,7,37,68,0,0,DELAY,13.0
2025-05-17 17:13:15,13,42,149,21,68,7,37,39,0,0,DELAY,13.25
2025-05-17 17:13:30,37,40,128,22,38,39,40,23,0,0,DELAY,13.5
2025-05-17 17:13:45,38,15,128,22,38,39,40,23,0,0,DELAY,13.75
2025-05-17 17:14:00,95,15,65,34,28,92,35,75,0,0,DELAY,14.0
2025-05-17 17:14:15,105,15,57,38,24,98,35,87,0,0,DELAY,14.25
2025-05-17 17:14:30,117,20,53,40,29,90,38,94,0,0,DELAY,14.5
2025-05-17 17:14:45,117,25,53,40,29,89,38,94,0,0,DELAY,14.75
2025-05-17 17:15:00,115,25,49,45,87,30,19,79,0,0,DELAY,15.0
2025-05-17 17:15:15,116,25,47,44,105,32,17,71,0,0,DELAY,15.25
2025-05-17 17:15:30,116,25,50,45,118,30,21,70,0,0,DELAY,15.5
2025-05-17 17:15:45,117,35,50,45,119,30,21,35,0,0,DELAY,15.75
2025-05-17 17:16:00,196,20,25,22,440,30,28,42,0,0,DELAY,16.0
2025-05-17 17:16:15,210,20,19,20,435,30,34,50,0,0,DELAY,16.25
2025-05-17 17:16:30,225,20,24,22,411,33,38,42,0,0,DELAY,16.5
2025-05-17 17:16:45,227,24,20,22,411,43,38,35,0,0,DELAY,16.75
2025-05-17 17:17:00,232,13,20,22,418,99,37,35,0,0,DELAY,17.0
2025-05-17 17:17:15,228,11,12,22,408,98,37,35,0,0,DELAY,17.25
2025-05-17 17:17:30,179,11,5,22,396,92,40,35,0,0,DELAY,17.5
2025-05-17 17:17:45,167,11,90,22,394,93,40,80,0,0,DELAY,17.75
2025-05-17 17:18:00,60,24,170,91,363,90,22,90,0,0,DELAY,18.0
2025-05-17 17:18:15,65,29,170,95,309,86,18,90,0,0,DELAY,18.25
2025-05-17 17:18:30,70,31,170,96,272,76,23,90,0,0,DELAY,18.5
2025-05-17 17:18:45,73,31,147,96,270,76,23,87,0,0,DELAY,18.75
2025-05-17 17:19:00,244,57,140,42,140,48,150,62,0,0,DELAY,19.0
2025-05-17 17:19:15,262,60,123,26,132,47,152,55,0,0,DELAY,19.25
2025-05-17 17:19:30,184,56,114,28,250,80,129,60,0,0,DELAY,19.5
2025-05-17 17:19:45,182,56,114,29,190,84,128,60,0,0,DELAY,19.75
2025-05-17 17:20:00,119,47,114,54,190,210,51,35,0,0,DELAY,20.0
2025-05-17 17:20:15,107,41,114,59,190,210,44,32,0,0,DELAY,20.25
2025-05-17 17:20:30,110,37,114,67,125,173,38,38,0,0,DELAY,20.5
2025-05-17 17:20:45,102,37,114,67,60,167,38,38,0,0,DELAY,20.75
2025-05-17 17:21:00,30,54,55,26,60,47,50,84,0,0,DELAY,21.0
2025-05-17 17:21:15,24,54,51,22,60,39,60,88,0,0,DELAY,21.25
2025-05-17 17:21:30,54,50,50,22,60,65,66,94,0,0,DELAY,21.5
2025-05-17 17:21:45,54,49,50,22,175,68,66,94,0,0,DELAY,21.75
2025-05-17 17:22:00,237,19,77,106,230,82,104,118,0,0,DELAY,22.0
2025-05-17 17:22:15,264,14,87,105,230,82,112,130,0,0,DELAY,22.25
2025-05-17 17:22:30,182,7,89,96,230,76,104,134,0,0,DELAY,22.5
2025-05-17 17:22:45,165,7,89,96,195,76,103,133,0,0,DELAY,22.75
2025-05-17 17:23:00,63,32,106,98,68,18,68,51,0,0,DELAY,23.0
2025-05-17 17:23:15,71,34,109,97,51,11,63,29,0,0,DELAY,23.25
2025-05-17 17:23:30,71,40,107,94,31,33,66,23,0,0,DELAY,23.5
2025-05-17 17:23:45,70,20,107,94,31,33,66,23,0,0,DELAY,23.75
2025-05-17 17:24:00,60,10,113,109,31,38,136,204,0,0,DELAY,24.0
2025-05-17 17:24:15,63,0,115,114,31,42,150,219,0,0,DELAY,24.25
2025-05-17 17:24:30,69,10,114,109,31,84,127,176,0,0,DELAY,24.5
2025-05-17 17:24:45,70,20,114,109,31,85,127,176,0,0,DELAY,24.75
2025-05-17 17:25:00,81,20,75,109,24,158,52,183,0,0,DELAY,25.0
2025-05-17 17:25:15,85,20,69,109,23,162,47,184,0,0,DELAY,25.25
2025-05-17 17:25:30,97,20,70,109,29,131,20,179,0,0,DELAY,25.5
2025-05-17 17:25:45,98,30,70,109,29,130,20,179,0,0,DELAY,25.75
2025-05-17 17:26:00,208,20,84,88,52,41,44,94,0,0,DELAY,26.0
2025-05-17 17:26:15,217,20,89,84,66,32,56,77,0,0,DELAY,26.25
2025-05-17 17:26:30,152,20,89,81,72,45,65,59,0,0,DELAY,26.5
2025-05-17 17:26:45,142,24,89,81,72,46,65,59,0,0,DELAY,26.75
2025-05-17 17:27:00,77,34,128,178,76,115,89,29,0,0,DELAY,27.0
2025-05-17 17:27:15,77,36,147,195,78,123,91,21,0,0,DELAY,27.25
2025-05-17 17:27:30,83,36,147,156,85,153,92,23,0,0,DELAY,27.5
2025-05-17 17:27:45,83,36,148,152,85,155,91,23,0,0,DELAY,27.75
2025-05-17 17:28:00,134,17,253,63,39,292,37,161,0,0,DELAY,28.0
2025-05-17 17:28:15,144,14,269,55,29,305,28,172,0,0,DELAY,28.25
2025-05-17 17:28:30,171,11,213,41,29,194,18,154,0,0,DELAY,28.5
2025-05-17 17:28:45,173,11,205,41,29,180,18,154,0,0,DELAY,28.75
2025-05-17 17:29:00,309,11,99,110,68,61,32,295,0,0,DELAY,29.0
2025-05-17 17:29:15,331,11,90,108,78,52,40,334,0,0,DELAY,29.25
2025-05-17 17:29:30,213,11,70,99,85,74,42,279,0,0,DELAY,29.5
2025-05-17 17:29:45,205,11,70,98,86,74,42,269,0,0,DELAY,29.75
2025-05-17 17:30:00,46,56,102,54,310,143,20,189,0,0,DELAY,30.0
2025-05-17 17:30:15,35,59,110,44,327,155,17,159,0,0,DELAY,30.25
2025-05-17 17:30:30,34,50,105,37,268,154,18,137,0,0,DELAY,30.5
2025-05-17 17:30:45,34,50,105,37,254,157,18,137,0,0,DELAY,30.75
2025-05-17 17:31:00,73,47,46,111,101,234,94,248,0,0,DELAY,31.0
2025-05-17 17:31:15,80,43,37,108,83,241,102,261,0,0,DELAY,31.25
2025-05-17 17:31:30,91,40,41,98,72,205,102,320,0,0,DELAY,31.5
2025-05-17 17:31:45,89,40,41,97,72,75,102,20,0,0,DELAY,31.75
2025-05-17 17:32:00,46,17,24,44,40,75,87,20,0,0,DELAY,32.0
2025-05-17 17:32:15,46,14,18,28,26,75,77,20,0,0,DELAY,32.25
2025-05-17 17:32:30,40,11,22,22,29,102,76,38,0,0,DELAY,32.5
2025-05-17 17:32:45,20,11,22,22,29,10,76,65,0,0,DELAY,32.75
2025-05-17 17:33:00,30,5,22,28,93,10,42,37,0,0,DELAY,33.0
2025-05-17 17:33:15,40,5,22,33,102,10,35,10,0,0,DELAY,33.25
2025-05-17 17:33:30,30,6,22,37,110,38,33,0,0,0,DELAY,33.5
2025-05-17 17:33:45,20,6,22,37,110,38,33,80,0,0,DELAY,33.75
2025-05-17 17:34:00,20,32,15,26,74,21,19,80,0,0,DELAY,34.0
2025-05-17 17:34:15,20,34,15,26,69,22,16,83,0,0,DELAY,34.25
2025-05-17 17:34:30,0,36,20,29,71,39,19,86,0,0,DELAY,34.5
2025-05-17 17:34:45,30,36,20,29,71,40,19,86,0,0,DELAY,34.75
2025-05-17 17:35:00,30,32,16,18,149,33,13,41,0,0,DELAY,35.0
2025-05-17 17:35:15,30,31,16,15,159,40,12,34,0,0,DELAY,35.25
2025-05-17 17:35:30,48,30,22,18,152,59,17,38,0,0,DELAY,35.5
2025-05-17 17:35:45,47,30,22,18,152,59,17,38,0,0,DELAY,35.75
2025-05-17 17:36:00,22,34,15,31,62,23,25,140,0,0,DELAY,36.0
2025-05-17 17:36:15,20,35,15,37,49,23,34,144,0,0,DELAY,36.25
2025-05-17 17:36:30,35,36,20,40,29,40,20,140,0,0,DELAY,36.5
2025-05-17 17:36:45,52,36,20,40,29,42,5,140,0,0,DELAY,36.75
2025-05-17 17:37:00,168,13,16,26,28,96,2,140,0,0,DELAY,37.0
2025-05-17 17:37:15,182,9,16,26,32,95,0,140,0,0,DELAY,37.25
2025-05-17 17:37:30,154,6,22,29,38,94,7,139,0,0,DELAY,37.5
2025-05-17 17:37:45,147,6,22,29,38,95,15,139,0,0,DELAY,37.75
2025-05-17 17:38:00,70,9,40,62,38,162,15,76,0,0,DELAY,38.0
2025-05-17 17:38:15,69,9,47,71,38,170,15,61,0,0,DELAY,38.25
2025-05-17 17:38:30,66,11,50,77,38,142,0,58,0,0,DELAY,38.5
2025-05-17 17:38:45,66,11,50,76,38,142,20,58,0,0,DELAY,38.75
2025-05-17 17:39:00,70,33,47,39,84,104,20,37,0,0,DELAY,39.0
2025-05-17 17:39:15,73,35,47,26,101,103,27,35,0,0,DELAY,39.25
2025-05-17 17:39:30,74,36,49,28,106,91,33,41,0,0,DELAY,39.5
2025-05-17 17:39:45,74,36,49,28,106,91,33,41,0,0,DELAY,39.75
2025-05-17 17:40:00,133,32,77,28,45,90,39,97,0,0,DELAY,40.0
2025-05-17 17:40:15,138,31,86,28,34,87,41,100,0,0,DELAY,40.25
2025-05-17 17:40:30,131,30,86,28,29,80,43,102,0,0,DELAY,40.5
2025-05-17 17:40:45,129,30,86,28,15,79,43,102,0,0,DELAY,40.75
2025-05-17 17:41:00,68,24,56,36,15,42,40,82,0,0,DELAY,41.0
2025-05-17 17:41:15,70,23,48,38,27,38,39,72,0,0,DELAY,41.25
2025-05-17 17:41:30,64,23,49,40,5,66,40,72,0,0,DELAY,41.5
2025-05-17 17:41:45,63,23,49,40,160,69,20,72,0,0,DELAY,41.75
2025-05-17 17:42:00,11,8,49,36,310,74,22,39,0,0,DELAY,42.0
2025-05-17 17:42:15,7,5,49,36,310,76,25,36,0,0,DELAY,42.25
2025-05-17 17:42:30,21,6,49,37,310,81,22,41,0,0,DELAY,42.5
2025-05-17 17:42:45,20,6,49,37,200,80,20,41,0,0,DELAY,42.75
2025-05-17 17:43:00,9,26,63,26,125,54,20,45,0,0,DELAY,43.0
2025-05-17 17:43:15,9,29,68,26,118,51,20,50,0,0,DELAY,43.25
2025-05-17 17:43:30,24,30,71,28,105,61,20,60,0,0,DELAY,43.5
2025-05-17 17:43:45,21,30,71,28,105,61,75,60,0,0,DELAY,43.75
2025-05-17 17:44:00,4,15,45,41,44,38,110,239,0,0,DELAY,44.0
2025-05-17 17:44:15,4,12,37,44,31,36,110,246,0,0,DELAY,44.25
2025-05-17 17:44:30,15,11,42,45,29,77,110,191,0,0,DELAY,44.5
2025-05-17 17:44:45,16,11,42,45,29,98,102,191,0,0,DELAY,44.75
2025-05-17 17:45:00,33,33,42,37,99,245,51,178,0,0,DELAY,45.0
2025-05-17 17:45:15,41,35,46,35,112,253,43,164,0,0,DELAY,45.25
2025-05-17 17:45:30,58,36,49,37,111,193,38,153,0,0,DELAY,45.5
2025-05-17 17:45:45,57,36,49,37,111,192,38,153,0,0,DELAY,45.75
2025-05-17 17:46:00,12,36,59,37,53,196,38,106,0,0,DELAY,46.0
2025-05-17 17:46:15,6,36,63,37,36,185,38,99,0,0,DELAY,46.25
2025-05-17 17:46:30,16,36,69,37,32,155,38,94,0,0,DELAY,46.5
2025-05-17 17:46:45,17,36,69,37,32,150,38,94,0,0,DELAY,46.75
2025-05-17 17:47:00,19,32,38,42,42,90,59,65,0,0,DELAY,47.0
2025-05-17 17:47:15,20,31,30,44,51,97,70,56,0,0,DELAY,47.25
2025-05-17 17:47:30,49,35,36,45,60,81,78,58,0,0,DELAY,47.5
