Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,180,200,120,140,170,250,140,180,0,0,DELAY,0.0
2025-05-17 17:00:15,180,200,120,140,170,250,140,180,0,0,DELAY,0.25
2025-05-17 17:00:30,180,200,120,140,170,250,140,180,0,0,DELAY,0.5
2025-05-17 17:00:45,283,397,313,276,371,391,262,345,0,0,DELAY,0.75
2025-05-17 17:01:00,185,230,130,160,175,235,160,185,0,0,DELAY,1.0
2025-05-17 17:01:15,185,230,130,160,175,235,160,185,0,0,DELAY,1.25
2025-05-17 17:01:30,185,230,130,160,175,235,160,185,0,0,DELAY,1.5
2025-05-17 17:01:45,415,430,345,400,495,565,375,545,0,0,DELAY,1.75
2025-05-17 17:02:00,415,430,345,400,495,565,375,545,0,0,DELAY,2.0
2025-05-17 17:02:15,415,660,345,400,495,565,375,545,0,0,DELAY,2.25
2025-05-17 17:02:30,650,660,570,660,820,880,610,910,0,0,DELAY,2.5
2025-05-17 17:02:45,690,900,650,520,450,770,450,790,0,0,DELAY,2.75
2025-05-17 17:03:00,690,877,650,520,450,770,450,790,0,0,DELAY,3.0
2025-05-17 17:03:15,625,920,664,543,503,775,480,740,0,0,DELAY,3.25
2025-05-17 17:03:30,612,909,675,566,560,765,503,737,0,0,DELAY,3.5
2025-05-17 17:03:45,612,906,675,566,572,765,503,737,0,0,DELAY,3.75
2025-05-17 17:04:00,521,840,735,643,695,765,666,666,0,0,DELAY,4.0
2025-05-17 17:04:15,534,830,746,660,729,765,708,648,0,0,DELAY,4.25
2025-05-17 17:04:30,567,826,727,685,733,765,709,676,0,0,DELAY,4.5
2025-05-17 17:04:45,567,826,722,685,734,765,709,677,0,0,DELAY,4.75
2025-05-17 17:05:00,705,937,696,645,767,752,709,891,0,0,DELAY,5.0
2025-05-17 17:05:15,707,941,676,642,779,752,709,915,0,0,DELAY,5.25
2025-05-17 17:05:30,702,933,672,641,784,755,709,939,0,0,DELAY,5.5
2025-05-17 17:05:45,702,932,672,645,786,759,709,939,0,0,DELAY,5.75
