Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,180,200,120,140,170,250,140,180,0,0,DELAY,0.0
2025-05-17 17:00:15,180,200,120,140,170,250,140,180,0,0,DELAY,0.25
2025-05-17 17:00:30,180,200,120,140,170,250,140,180,0,0,DELAY,0.5
2025-05-17 17:00:45,288,396,291,292,376,391,268,338,0,0,DELAY,0.75
2025-05-17 17:01:00,185,230,130,160,175,235,160,185,0,0,DELAY,1.0
2025-05-17 17:01:15,185,230,130,160,175,235,160,185,0,0,DELAY,1.25
2025-05-17 17:01:30,185,230,130,160,175,235,160,185,0,0,DELAY,1.5
2025-05-17 17:01:45,415,430,345,400,495,565,375,545,0,0,DELAY,1.75
2025-05-17 17:02:00,415,430,345,400,495,565,375,545,0,0,DELAY,2.0
2025-05-17 17:02:15,415,660,345,400,495,565,375,545,0,0,DELAY,2.25
2025-05-17 17:02:30,650,660,570,660,820,880,610,910,0,0,DELAY,2.5
2025-05-17 17:02:45,690,900,650,520,450,770,450,790,0,0,DELAY,2.75
2025-05-17 17:03:00,690,856,650,520,450,770,450,790,0,0,DELAY,3.0
2025-05-17 17:03:15,620,891,672,551,488,775,481,741,0,0,DELAY,3.25
2025-05-17 17:03:30,600,889,682,563,511,765,502,737,0,0,DELAY,3.5
2025-05-17 17:03:45,600,889,682,563,625,765,502,737,0,0,DELAY,3.75
2025-05-17 17:04:00,526,837,734,636,695,765,643,655,0,0,DELAY,4.0
2025-05-17 17:04:15,522,834,756,669,715,765,703,649,0,0,DELAY,4.25
2025-05-17 17:04:30,574,837,741,692,721,765,712,679,0,0,DELAY,4.5
2025-05-17 17:04:45,575,837,730,691,728,765,712,682,0,0,DELAY,4.75
2025-05-17 17:05:00,692,928,697,642,769,752,712,898,0,0,DELAY,5.0
2025-05-17 17:05:15,707,950,676,645,780,752,712,915,0,0,DELAY,5.25
2025-05-17 17:05:30,688,936,674,646,785,755,714,935,0,0,DELAY,5.5
2025-05-17 17:05:45,693,935,674,647,795,759,714,935,0,0,DELAY,5.75
