Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,180,200,120,140,170,250,140,180,0,0,DELAY,0.0
2025-05-17 17:00:15,180,200,120,140,170,250,140,180,0,0,DELAY,0.25
2025-05-17 17:00:30,180,200,120,140,170,250,140,180,0,0,DELAY,0.5
2025-05-17 17:00:45,190,260,140,180,180,220,180,190,0,0,DELAY,0.75
2025-05-17 17:01:00,190,260,140,180,180,220,180,190,0,0,DELAY,1.0
2025-05-17 17:01:15,420,525,350,365,442,495,380,460,0,0,DELAY,1.25
2025-05-17 17:01:30,420,525,350,365,442,495,380,460,0,0,DELAY,1.5
2025-05-17 17:01:45,650,725,565,605,762,825,595,820,0,0,DELAY,1.75
2025-05-17 17:02:00,650,660,565,605,762,825,595,820,0,0,DELAY,2.0
2025-05-17 17:02:15,650,660,570,660,820,880,610,910,0,0,DELAY,2.25
2025-05-17 17:02:30,591,721,532,520,527,683,457,745,0,0,DELAY,2.5
2025-05-17 17:02:45,601,746,560,523,545,708,463,765,0,0,DELAY,2.75
2025-05-17 17:03:00,613,843,647,531,467,745,476,746,0,0,DELAY,3.0
2025-05-17 17:03:15,632,920,666,544,500,764,497,760,0,0,DELAY,3.25
2025-05-17 17:03:30,647,916,668,543,517,770,502,756,0,0,DELAY,3.5
2025-05-17 17:03:45,638,893,688,562,539,769,544,727,0,0,DELAY,3.75
2025-05-17 17:04:00,548,846,733,660,677,763,693,696,0,0,DELAY,4.0
2025-05-17 17:04:15,544,847,745,665,739,762,712,698,0,0,DELAY,4.25
2025-05-17 17:04:30,547,843,756,661,739,760,711,704,0,0,DELAY,4.5
2025-05-17 17:04:45,561,849,743,660,746,754,709,726,0,0,DELAY,4.75
2025-05-17 17:05:00,705,958,683,646,787,755,709,903,0,0,DELAY,5.0
2025-05-17 17:05:15,712,955,672,643,785,769,708,913,0,0,DELAY,5.25
2025-05-17 17:05:30,707,934,672,649,786,779,710,910,0,0,DELAY,5.5
2025-05-17 17:05:45,705,920,672,669,787,797,715,905,0,0,DELAY,5.75
