Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 16:59:00,150,170,160,140,150,180,150,140,0,0,NET_LOSS,0.0
2025-05-17 16:59:15,150,170,160,140,140,180,150,140,0,0,NET_LOSS,0.25
2025-05-17 16:59:30,70,100,70,80,95,100,70,80,0,0,NET_LOSS,0.5
2025-05-17 16:59:45,212,236,210,188,95,258,238,194,0,0,NET_LOSS,0.75
2025-05-17 17:00:00,90,130,105,100,95,110,90,90,0,0,NET_LOSS,1.0
2025-05-17 17:00:15,90,130,105,100,95,110,90,90,0,0,NET_LOSS,1.25
2025-05-17 17:00:30,150,200,170,160,170,175,155,145,0,0,NET_LOSS,1.5
2025-05-17 17:00:45,190,240,200,200,170,230,200,190,0,0,NET_LOSS,1.75
2025-05-17 17:01:00,190,240,200,200,210,230,200,190,0,0,NET_LOSS,2.0
2025-05-17 17:01:15,190,240,200,200,210,230,200,190,0,0,NET_LOSS,2.25
2025-05-17 17:01:30,249,269,249,235,270,265,252,230,0,0,NET_LOSS,2.5
2025-05-17 17:01:45,330,316,287,291,259,299,269,276,0,0,NET_LOSS,2.75
2025-05-17 17:02:00,310,323,300,291,273,308,271,288,0,0,NET_LOSS,3.0
2025-05-17 17:02:15,298,320,299,281,270,303,267,280,0,0,NET_LOSS,3.25
2025-05-17 17:02:30,298,320,299,282,275,300,261,280,0,0,NET_LOSS,3.5
2025-05-17 17:02:45,298,320,299,285,279,292,259,280,0,0,NET_LOSS,3.75
2025-05-17 17:03:00,298,320,299,287,280,291,259,280,0,0,NET_LOSS,4.0
2025-05-17 17:03:15,297,320,299,288,279,290,262,280,0,0,NET_LOSS,4.25
2025-05-17 17:03:30,297,319,298,287,279,290,273,280,0,0,NET_LOSS,4.5
2025-05-17 17:03:45,295,313,293,282,280,291,279,280,0,0,NET_LOSS,4.75
2025-05-17 17:04:00,295,310,297,281,281,291,282,280,0,0,NET_LOSS,5.0
2025-05-17 17:04:15,298,305,304,281,284,293,286,280,0,0,NET_LOSS,5.25
2025-05-17 17:04:30,299,305,314,280,304,303,307,281,0,0,NET_LOSS,5.5
2025-05-17 17:04:45,305,316,340,275,316,308,318,281,0,0,NET_LOSS,5.75
2025-05-17 17:05:00,309,319,348,276,318,309,318,284,0,0,NET_LOSS,6.0
2025-05-17 17:05:15,312,328,355,283,311,310,314,287,0,0,NET_LOSS,6.25
2025-05-17 17:05:30,313,339,356,286,293,311,306,294,0,0,NET_LOSS,6.5
2025-05-17 17:05:45,313,366,371,305,287,311,305,310,0,0,NET_LOSS,6.75
2025-05-17 17:06:00,314,367,377,321,286,311,304,317,0,0,NET_LOSS,7.0
2025-05-17 17:06:15,319,363,377,332,286,311,307,324,0,0,NET_LOSS,7.25
2025-05-17 17:06:30,322,363,377,335,291,322,320,325,0,0,NET_LOSS,7.5
2025-05-17 17:06:45,348,355,368,345,289,337,327,326,0,0,NET_LOSS,7.75
2025-05-17 17:07:00,353,355,363,348,290,340,330,325,0,0,NET_LOSS,8.0
2025-05-17 17:07:15,358,359,364,347,295,340,327,324,0,0,NET_LOSS,8.25
2025-05-17 17:07:30,360,361,364,346,309,341,323,321,0,0,NET_LOSS,8.5
2025-05-17 17:07:45,364,366,364,334,317,342,320,316,0,0,NET_LOSS,8.75
2025-05-17 17:08:00,369,366,364,333,319,346,320,315,0,0,NET_LOSS,9.0
2025-05-17 17:08:15,373,369,365,340,329,349,322,315,0,0,NET_LOSS,9.25
2025-05-17 17:08:30,374,369,365,341,363,363,330,316,0,0,NET_LOSS,9.5
2025-05-17 17:08:45,379,370,369,356,380,385,338,319,0,0,NET_LOSS,9.75
2025-05-17 17:09:00,381,370,372,356,383,391,340,322,0,0,NET_LOSS,10.0
2025-05-17 17:09:15,384,370,377,358,375,393,349,326,0,0,NET_LOSS,10.25
2025-05-17 17:09:30,384,370,378,358,360,393,379,330,0,0,NET_LOSS,10.5
2025-05-17 17:09:45,384,370,384,357,344,404,403,339,0,0,NET_LOSS,10.75
2025-05-17 17:10:00,384,370,387,357,343,408,405,342,0,0,NET_LOSS,11.0
2025-05-17 17:10:15,385,372,391,356,351,406,396,346,0,0,NET_LOSS,11.25
2025-05-17 17:10:30,386,373,391,354,366,406,378,350,0,0,NET_LOSS,11.5
2025-05-17 17:10:45,403,380,376,333,377,396,368,359,0,0,NET_LOSS,11.75
2025-05-17 17:11:00,404,384,375,330,381,393,367,363,0,0,NET_LOSS,12.0
2025-05-17 17:11:15,400,389,380,338,384,392,377,368,0,0,NET_LOSS,12.25
2025-05-17 17:11:30,400,396,381,342,392,391,398,369,0,0,NET_LOSS,12.5
2025-05-17 17:11:45,394,425,405,364,398,385,407,377,0,0,NET_LOSS,12.75
2025-05-17 17:12:00,393,428,406,370,399,383,409,381,0,0,NET_LOSS,13.0
2025-05-17 17:12:15,393,431,404,386,399,383,403,384,0,0,NET_LOSS,13.25
2025-05-17 17:12:30,392,430,404,388,397,383,396,386,0,0,NET_LOSS,13.5
2025-05-17 17:12:45,372,402,385,403,391,389,389,396,0,0,NET_LOSS,13.75
2025-05-17 17:13:00,371,396,382,406,389,391,388,397,0,0,NET_LOSS,14.0
2025-05-17 17:13:15,374,400,382,407,392,392,392,396,0,0,NET_LOSS,14.25
2025-05-17 17:13:30,375,400,384,407,400,392,396,395,0,0,NET_LOSS,14.5
2025-05-17 17:13:45,380,407,420,391,409,398,399,391,0,0,NET_LOSS,14.75
2025-05-17 17:14:00,381,409,422,391,408,400,400,391,0,0,NET_LOSS,15.0
2025-05-17 17:14:15,387,410,423,390,407,403,403,396,0,0,NET_LOSS,15.25
2025-05-17 17:14:30,389,410,423,391,403,404,408,397,0,0,NET_LOSS,15.5
2025-05-17 17:14:45,404,416,413,406,400,406,416,412,0,0,NET_LOSS,15.75
2025-05-17 17:15:00,404,418,411,407,400,407,419,416,0,0,NET_LOSS,16.0
