Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 16:59:15,1210,1170,1260,1170,1130,1430,1160,1220,0,0,NET_LOSS,0.0
2025-05-17 16:59:30,660,855,680,660,540,740,540,560,0,0,NET_LOSS,0.25
2025-05-17 16:59:45,660,855,680,660,540,740,540,560,0,0,NET_LOSS,0.5
2025-05-17 17:00:00,766,855,846,730,686,872,784,709,0,0,NET_LOSS,0.75
2025-05-17 17:00:15,880,855,987,870,697,957,876,711,0,0,NET_LOSS,1.0
2025-05-17 17:00:30,882,1090,990,954,697,963,888,714,0,0,NET_LOSS,1.25
2025-05-17 17:00:45,996,1090,1107,1076,969,1075,1093,993,0,0,NET_LOSS,1.5
2025-05-17 17:01:00,1114,1090,1220,1113,1097,1149,1168,1126,0,0,NET_LOSS,1.75
2025-05-17 17:01:15,1171,1198,1247,1151,1141,1219,1218,1173,0,0,NET_LOSS,2.0
2025-05-17 17:01:30,1173,1198,1257,1166,1141,1225,1226,1173,0,0,NET_LOSS,2.25
2025-05-17 17:01:45,1299,1301,1333,1195,1195,1388,1332,1273,0,0,NET_LOSS,2.5
2025-05-17 17:02:00,1317,1325,1352,1211,1232,1412,1364,1298,0,0,NET_LOSS,2.75
2025-05-17 17:02:15,1322,1322,1378,1233,1248,1391,1380,1321,0,0,NET_LOSS,3.0
2025-05-17 17:02:30,1323,1300,1380,1274,1253,1391,1380,1324,0,0,NET_LOSS,3.25
2025-05-17 17:02:45,1329,1300,1388,1343,1333,1347,1380,1356,0,0,NET_LOSS,3.5
2025-05-17 17:03:00,1331,1300,1393,1362,1353,1333,1378,1366,0,0,NET_LOSS,3.75
2025-05-17 17:03:15,1338,1300,1396,1399,1363,1326,1376,1369,0,0,NET_LOSS,4.0
2025-05-17 17:03:30,1339,1360,1396,1395,1365,1327,1371,1367,0,0,NET_LOSS,4.25
2025-05-17 17:03:45,1348,1360,1394,1320,1378,1322,1343,1316,0,0,NET_LOSS,4.5
2025-05-17 17:04:00,1351,1360,1395,1317,1378,1327,1344,1308,0,0,NET_LOSS,4.75
2025-05-17 17:04:15,1366,1359,1403,1325,1373,1341,1366,1312,0,0,NET_LOSS,5.0
