Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-18 00:00:45,1300,1320,2160,2360,1340,1290,2160,1200,0,0
2025-05-18 00:01:00,1300,1320,2160,2360,1340,1290,2160,1200,0,0
2025-05-18 00:01:15,1300,1320,2160,2360,1340,1290,2160,1200,0,0
2025-05-18 00:01:30,1740,2420,3120,2850,1870,1590,3530,2100,0,0
2025-05-18 00:01:45,1740,2420,3120,2850,1870,1590,3530,2100,0,0
2025-05-18 00:02:00,1740,2420,3120,2850,1870,1590,3530,2100,0,0
2025-05-18 00:02:15,1740,2420,3120,2850,1870,1590,3530,2100,0,0
2025-05-18 00:02:30,9850,9410,15740,15550,9540,9400,15850,9450,0,0
2025-05-18 00:02:45,9850,9410,15740,15550,9540,9400,15850,9450,0,0
2025-05-18 00:03:00,9850,9410,15740,15550,9540,9400,15850,9450,0,0
2025-05-18 00:03:15,9850,9410,15740,15550,9540,9400,15850,9450,0,0
2025-05-18 00:03:30,9410,9410,15690,15810,9490,9480,15790,9720,0,0
2025-05-18 00:03:45,9410,9410,15690,15810,9490,9480,15790,9720,0,0
2025-05-18 00:04:00,9410,9410,15690,15810,9490,9480,15790,9720,0,0
2025-05-18 00:04:15,9410,9410,15690,15810,9490,9480,15790,9720,0,0
2025-05-18 00:04:30,9480,9140,15800,15410,9250,9140,14940,9260,0,0
2025-05-18 00:04:45,9480,9140,15800,15410,9250,9140,14940,9260,0,0
2025-05-18 00:05:00,9480,9140,15800,15410,9250,9140,14940,9260,0,0
2025-05-18 00:05:15,9480,9140,15800,15410,9250,9140,14940,9260,0,0
2025-05-18 00:05:30,8410,8980,15180,14940,8870,8830,15500,9110,0,0
2025-05-18 00:05:45,8410,8980,15180,14940,8870,8830,15500,9110,0,0
2025-05-18 00:06:00,8410,8980,15180,14940,8870,8830,15500,9110,0,0
2025-05-18 00:06:15,8410,8980,15180,14940,8870,8830,15500,9110,0,0
2025-05-18 00:06:30,8620,8740,15190,15510,9360,8730,15380,9300,0,0
2025-05-18 00:06:45,8620,8740,15190,15510,9360,8730,15380,9300,0,0
2025-05-18 00:07:00,8620,8740,15190,15510,9360,8730,15380,9300,0,0
2025-05-18 00:07:15,8620,8740,15190,15510,9360,8730,15380,9300,0,0
2025-05-18 00:07:30,9210,9020,14950,14880,9190,9300,15130,9300,0,0
2025-05-18 00:07:45,9210,9020,14950,14880,9190,9300,15130,9300,0,0
2025-05-18 00:08:00,9210,9020,14950,14880,9190,9300,15130,9300,0,0
2025-05-18 00:08:15,9210,9020,14950,14880,9190,9300,15130,9300,0,0
2025-05-18 00:08:30,9800,9910,15680,16170,9930,9650,15710,9780,0,0
