Time,Minutes,source,SRTT_cumulative
2025-05-17 16:59:15,0.0,BASELINE,555.0
2025-05-17 16:59:30,0.25,BASELINE,571.0
2025-05-17 16:59:45,0.5,BASELINE,518.0
2025-05-17 17:00:00,0.75,BASELINE,852.5313487762235
2025-05-17 17:00:15,1.0,BASELINE,842.6470035381282
2025-05-17 17:00:30,1.25,BASELINE,810.7850106837603
2025-05-17 17:00:45,1.5,BASELINE,758.3719887473636
2025-05-17 17:01:00,1.75,BASELINE,447.0
2025-05-17 17:01:15,2.0,BASELINE,1479.5
2025-05-17 17:01:30,2.25,BASELINE,5143.0
2025-05-17 17:01:45,2.5,BASELINE,5097.0
2025-05-17 17:02:00,2.75,BASELINE,5077.0
2025-05-17 17:02:15,3.0,BASELINE,5608.413623267436
2025-05-17 17:02:30,3.25,BASELINE,5824.037692515817
2025-05-17 17:02:45,3.5,BASELINE,6903.0
2025-05-17 17:03:00,3.75,BASELINE,8022.5
2025-05-17 17:03:15,4.0,BASELINE,9485.0
2025-05-17 17:03:30,4.25,BASELINE,8331.0
2025-05-17 17:03:45,4.5,BASELINE,8307.0
2025-05-17 17:04:00,4.75,BASELINE,7823.341361723072
2025-05-17 17:04:15,5.0,BASELINE,7822.896365218115
2025-05-17 17:04:30,5.25,BASELINE,7327.374785327245
2025-05-17 17:04:45,5.5,BASELINE,6843.155461942298
2025-05-17 17:05:00,5.75,BASELINE,6731.955739969825
2025-05-17 17:05:15,6.0,BASELINE,6654.696080294704
2025-05-17 17:05:30,6.25,BASELINE,6627.565923951048
2025-05-17 17:05:45,6.5,BASELINE,6605.373607449567
2025-05-17 17:06:00,6.75,BASELINE,6588.279212427921
2025-05-17 17:06:15,7.0,BASELINE,6486.294095265843
2025-05-17 17:06:30,7.25,BASELINE,6911.020144357105
2025-05-17 17:06:45,7.5,BASELINE,7373.515102385189
2025-05-17 17:07:00,7.75,BASELINE,7679.599089731174
2025-05-17 17:07:15,8.0,BASELINE,7730.519844280719
2025-05-17 17:07:30,8.25,BASELINE,7834.454750346876
2025-05-17 17:07:45,8.5,BASELINE,7816.160119033742
2025-05-17 17:08:00,8.75,BASELINE,7820.23212624875
2025-05-17 17:08:15,9.0,BASELINE,7802.917693487067
2025-05-17 17:08:30,9.25,BASELINE,8001.226057222017
2025-05-17 17:08:45,9.5,BASELINE,8256.671917389627
2025-05-17 17:09:00,9.75,BASELINE,8547.047315601067
2025-05-17 17:09:15,10.0,BASELINE,8302.709538378289
2025-05-17 17:09:30,10.25,BASELINE,8539.5963496226
2025-05-17 17:09:45,10.5,BASELINE,8531.355936924188
2025-05-17 17:10:00,10.75,BASELINE,8679.5
2025-05-17 17:10:15,11.0,BASELINE,7437.0
2025-05-17 17:10:30,11.25,BASELINE,6695.0
2025-05-17 17:10:45,11.5,BASELINE,6689.0
2025-05-17 17:11:00,11.75,BASELINE,6796.816339620177
2025-05-17 17:11:15,12.0,BASELINE,6601.279184440563
2025-05-17 17:11:30,12.25,BASELINE,6485.5
2025-05-17 17:11:45,12.5,BASELINE,6168.75
2025-05-17 17:12:00,12.75,BASELINE,5828.0
2025-05-17 17:12:15,13.0,BASELINE,4233.0
2025-05-17 17:12:30,13.25,BASELINE,4236.0
2025-05-17 17:12:45,13.5,BASELINE,4228.0
2025-05-17 17:13:00,13.75,BASELINE,4455.478564768564
2025-05-17 17:13:15,14.0,BASELINE,4472.011796713906
2025-05-17 17:13:30,14.25,BASELINE,4471.771700782062
2025-05-17 17:13:45,14.5,BASELINE,4484.361597621334
2025-05-17 17:14:00,14.75,BASELINE,4550.908224288144
2025-05-17 17:14:15,15.0,BASELINE,4530.848772755024
2025-05-17 17:14:30,15.25,BASELINE,4864.0041838080215
2025-05-17 17:14:45,15.5,BASELINE,4935.822038065692
2025-05-17 17:15:00,15.75,BASELINE,4908.105648752392
2025-05-17 17:15:15,16.0,BASELINE,4928.191227189655
2025-05-17 17:15:30,16.25,BASELINE,4785.33809190646
2025-05-17 17:15:45,16.5,BASELINE,4687.862055062585
2025-05-17 17:16:00,16.75,BASELINE,4774.052556747175
