Time,Minutes,source,SRTT_cumulative
2025-05-17 16:59:15,0.0,BASELINE,555.0
2025-05-17 16:59:30,0.25,BASELINE,571.0
2025-05-17 16:59:45,0.5,BASELINE,518.0
2025-05-17 17:00:00,0.75,BASELINE,396.75
2025-05-17 17:00:15,1.0,BASELINE,401.25
2025-05-17 17:00:30,1.25,BASELINE,364.5
2025-05-17 17:00:45,1.5,BASELINE,356.25
2025-05-17 17:01:00,1.75,BASELINE,273.75
2025-05-17 17:01:15,2.0,BASELINE,1822.5
2025-05-17 17:01:30,2.25,BASELINE,3857.25
2025-05-17 17:01:45,2.5,BASELINE,3822.75
2025-05-17 17:02:00,2.75,BASELINE,3807.75
2025-05-17 17:02:15,3.0,BASELINE,3810.0
2025-05-17 17:02:30,3.25,BASELINE,8238.75
2025-05-17 17:02:45,3.5,BASELINE,8250.0
2025-05-17 17:03:00,3.75,BASELINE,8226.0
2025-05-17 17:03:15,4.0,BASELINE,7113.75
2025-05-17 17:03:30,4.25,BASELINE,8331.0
2025-05-17 17:03:45,4.5,BASELINE,7811.677950833888
2025-05-17 17:04:00,4.75,BASELINE,7781.958700833888
2025-05-17 17:04:15,5.0,BASELINE,7802.476950833889
2025-05-17 17:04:30,5.25,BASELINE,7598.77462886419
2025-05-17 17:04:45,5.5,BASELINE,7043.500743908869
2025-05-17 17:05:00,5.75,BASELINE,6782.78759469697
2025-05-17 17:05:15,6.0,BASELINE,6651.708193001443
2025-05-17 17:05:30,6.25,BASELINE,6707.745735070486
2025-05-17 17:05:45,6.5,BASELINE,6630.911406718282
2025-05-17 17:06:00,6.75,BASELINE,6656.645861846487
2025-05-17 17:06:15,7.0,BASELINE,6659.6102249417245
2025-05-17 17:06:30,7.25,BASELINE,6951.461380244754
2025-05-17 17:06:45,7.5,BASELINE,7335.915253760129
2025-05-17 17:07:00,7.75,BASELINE,7377.027284493284
2025-05-17 17:07:15,8.0,BASELINE,7426.871534000721
2025-05-17 17:07:30,8.25,BASELINE,7465.317935245308
2025-05-17 17:07:45,8.5,BASELINE,7645.477256986066
2025-05-17 17:08:00,8.75,BASELINE,7736.2357858460955
2025-05-17 17:08:15,9.0,BASELINE,7792.672960449271
2025-05-17 17:08:30,9.25,BASELINE,7997.0504414543775
2025-05-17 17:08:45,9.5,BASELINE,8366.060297965922
2025-05-17 17:09:00,9.75,BASELINE,8434.000500527247
2025-05-17 17:09:15,10.0,BASELINE,8551.07228015387
2025-05-17 17:09:30,10.25,BASELINE,8555.435935276526
2025-05-17 17:09:45,10.5,BASELINE,8534.486028169744
2025-05-17 17:10:00,10.75,BASELINE,8333.094167780137
2025-05-17 17:10:15,11.0,BASELINE,8243.436177159645
2025-05-17 17:10:30,11.25,BASELINE,7879.910171977326
2025-05-17 17:10:45,11.5,BASELINE,7237.761575011794
2025-05-17 17:11:00,11.75,BASELINE,7079.11025024975
2025-05-17 17:11:15,12.0,BASELINE,6699.323935814185
2025-05-17 17:11:30,12.25,BASELINE,6464.333150033874
2025-05-17 17:11:45,12.5,BASELINE,5397.610754566671
2025-05-17 17:12:00,12.75,BASELINE,5141.049701897118
2025-05-17 17:12:15,13.0,BASELINE,4530.087264516044
2025-05-17 17:12:30,13.25,BASELINE,4534.831979797978
2025-05-17 17:12:45,13.5,BASELINE,4501.0771580086575
2025-05-17 17:13:00,13.75,BASELINE,4265.193652432302
2025-05-17 17:13:15,14.0,BASELINE,4314.021113150776
2025-05-17 17:13:30,14.25,BASELINE,4356.888180366714
2025-05-17 17:13:45,14.5,BASELINE,4410.1128294087075
2025-05-17 17:14:00,14.75,BASELINE,4421.20028179891
2025-05-17 17:14:15,15.0,BASELINE,4430.02513205967
2025-05-17 17:14:30,15.25,BASELINE,4789.46550339594
2025-05-17 17:14:45,15.5,BASELINE,4907.624835052174
2025-05-17 17:15:00,15.75,BASELINE,4884.588521973727
2025-05-17 17:15:15,16.0,BASELINE,4790.283061641576
2025-05-17 17:15:30,16.25,BASELINE,4731.288269047716
2025-05-17 17:15:45,16.5,BASELINE,4608.5984722345665
