minutes,cpu_iowait_cpu 0,cpu_iowait_cpu 1,cpu_iowait_cpu 2,cpu_iowait_cpu 3,cpu_iowait_cpu 4,cpu_iowait_cpu 5,cpu_iowait_cpu 6,cpu_iowait_cpu 7,cpu_iowait_cpu 8,cpu_iowait_cpu 9,cpu_iowait_source,cpu_irq_cpu 0,cpu_irq_cpu 1,cpu_irq_cpu 2,cpu_irq_cpu 3,cpu_irq_cpu 4,cpu_irq_cpu 5,cpu_irq_cpu 6,cpu_irq_cpu 7,cpu_irq_cpu 8,cpu_irq_cpu 9,cpu_irq_source,cpu_system_cpu 0,cpu_system_cpu 1,cpu_system_cpu 2,cpu_system_cpu 3,cpu_system_cpu 4,cpu_system_cpu 5,cpu_system_cpu 6,cpu_system_cpu 7,cpu_system_cpu 8,cpu_system_cpu 9,cpu_system_source,cpu_user_cpu 0,cpu_user_cpu 1,cpu_user_cpu 2,cpu_user_cpu 3,cpu_user_cpu 4,cpu_user_cpu 5,cpu_user_cpu 6,cpu_user_cpu 7,cpu_user_cpu 8,cpu_user_cpu 9,cpu_user_source,cpu_utilization_cpu 0,cpu_utilization_cpu 1,cpu_utilization_cpu 2,cpu_utilization_cpu 3,cpu_utilization_cpu 4,cpu_utilization_cpu 5,cpu_utilization_cpu 6,cpu_utilization_cpu 7,cpu_utilization_cpu 8,cpu_utilization_cpu 9,cpu_utilization_source
2025-05-17 17:00:00,10.0,10.0,40.0,40.0,0.0,10.0,70.0,0.0,0.0,0.0,BASELINE,160,270,110,130,200,320,140,210,0,0,BASELINE,640,790,850,760,820,780,830,700,0,0,BASELINE,4830,5140,8515,8325,5215,4940,8270,5205,0,0,BASELINE,41.0,41.65,42.65,42.25,42.0,41.35,42.35,41.35,0.0,0.0,BASELINE
2025-05-17 17:00:15,10.0,10.0,40.0,40.0,0.0,10.0,70.0,0.0,0.0,0.0,BASELINE,160,270,110,130,200,320,140,210,0,0,BASELINE,640,790,850,760,820,780,830,700,0,0,BASELINE,4830,5140,8515,8325,5215,4940,8270,5205,0,0,BASELINE,49.25,49.35,51.0,50.05,50.400000000000006,49.650000000000006,50.15,48.8,0.0,0.0,BASELINE
2025-05-17 17:00:30,20.0,10.0,10.0,10.0,80.0,30.0,110.0,40.0,0.0,0.0,BASELINE,320,390,270,230,420,520,250,360,0,0,BASELINE,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,5840,6185,10155,9770,6275,5920,9650,5965,0,0,BASELINE,49.25,49.35,51.0,50.05,50.400000000000006,49.650000000000006,50.15,48.8,0.0,0.0,BASELINE
2025-05-17 17:00:45,30.0,15.0,27.0,19.0,80.0,39.0,104.0,47.0,0.0,0.0,BASELINE,240,330,307,292,310,420,195,285,0,0,BASELINE,928,962,1212,1174,852,967,1172,729,0,0,BASELINE,5840,6185,10155,9770,6275,5920,9650,5965,0,0,BASELINE,49.25,49.35,51.0,50.05,50.400000000000006,49.650000000000006,50.15,48.8,0.0,0.0,BASELINE
2025-05-17 17:01:00,27.0,15.0,25.0,19.0,76.0,43.0,103.0,49.0,0.0,0.0,BASELINE,240,330,330,303,310,420,195,285,0,0,BASELINE,949,967,1303,1220,857,967,1248,726,0,0,BASELINE,5840,6185,10155,9770,6275,5920,9650,5965,0,0,BASELINE,49.25,49.35,51.0,50.05,50.400000000000006,49.650000000000006,50.15,48.8,0.0,0.0,BASELINE
2025-05-17 17:01:15,38.0,15.0,37.0,44.0,83.0,63.0,77.0,108.0,0.0,0.0,BASELINE,240,330,375,345,310,420,195,285,0,0,BASELINE,934,1013,1353,1304,859,1006,1324,737,0,0,BASELINE,5840,6185,10155,9770,6275,5920,9650,5965,0,0,BASELINE,81.82499999999999,82.7,82.1,83.42500000000001,83.925,79.0,84.225,81.175,0.0,0.0,BASELINE
2025-05-17 17:01:30,38.0,15.0,39.0,46.0,71.0,67.0,76.0,112.0,0.0,0.0,BASELINE,565,695,375,345,585,695,455,585,0,0,BASELINE,933,1018,1356,1417,859,1007,1328,740,0,0,BASELINE,9415,10130,15507,15557,9677,9240,15862,9550,0,0,BASELINE,82.75,83.25,82.94999999999999,84.1,84.9,79.2,84.75,81.8,0.0,0.0,BASELINE
2025-05-17 17:01:45,23.0,32.0,158.0,103.0,16.0,271.0,13.0,182.0,0.0,0.0,BASELINE,565,695,570,582,970,1070,455,585,0,0,BASELINE,901,1151,1533,1618,833,1054,1460,785,0,0,BASELINE,9670,10130,15770,15845,9730,9290,16025,9740,0,0,BASELINE,82.75,83.25,82.94999999999999,84.1,84.9,79.2,84.75,81.8,0.0,0.0,BASELINE
2025-05-17 17:02:00,23.0,36.0,168.0,127.0,13.0,290.0,17.0,184.0,0.0,0.0,BASELINE,565,1120,696,712,970,1070,455,960,0,0,BASELINE,904,1170,1554,1656,823,1061,1501,800,0,0,BASELINE,9670,10130,15770,15845,9730,9290,16025,9740,0,0,BASELINE,82.75,83.25,82.94999999999999,84.1,84.9,79.2,84.75,81.8,0.0,0.0,BASELINE
2025-05-17 17:02:15,30.0,37.0,147.0,200.0,62.0,256.0,91.0,126.0,0.0,0.0,BASELINE,970,1120,741,671,970,1070,770,960,0,0,BASELINE,950,1098,1556,1622,816,1048,1550,829,0,0,BASELINE,9670,9240,15770,15845,9730,9290,16025,9740,0,0,BASELINE,78.1,89.1,83.2,84.6,82.7,82.7,84.4,81.0,0.0,0.0,BASELINE
