Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,10,10,40,40,0,10,70,0,0,0,BASELINE,0.0
2025-05-17 17:00:15,10,10,40,40,0,10,70,0,0,0,BASELINE,0.25
2025-05-17 17:00:30,20,10,10,10,80,30,110,40,0,0,BASELINE,0.5
2025-05-17 17:00:45,29,20,27,19,80,33,98,47,0,0,BASELINE,0.75
2025-05-17 17:01:00,26,20,25,19,75,38,100,49,0,0,BASELINE,1.0
2025-05-17 17:01:15,38,20,37,44,78,81,79,108,0,0,BASELINE,1.25
2025-05-17 17:01:30,38,20,39,46,78,85,79,112,0,0,BASELINE,1.5
2025-05-17 17:01:45,22,37,158,103,20,271,24,182,0,0,BASELINE,1.75
2025-05-17 17:02:00,23,37,168,127,24,305,20,184,0,0,BASELINE,2.0
2025-05-17 17:02:15,30,31,147,200,82,245,88,126,0,0,BASELINE,2.25
2025-05-17 17:02:30,31,31,146,221,82,243,97,116,0,0,BASELINE,2.5
2025-05-17 17:02:45,62,21,146,338,176,87,246,34,0,0,BASELINE,2.75
2025-05-17 17:03:00,71,22,142,359,175,49,246,34,0,0,BASELINE,3.0
2025-05-17 17:03:15,76,21,137,352,165,34,195,42,0,0,BASELINE,3.25
2025-05-17 17:03:30,75,21,138,345,165,34,193,42,0,0,BASELINE,3.5
2025-05-17 17:03:45,30,13,233,336,165,18,104,9,0,0,BASELINE,3.75
2025-05-17 17:04:00,21,13,252,324,164,24,99,18,0,0,BASELINE,4.0
2025-05-17 17:04:15,31,19,216,300,158,97,105,77,0,0,BASELINE,4.25
2025-05-17 17:04:30,32,20,211,230,154,97,105,82,0,0,BASELINE,4.5
2025-05-17 17:04:45,241,37,136,132,87,42,102,252,0,0,BASELINE,4.75
2025-05-17 17:05:00,251,37,120,124,73,53,102,253,0,0,BASELINE,5.0
2025-05-17 17:05:15,189,32,110,170,118,68,106,210,0,0,BASELINE,5.25
2025-05-17 17:05:30,189,32,108,173,119,68,107,206,0,0,BASELINE,5.5
2025-05-17 17:05:45,156,21,140,248,101,182,121,149,0,0,BASELINE,5.75
2025-05-17 17:06:00,148,22,150,248,116,190,122,140,0,0,BASELINE,6.0
2025-05-17 17:06:15,148,21,144,206,157,181,95,105,0,0,BASELINE,6.25
2025-05-17 17:06:30,148,21,144,179,157,181,94,102,0,0,BASELINE,6.5
2025-05-17 17:06:45,215,2,148,124,161,125,34,47,0,0,BASELINE,6.75
2025-05-17 17:07:00,218,5,147,117,159,123,36,46,0,0,BASELINE,7.0
2025-05-17 17:07:15,190,21,142,107,149,146,63,108,0,0,BASELINE,7.25
2025-05-17 17:07:30,189,21,140,105,144,148,64,109,0,0,BASELINE,7.5
2025-05-17 17:07:45,98,29,60,87,39,371,167,128,0,0,BASELINE,7.75
2025-05-17 17:08:00,87,29,52,83,41,374,168,134,0,0,BASELINE,8.0
2025-05-17 17:08:15,76,34,41,90,114,224,116,113,0,0,BASELINE,8.25
2025-05-17 17:08:30,76,35,41,90,116,224,115,113,0,0,BASELINE,8.5
2025-05-17 17:08:45,42,70,46,91,255,82,37,48,0,0,BASELINE,8.75
2025-05-17 17:09:00,39,71,49,93,271,69,40,47,0,0,BASELINE,9.0
2025-05-17 17:09:15,48,57,52,99,303,54,56,108,0,0,BASELINE,9.25
2025-05-17 17:09:30,48,57,52,100,303,51,55,127,0,0,BASELINE,9.5
2025-05-17 17:09:45,52,44,48,112,426,18,8,226,0,0,BASELINE,9.75
2025-05-17 17:10:00,63,40,46,114,443,20,8,227,0,0,BASELINE,10.0
2025-05-17 17:10:15,78,32,49,111,360,100,48,170,0,0,BASELINE,10.25
2025-05-17 17:10:30,78,32,49,112,356,100,47,165,0,0,BASELINE,10.5
2025-05-17 17:10:45,265,14,77,148,125,320,54,125,0,0,BASELINE,10.75
2025-05-17 17:11:00,273,13,83,157,103,342,58,115,0,0,BASELINE,11.0
2025-05-17 17:11:15,240,19,87,157,63,229,74,78,0,0,BASELINE,11.25
2025-05-17 17:11:30,239,20,87,159,62,228,75,75,0,0,BASELINE,11.5
2025-05-17 17:11:45,57,65,39,177,27,61,73,10,0,0,BASELINE,11.75
2025-05-17 17:12:00,34,66,23,180,32,56,76,7,0,0,BASELINE,12.0
2025-05-17 17:12:15,29,50,25,163,100,31,90,35,0,0,BASELINE,12.25
2025-05-17 17:12:30,29,49,25,162,105,31,89,38,0,0,BASELINE,12.5
2025-05-17 17:12:45,47,22,28,148,189,41,89,51,0,0,BASELINE,12.75
2025-05-17 17:13:00,58,19,33,141,195,46,89,60,0,0,BASELINE,13.0
2025-05-17 17:13:15,75,17,41,125,155,46,97,49,0,0,BASELINE,13.25
2025-05-17 17:13:30,75,17,41,122,150,45,103,49,0,0,BASELINE,13.5
2025-05-17 17:13:45,75,1,82,70,64,10,209,6,0,0,BASELINE,13.75
2025-05-17 17:14:00,75,4,82,62,61,7,215,6,0,0,BASELINE,14.0
2025-05-17 17:14:15,75,20,88,72,84,33,163,30,0,0,BASELINE,14.25
2025-05-17 17:14:30,75,20,88,72,85,36,154,30,0,0,BASELINE,14.5
2025-05-17 17:14:45,36,38,59,78,81,31,77,8,0,0,BASELINE,14.75
2025-05-17 17:15:00,33,39,52,81,88,32,66,8,0,0,BASELINE,15.0
2025-05-17 17:15:15,39,35,52,91,134,63,77,33,0,0,BASELINE,15.25
2025-05-17 17:15:30,40,35,52,92,170,62,77,33,0,0,BASELINE,15.5
2025-05-17 17:15:45,57,54,70,146,428,46,90,3,0,0,BASELINE,15.75
2025-05-17 17:16:00,64,55,77,158,452,47,93,3,0,0,BASELINE,16.0
2025-05-17 17:16:15,75,41,78,155,434,46,112,30,0,0,BASELINE,16.25
2025-05-17 17:16:30,75,40,78,156,438,46,113,30,0,0,BASELINE,16.5
2025-05-17 17:16:45,30,12,123,191,484,36,158,14,0,0,BASELINE,16.75
2025-05-17 17:17:00,22,9,129,193,472,35,165,17,0,0,BASELINE,17.0
2025-05-17 17:17:15,29,20,121,153,392,64,162,42,0,0,BASELINE,17.25
2025-05-17 17:17:30,29,20,121,146,373,65,162,42,0,0,BASELINE,17.5
2025-05-17 17:17:45,86,83,62,90,128,142,162,28,0,0,BASELINE,17.75
2025-05-17 17:18:00,99,92,56,82,113,150,162,32,0,0,BASELINE,18.0
2025-05-17 17:18:15,117,65,53,86,118,147,162,53,0,0,BASELINE,18.25
