Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,640,790,850,760,820,780,830,700,0,0,BASELINE,0.0
2025-05-17 17:00:15,640,790,850,760,820,780,830,700,0,0,BASELINE,0.25
2025-05-17 17:00:30,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.5
2025-05-17 17:00:45,927,942,1217,1101,855,944,1192,694,0,0,BASELINE,0.75
2025-05-17 17:01:00,946,968,1276,1209,862,973,1250,701,0,0,BASELINE,1.0
2025-05-17 17:01:15,946,1024,1345,1277,862,1000,1331,721,0,0,BASELINE,1.25
2025-05-17 17:01:30,947,1028,1354,1280,862,1003,1336,731,0,0,BASELINE,1.5
2025-05-17 17:01:45,905,1174,1533,1607,832,1055,1474,788,0,0,BASELINE,1.75
2025-05-17 17:02:00,899,1181,1565,1675,821,1054,1532,801,0,0,BASELINE,2.0
2025-05-17 17:02:15,936,1089,1549,1638,817,1049,1602,841,0,0,BASELINE,2.25
2025-05-17 17:02:30,946,1078,1549,1638,817,1048,1604,847,0,0,BASELINE,2.5
2025-05-17 17:02:45,1069,845,1579,1594,810,1022,1779,950,0,0,BASELINE,2.75
2025-05-17 17:03:00,1090,834,1611,1590,820,1020,1789,956,0,0,BASELINE,3.0
2025-05-17 17:03:15,1073,910,1612,1607,842,1020,1783,988,0,0,BASELINE,3.25
2025-05-17 17:03:30,1072,915,1612,1609,847,1028,1778,988,0,0,BASELINE,3.5
2025-05-17 17:03:45,1064,1057,1607,1767,1025,1129,1719,1073,0,0,BASELINE,3.75
2025-05-17 17:04:00,1069,1094,1612,1806,1081,1157,1699,1106,0,0,BASELINE,4.0
2025-05-17 17:04:15,1093,1104,1637,1849,1087,1181,1704,1134,0,0,BASELINE,4.25
2025-05-17 17:04:30,1098,1109,1673,1849,1087,1184,1702,1138,0,0,BASELINE,4.5
2025-05-17 17:04:45,1253,1169,1983,1847,1067,1270,1681,1321,0,0,BASELINE,4.75
2025-05-17 17:05:00,1317,1185,2040,1860,1079,1283,1721,1339,0,0,BASELINE,5.0
2025-05-17 17:05:15,1351,1199,2038,1883,1091,1307,1812,1374,0,0,BASELINE,5.25
2025-05-17 17:05:30,1363,1227,2043,1890,1095,1308,1848,1376,0,0,BASELINE,5.5
2025-05-17 17:05:45,1581,1445,2174,2211,1397,1382,2195,1406,0,0,BASELINE,5.75
2025-05-17 17:06:00,1565,1479,2182,2293,1457,1399,2237,1412,0,0,BASELINE,6.0
2025-05-17 17:06:15,1443,1439,2133,2243,1455,1405,2124,1405,0,0,BASELINE,6.25
2025-05-17 17:06:30,1431,1437,2074,2236,1455,1407,2087,1403,0,0,BASELINE,6.5
2025-05-17 17:06:45,1231,1383,1940,2060,1388,1438,1950,1377,0,0,BASELINE,6.75
2025-05-17 17:07:00,1238,1371,1912,1991,1366,1441,1924,1376,0,0,BASELINE,7.0
2025-05-17 17:07:15,1222,1337,1852,1938,1345,1408,1915,1351,0,0,BASELINE,7.25
2025-05-17 17:07:30,1217,1335,1848,1926,1341,1399,1920,1343,0,0,BASELINE,7.5
2025-05-17 17:07:45,1160,1236,1834,1905,1282,1277,1953,1246,0,0,BASELINE,7.75
