minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
0.0,10,20,20,10,10,0,0,10,0,0,CPU_STRESS,0.0,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.0,785,580,540,590,550,760,510,500,0,0,CPU_STRESS,0.0,6405,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.0,12.61,4.32,4.96,5.19,5.14,4.54,3.97,4.17,0,0,CPU_STRESS,0.0
0.25,10,20,20,10,10,0,0,10,0,0,CPU_STRESS,0.25,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.25,785,580,540,590,550,760,510,500,0,0,CPU_STRESS,0.25,6405,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.25,12.61,4.32,4.96,5.19,5.14,4.54,3.97,4.17,0,0,CPU_STRESS,0.25
0.5,10,20,20,10,10,0,0,10,0,0,CPU_STRESS,0.5,70,100,80,80,70,110,60,70,0,0,CPU_STRESS,0.5,785,580,540,590,550,760,510,500,0,0,CPU_STRESS,0.5,6405,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.5,12.61,4.32,4.96,5.19,5.14,4.54,3.97,4.17,0,0,CPU_STRESS,0.5
0.75,37,21,29,42,15,9,21,28,0,0,CPU_STRESS,0.75,194,205,173,213,218,199,171,180,0,0,CPU_STRESS,0.75,550,485,485,617,495,645,435,455,0,0,CPU_STRESS,0.75,6530,1805,1895,2180,1990,1535,1710,1730,0,0,CPU_STRESS,0.75,12.85,4.105,4.125,4.73,4.29,3.845,3.71,3.78,0,0,CPU_STRESS,0.75
1.0,187,26,34,107,18,8,42,43,0,0,CPU_STRESS,1.0,70,241,75,70,65,95,65,65,0,0,CPU_STRESS,1.0,550,485,485,576,495,645,435,455,0,0,CPU_STRESS,1.0,6530,1805,1895,2180,1990,1535,1710,1730,0,0,CPU_STRESS,1.0,12.85,4.105,4.125,4.73,4.29,3.845,3.71,3.78,0,0,CPU_STRESS,1.0
1.25,208,27,37,115,18,12,40,45,0,0,CPU_STRESS,1.25,70,277,75,70,65,95,65,65,0,0,CPU_STRESS,1.25,550,485,485,593,495,645,435,455,0,0,CPU_STRESS,1.25,6530,1805,1895,2180,1990,1535,1710,1730,0,0,CPU_STRESS,1.25,12.85,4.105,4.125,4.73,4.29,3.845,3.71,3.78,0,0,CPU_STRESS,1.25
1.5,152,28,39,108,18,23,35,40,0,0,CPU_STRESS,1.5,70,290,75,70,65,95,65,65,0,0,CPU_STRESS,1.5,795,485,485,706,495,645,435,455,0,0,CPU_STRESS,1.5,6530,1805,1895,2180,1990,1535,1710,1730,0,0,CPU_STRESS,1.5,12.85,4.105,4.125,4.73,4.29,3.845,3.71,3.78,0,0,CPU_STRESS,1.5
1.75,52,27,38,107,18,9,34,32,0,0,CPU_STRESS,1.75,190,292,200,200,185,215,190,195,0,0,CPU_STRESS,1.75,920,1390,1260,964,950,1060,900,960,0,0,CPU_STRESS,1.75,13902,9425,10085,10005,9290,9375,9725,9150,0,0,CPU_STRESS,1.75,26.225,18.009999999999998,18.88,18.845,17.62,18.02,18.285,17.435000000000002,0,0,CPU_STRESS,1.75
2.0,52,14,19,40,18,11,13,5,0,0,CPU_STRESS,2.0,190,326,200,200,185,215,190,195,0,0,CPU_STRESS,2.0,920,1390,1260,1248,950,1060,900,960,0,0,CPU_STRESS,2.0,14000,9425,10085,10005,9290,9375,9725,9150,0,0,CPU_STRESS,2.0,26.4,18.009999999999998,18.88,18.845,17.62,18.02,18.285,17.435000000000002,0,0,CPU_STRESS,2.0
2.25,52,11,14,25,18,12,12,3,0,0,CPU_STRESS,2.25,190,337,200,200,185,215,190,195,0,0,CPU_STRESS,2.25,920,1390,1260,1305,950,1060,900,960,0,0,CPU_STRESS,2.25,14000,9425,10085,10005,9290,9375,9725,9150,0,0,CPU_STRESS,2.25,26.4,18.009999999999998,18.88,18.845,17.62,18.02,18.285,17.435000000000002,0,0,CPU_STRESS,2.25
