minutes,memavailable_mem_available,memavailable_source,memavailable_Minutes,memcache_mem_cache,memcache_source,memcache_Minutes,memutil_mem_util,memutil_source,memutil_Minutes
0.0,17877160.0,CPU_STRESS,0.0,3907132.0,CPU_STRESS,0.0,29.0,CPU_STRESS,0.0
0.25,17877160.0,CPU_STRESS,0.25,3907132.0,CPU_STRESS,0.25,29.0,CPU_STRESS,0.25
0.5,18297500.0,CPU_STRESS,0.5,4000868.0,CPU_STRESS,0.5,27.0,CPU_STRESS,0.5
0.75,17997981.23438095,CPU_STRESS,0.75,3985134.063058208,CPU_STRESS,0.75,28.104813492063485,CPU_STRESS,0.75
1.0,18056708.908952378,CPU_STRESS,1.0,3985134.063058208,CPU_STRESS,1.0,27.94300708180708,CPU_STRESS,1.0
1.25,17957108.80976191,CPU_STRESS,1.25,4002713.3364425753,CPU_STRESS,1.25,28.437336813186818,CPU_STRESS,1.25
1.5,17899533.51576191,CPU_STRESS,1.5,4002713.3364425753,CPU_STRESS,1.5,28.621586813186813,CPU_STRESS,1.5
1.75,17747135.65319048,CPU_STRESS,1.75,4002867.129815729,CPU_STRESS,1.75,29.059712210012208,CPU_STRESS,1.75
2.0,17649788.473857142,CPU_STRESS,2.0,4004261.196625253,CPU_STRESS,2.0,29.50252014652014,CPU_STRESS,2.0
2.25,17429591.312285714,CPU_STRESS,2.25,4004994.003529154,CPU_STRESS,2.25,30.53641299533801,CPU_STRESS,2.25
2.5,17351895.21819048,CPU_STRESS,2.5,4005233.085044306,CPU_STRESS,2.5,30.786596328671347,CPU_STRESS,2.5
2.75,17171870.96074603,CPU_STRESS,2.75,4006152.096642179,CPU_STRESS,2.75,31.491309523809534,CPU_STRESS,2.75
3.0,17022484.764031745,CPU_STRESS,3.0,4006559.882213607,CPU_STRESS,3.0,32.181647619047624,CPU_STRESS,3.0
3.25,16888332.838317465,CPU_STRESS,3.25,4007833.277106354,CPU_STRESS,3.25,32.75847595241016,CPU_STRESS,3.25
3.5,16869760.41298413,CPU_STRESS,3.5,4008126.7627254017,CPU_STRESS,3.5,32.82311880955301,CPU_STRESS,3.5
3.75,16773158.757699857,CPU_STRESS,3.75,4007499.313277654,CPU_STRESS,3.75,32.98947396214896,CPU_STRESS,3.75
4.0,16684019.5627215,CPU_STRESS,4.0,4008373.765160105,CPU_STRESS,4.0,33.12644062881562,CPU_STRESS,4.0
4.25,16633180.163356422,CPU_STRESS,4.25,4010502.1654096623,CPU_STRESS,4.25,33.30684490845411,CPU_STRESS,4.25
4.5,16633232.679356422,CPU_STRESS,4.5,4011454.323577475,CPU_STRESS,4.5,33.378583003692206,CPU_STRESS,4.5
4.75,16628058.228531023,CPU_STRESS,4.75,4010625.839772493,CPU_STRESS,4.75,33.87474496336996,CPU_STRESS,4.75
5.0,16545092.256557005,CPU_STRESS,5.0,4012171.331329493,CPU_STRESS,5.0,34.18533901098901,CPU_STRESS,5.0
5.25,16453687.526826844,CPU_STRESS,5.25,4013998.408354921,CPU_STRESS,5.25,34.60204164921337,CPU_STRESS,5.25
5.5,16408608.781493513,CPU_STRESS,5.5,4014209.554259683,CPU_STRESS,5.5,34.79148145385317,CPU_STRESS,5.5
5.75,16195255.605357138,CPU_STRESS,5.75,4013442.870791474,CPU_STRESS,5.75,35.53904581529584,CPU_STRESS,5.75
6.0,16080784.826349923,CPU_STRESS,6.0,4013918.9536144286,CPU_STRESS,6.0,36.03079819624821,CPU_STRESS,6.0
6.25,16025355.89229048,CPU_STRESS,6.25,4014834.207821453,CPU_STRESS,6.25,36.19085999564162,CPU_STRESS,6.25
6.5,16020312.656861909,CPU_STRESS,6.5,4014834.207821453,CPU_STRESS,6.5,36.18856475754639,CPU_STRESS,6.5
