minutes,cpu_iowait_cpu 0,cpu_iowait_cpu 1,cpu_iowait_cpu 2,cpu_iowait_cpu 3,cpu_iowait_cpu 4,cpu_iowait_cpu 5,cpu_iowait_cpu 6,cpu_iowait_cpu 7,cpu_iowait_cpu 8,cpu_iowait_cpu 9,cpu_iowait_source,cpu_irq_cpu 0,cpu_irq_cpu 1,cpu_irq_cpu 2,cpu_irq_cpu 3,cpu_irq_cpu 4,cpu_irq_cpu 5,cpu_irq_cpu 6,cpu_irq_cpu 7,cpu_irq_cpu 8,cpu_irq_cpu 9,cpu_irq_source,cpu_system_cpu 0,cpu_system_cpu 1,cpu_system_cpu 2,cpu_system_cpu 3,cpu_system_cpu 4,cpu_system_cpu 5,cpu_system_cpu 6,cpu_system_cpu 7,cpu_system_cpu 8,cpu_system_cpu 9,cpu_system_source,cpu_user_cpu 0,cpu_user_cpu 1,cpu_user_cpu 2,cpu_user_cpu 3,cpu_user_cpu 4,cpu_user_cpu 5,cpu_user_cpu 6,cpu_user_cpu 7,cpu_user_cpu 8,cpu_user_cpu 9,cpu_user_source,cpu_utilization_cpu 0,cpu_utilization_cpu 1,cpu_utilization_cpu 2,cpu_utilization_cpu 3,cpu_utilization_cpu 4,cpu_utilization_cpu 5,cpu_utilization_cpu 6,cpu_utilization_cpu 7,cpu_utilization_cpu 8,cpu_utilization_cpu 9,cpu_utilization_source
2025-05-17 17:00:00,30,0,30,10,10,10,50,10,0,0,DELAY,180,200,120,140,170,250,140,180,0,0,DELAY,640,670,1475,820,610,800,760,560,0,0,DELAY,5355,5230,8925,8885,5295,5215,8830,5230,0,0,DELAY,46.95,45.55,48.3,47.4,45.29,46.400000000000006,47.3,46.135000000000005,0,0,DELAY
2025-05-17 17:00:15,30,0,30,10,10,10,50,10,0,0,DELAY,180,200,120,140,170,250,140,180,0,0,DELAY,640,670,1475,820,610,800,760,560,0,0,DELAY,5355,5230,8925,8885,5295,5215,8830,5230,0,0,DELAY,46.95,45.55,48.3,47.4,45.29,46.400000000000006,47.3,46.135000000000005,0,0,DELAY
2025-05-17 17:00:30,30,0,30,10,10,10,50,10,0,0,DELAY,180,200,120,140,170,250,140,180,0,0,DELAY,640,670,1475,820,610,800,760,560,0,0,DELAY,5355,5230,8925,8885,5295,5215,8830,5230,0,0,DELAY,46.95,45.55,48.3,47.4,45.29,46.400000000000006,47.3,46.135000000000005,0,0,DELAY
2025-05-17 17:00:45,49,6,44,32,98,58,47,16,0,0,DELAY,288,396,291,292,376,391,268,338,0,0,DELAY,580,600,1535,780,605,720,700,515,0,0,DELAY,5575,5740,9405,9130,5560,5365,9515,5680,0,0,DELAY,49.6,48.85,51.15,49.75,48.2,48.6,50.4,49.6,0,0,DELAY
2025-05-17 17:01:00,48,6,44,29,106,58,47,14,0,0,DELAY,185,230,130,160,175,235,160,185,0,0,DELAY,580,600,1535,780,605,720,700,515,0,0,DELAY,5575,5700,9405,9130,5560,5365,9515,5680,0,0,DELAY,49.6,48.85,51.15,49.75,48.2,48.6,50.4,49.6,0,0,DELAY
2025-05-17 17:01:15,48,6,44,28,106,61,48,14,0,0,DELAY,185,230,130,160,175,235,160,185,0,0,DELAY,580,600,1535,780,605,720,700,515,0,0,DELAY,5575,5700,9405,9130,5560,5365,9515,5680,0,0,DELAY,49.6,48.85,51.15,49.75,48.2,48.6,50.4,49.6,0,0,DELAY
2025-05-17 17:01:30,48,6,44,28,97,63,48,14,0,0,DELAY,185,230,130,160,175,235,160,185,0,0,DELAY,580,600,1535,780,605,720,700,515,0,0,DELAY,5575,5700,9405,9130,5560,5365,9515,5680,0,0,DELAY,49.6,48.85,51.15,49.75,48.2,48.6,50.4,49.6,0,0,DELAY
2025-05-17 17:01:45,49,7,44,33,90,68,47,14,0,0,DELAY,415,430,345,400,495,565,375,545,0,0,DELAY,1440,1270,2537,1985,1190,1320,1850,1160,0,0,DELAY,9432,9195,15740,15550,9422,9400,15645,9450,0,0,DELAY,86.75,85.47500000000001,89.7,88.69999999999999,87.82499999999999,84.57499999999999,88.925,92.7,0,0,DELAY
2025-05-17 17:02:00,187,61,195,60,43,463,41,2,0,0,DELAY,415,430,345,400,495,565,375,545,0,0,DELAY,1440,1270,2515,1985,1190,1320,1850,1160,0,0,DELAY,9530,9195,15740,15550,9395,9400,15615,9450,0,0,DELAY,87.6,85.30000000000001,89.05000000000001,88.19999999999999,87.69999999999999,84.8,88.3,92.7,0,0,DELAY
2025-05-17 17:02:15,197,64,206,71,48,578,41,4,0,0,DELAY,415,660,345,400,495,565,375,545,0,0,DELAY,1440,1270,2515,1985,1190,1320,1850,1160,0,0,DELAY,9530,9195,15740,15550,9395,9400,15615,9450,0,0,DELAY,87.6,85.30000000000001,89.05000000000001,88.19999999999999,87.69999999999999,84.8,88.3,92.7,0,0,DELAY
