minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes
0.0,122880,0,,122880,MEM_STRESS,0.0,5836800,3592192,,7516160,MEM_STRESS,0.0
0.25,122880,0,,0,MEM_STRESS,0.25,5836800,3592192,,15704064,MEM_STRESS,0.25
0.5,3252224,0,,0,MEM_STRESS,0.5,19447808,3592192,,15704064,MEM_STRESS,0.5
0.75,3252224,44103,19.97463763992481,1762859,MEM_STRESS,0.75,13787101,3267426,511209.8220000631,11342817,MEM_STRESS,0.75
1.0,3252224,44103,19.97463763992481,1933164,MEM_STRESS,1.0,15533813,2823822,511209.8220000631,9747517,MEM_STRESS,1.0
1.25,3252224,44103,19.97463763992481,1960639,MEM_STRESS,1.25,13488549,2815483,511209.8220000631,57604096,MEM_STRESS,1.25
1.5,61440,44103,19.97463763992481,4952678,MEM_STRESS,1.5,53712896,2950239,511209.8220000631,57604096,MEM_STRESS,1.5
1.75,61440,44103,19.97463763992481,5330569,MEM_STRESS,1.75,53712896,2947676,511209.8220000631,57604096,MEM_STRESS,1.75
2.0,61440,44103,19.97463763992481,4168848,MEM_STRESS,2.0,53712896,2977878,511209.8220000631,57604096,MEM_STRESS,2.0
2.25,61440,44103,19.97463763992481,2984597,MEM_STRESS,2.25,53712896,3072259,511209.8220000631,10594304,MEM_STRESS,2.25
2.5,61440,44103,19.97463763992481,842280,MEM_STRESS,2.5,1593344,3374918,511209.8220000631,10594304,MEM_STRESS,2.5
2.75,61440,44103,19.97463763992481,860859,MEM_STRESS,2.75,1593344,3511788,511209.8220000631,10594304,MEM_STRESS,2.75
3.0,0,44103,19.97463763992481,63377,MEM_STRESS,3.0,1593344,4754678,511209.8220000631,10594304,MEM_STRESS,3.0
3.25,0,44103,19.97463763992481,63377,MEM_STRESS,3.25,1547083,4978077,511209.8220000631,6479872,MEM_STRESS,3.25
3.5,0,44103,19.97463763992481,63377,MEM_STRESS,3.5,5823488,4987584,511209.8220000631,6479872,MEM_STRESS,3.5
3.75,396,44103,19.97463763992481,63377,MEM_STRESS,3.75,1359872,4987584,511209.8220000631,6479872,MEM_STRESS,3.75
4.0,396,44103,19.97463763992481,63377,MEM_STRESS,4.0,1359872,5231605,511209.8220000631,6519422,MEM_STRESS,4.0
4.25,396,44103,19.97463763992481,63377,MEM_STRESS,4.25,1359872,5278121,511209.8220000631,6502767,MEM_STRESS,4.25
4.5,396,44103,19.97463763992481,63377,MEM_STRESS,4.5,1220608,5250563,511209.8220000631,6582123,MEM_STRESS,4.5
4.75,396,44103,19.97463763992481,63377,MEM_STRESS,4.75,1220608,5253582,511209.8220000631,6591214,MEM_STRESS,4.75
5.0,396,44103,19.97463763992481,63377,MEM_STRESS,5.0,1220608,5324020,511209.8220000631,6591339,MEM_STRESS,5.0
