minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,iowait_Minutes,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,irq_Minutes,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,system_Minutes,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,user_Minutes,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,utilization_Minutes
0.0,10,60,80,170,10,30,10,0,0,0,MEM_STRESS,0.0,60,110,80,80,60,110,60,60,0,0,MEM_STRESS,0.0,790,610,560,560,820,570,470,420,0,0,MEM_STRESS,0.0,6200,7000,7785,6390,7160,6625,6670,6310,0,0,MEM_STRESS,0.0,12.21,13.82,14.925,12.61,13.77,13.035,12.915,12.345,0,0,MEM_STRESS,0.0,10,60,80,170,10,30,10,0,0,0,MEM_STRESS,0.0,60,110,80,80,60,110,60,60,0,0,MEM_STRESS,0.0,420,610,560,560,510,570,470,420,0,0,MEM_STRESS,0.0,1650,1680,2620,1390,1660,1670,1940,1600,0,0,MEM_STRESS,0.0,3.62,4.04,5.45,3.42,3.74,3.97,4.13,3.49,0,0,MEM_STRESS,0.0
0.25,10,60,80,170,10,30,10,0,0,0,MEM_STRESS,0.25,60,110,80,80,60,110,60,60,0,0,MEM_STRESS,0.25,780,610,560,560,830,570,470,420,0,0,MEM_STRESS,0.25,6200,6570,7262,6390,6690,6625,6557,6175,0,0,MEM_STRESS,0.25,11.71,13.07,14.025,12.060000000000002,12.995,12.335,12.765,12.07,0,0,MEM_STRESS,0.25,10,60,80,170,10,30,10,0,0,0,MEM_STRESS,0.25,60,110,80,80,60,110,60,60,0,0,MEM_STRESS,0.25,420,610,560,560,510,570,470,420,0,0,MEM_STRESS,0.25,1650,1680,2620,1390,1660,1670,1940,1600,0,0,MEM_STRESS,0.25,3.62,4.04,5.45,3.42,3.74,3.97,4.13,3.49,0,0,MEM_STRESS,0.25
0.5,10,60,80,170,10,30,10,0,0,0,MEM_STRESS,0.5,60,110,80,80,60,110,60,60,0,0,MEM_STRESS,0.5,790,610,560,560,840,570,470,420,0,0,MEM_STRESS,0.5,6200,6775,7245,6390,6220,6625,6480,6145,0,0,MEM_STRESS,0.5,12.21,13.57,14.125,12.61,12.32,13.035,12.665,12.145,0,0,MEM_STRESS,0.5,10,30,45,90,5,20,5,0,0,0,MEM_STRESS,0.5,235,270,245,255,235,265,235,235,0,0,MEM_STRESS,0.5,780,610,865,560,830,570,815,790,0,0,MEM_STRESS,0.5,18095,18350,18450,18275,18260,18265,18450,18200,0,0,MEM_STRESS,0.5,32.56,33.42,33.325,33.010000000000005,32.870000000000005,32.835,33.115,32.645,0,0,MEM_STRESS,0.5
0.75,20,29,47,170,15,42,6,8,0,0,MEM_STRESS,0.75,60,110,80,80,60,110,60,60,0,0,MEM_STRESS,0.75,790,1121,1182,1120,840,1065,1037,420,0,0,MEM_STRESS,0.75,6200,6775,7245,6390,6220,6625,6480,6145,0,0,MEM_STRESS,0.75,12.21,13.57,14.125,12.61,12.32,13.035,12.665,12.145,0,0,MEM_STRESS,0.75,11,30,45,90,5,20,5,0,0,0,MEM_STRESS,0.75,235,270,245,255,235,265,235,235,0,0,MEM_STRESS,0.75,780,1064,865,928,830,1065,815,790,0,0,MEM_STRESS,0.75,18095,18350,18450,18275,18260,18265,18450,18200,0,0,MEM_STRESS,0.75,32.56,33.42,33.325,33.010000000000005,32.870000000000005,32.835,33.115,32.645,0,0,MEM_STRESS,0.75
1.0,8,29,47,10,14,42,6,7,0,0,MEM_STRESS,1.0,180,225,195,190,180,210,175,175,0,0,MEM_STRESS,1.0,1190,1121,1185,1101,1275,1068,1037,1150,0,0,MEM_STRESS,1.0,13220,14100,14325,14790,13630,14065,14015,13665,0,0,MEM_STRESS,1.0,25.0,26.8,26.9,27.5,25.8,26.35,26.2,25.65,0,0,MEM_STRESS,1.0,9,0,10,10,0,5,0,5,0,0,MEM_STRESS,1.0,355,385,360,365,355,365,350,350,0,0,MEM_STRESS,1.0,1180,1092,1235,934,1265,1069,1170,1155,0,0,MEM_STRESS,1.0,25115,25675,25530,26675,25670,25705,25985,25720,0,0,MEM_STRESS,1.0,45.35,46.65,46.1,47.900000000000006,46.35,46.150000000000006,46.65,46.15,0,0,MEM_STRESS,1.0
1.25,8,9,28,10,0,18,1,9,0,0,MEM_STRESS,1.25,180,225,195,190,180,210,175,175,0,0,MEM_STRESS,1.25,1190,1199,1226,1208,1275,1171,1147,1150,0,0,MEM_STRESS,1.25,13220,14100,14325,14955,13630,14065,14015,13665,0,0,MEM_STRESS,1.25,25.0,26.8,26.9,27.5,25.8,26.35,26.2,25.65,0,0,MEM_STRESS,1.25,9,0,10,10,0,5,0,5,0,0,MEM_STRESS,1.25,355,340,360,365,355,310,350,350,0,0,MEM_STRESS,1.25,1220,1196,1300,1107,1380,1164,1180,1150,0,0,MEM_STRESS,1.25,25115,25675,25530,26675,25670,25705,25985,25720,0,0,MEM_STRESS,1.25,45.35,46.65,46.1,47.900000000000006,46.35,46.150000000000006,46.65,46.15,0,0,MEM_STRESS,1.25
1.5,8,7,18,10,0,16,1,9,0,0,MEM_STRESS,1.5,180,225,195,190,180,310,175,175,0,0,MEM_STRESS,1.5,1190,1283,1298,1220,1275,1230,1187,1150,0,0,MEM_STRESS,1.5,13220,14100,14325,15120,13630,14125,14110,13747,0,0,MEM_STRESS,1.5,25.0,26.8,26.9,27.5,25.8,26.35,26.2,25.65,0,0,MEM_STRESS,1.5,9,0,10,10,0,5,0,5,0,0,MEM_STRESS,1.5,300,340,310,300,300,310,290,290,0,0,MEM_STRESS,1.5,1220,1278,1300,1189,1380,1245,1180,1150,0,0,MEM_STRESS,1.5,15690,16330,16780,18190,16480,16550,17010,16640,0,0,MEM_STRESS,1.5,29.2,30.5,31.0,33.2,30.7,30.6,31.2,30.5,0,0,MEM_STRESS,1.5
1.75,8,2,9,18,0,14,6,9,0,0,MEM_STRESS,1.75,300,340,310,300,300,310,290,290,0,0,MEM_STRESS,1.75,1190,1292,1269,1235,1275,1224,1164,1161,0,0,MEM_STRESS,1.75,13220,14100,14325,15120,13630,14185,14205,13830,0,0,MEM_STRESS,1.75,25.0,26.8,26.9,27.5,25.8,26.35,26.2,25.65,0,0,MEM_STRESS,1.75,9,0,10,10,0,5,0,5,0,0,MEM_STRESS,1.75,300,340,310,300,300,310,290,290,0,0,MEM_STRESS,1.75,1220,1299,1300,1231,1380,1254,1180,1150,0,0,MEM_STRESS,1.75,15690,16330,16780,18190,16480,16550,17010,16640,0,0,MEM_STRESS,1.75,29.2,30.5,31.0,33.2,30.7,30.6,31.2,30.5,0,0,MEM_STRESS,1.75
2.0,8,1,8,5,0,4,6,8,0,0,MEM_STRESS,2.0,260,300,270,280,270,280,260,270,0,0,MEM_STRESS,2.0,1160,1292,1257,1207,1130,1224,1160,1163,0,0,MEM_STRESS,2.0,10750,12320,12950,11390,12660,11580,11400,11020,0,0,MEM_STRESS,2.0,20.8,23.6,24.4,21.8,23.8,22.1,21.7,21.2,0,0,MEM_STRESS,2.0,9,0,10,5,0,10,5,0,0,0,MEM_STRESS,2.0,260,361,270,280,270,289,260,270,0,0,MEM_STRESS,2.0,1221,1299,1259,1228,1318,1254,1166,1170,0,0,MEM_STRESS,2.0,10750,12320,12950,11390,12660,11580,11400,11020,0,0,MEM_STRESS,2.0,20.8,23.6,24.4,21.8,23.8,22.1,21.7,21.2,0,0,MEM_STRESS,2.0
2.25,8,1,8,5,0,11,8,0,0,0,MEM_STRESS,2.25,260,300,270,280,270,304,260,270,0,0,MEM_STRESS,2.25,1160,1262,1201,1198,1130,1167,1092,1180,0,0,MEM_STRESS,2.25,10750,12320,12950,11390,12660,11580,11400,11020,0,0,MEM_STRESS,2.25,20.8,23.6,24.4,21.8,23.8,22.1,21.7,21.2,0,0,MEM_STRESS,2.25,9,0,10,5,3,10,5,0,0,0,MEM_STRESS,2.25,281,321,278,290,272,284,265,280,0,0,MEM_STRESS,2.25,1174,1267,1201,1212,1202,1176,1093,1189,0,0,MEM_STRESS,2.25,11917,13091,13476,12858,13822,12588,12022,12651,0,0,MEM_STRESS,2.25,22.816902380952374,25.310360714285707,26.119366111666128,24.875200000000017,25.05200000000001,25.394216382228887,22.732,22.397562500000017,0,0,MEM_STRESS,2.25
