minutes,tcp_api_gateway,tcp_source,tcp_Minutes,tcp_customers_service,tcp_source,tcp_Minutes,tcp_Minutes,tcp_source,tcp_SRTT_cumulative,tcp_vets_service,tcp_source,tcp_Minutes,tcp_visits_service,tcp_source,tcp_Minutes
0.0,0,NET_LOSS,0.0,0,NET_LOSS,0.0,0.0,NET_LOSS,1095.0,0.0,NET_LOSS,0.0,0,NET_LOSS,0.0
0.25,0,NET_LOSS,0.25,0,NET_LOSS,0.25,0.25,NET_LOSS,1096.0,0.0,NET_LOSS,0.25,0,NET_LOSS,0.25
0.5,0,NET_LOSS,0.5,0,NET_LOSS,0.5,0.5,NET_LOSS,1000.0,0.0,NET_LOSS,0.5,0,NET_LOSS,0.5
0.75,0,NET_LOSS,0.75,0,NET_LOSS,0.75,0.75,NET_LOSS,993.5,0.0,NET_LOSS,0.75,0,NET_LOSS,0.75
1.0,0,NET_LOSS,1.0,0,NET_LOSS,1.0,1.0,NET_LOSS,1691.0,0.0,NET_LOSS,1.0,0,NET_LOSS,1.0
1.25,0,NET_LOSS,1.25,0,NET_LOSS,1.25,1.25,NET_LOSS,1691.0,0.0,NET_LOSS,1.25,0,NET_LOSS,1.25
1.5,0,NET_LOSS,1.5,0,NET_LOSS,1.5,1.5,NET_LOSS,1685.0,0.0,NET_LOSS,1.5,0,NET_LOSS,1.5
1.75,0,NET_LOSS,1.75,0,NET_LOSS,1.75,1.75,NET_LOSS,1702.6449409340669,0.0,NET_LOSS,1.75,0,NET_LOSS,1.75
2.0,0,NET_LOSS,2.0,0,NET_LOSS,2.0,2.0,NET_LOSS,1724.944241383617,0.0,NET_LOSS,2.0,0,NET_LOSS,2.0
2.25,0,NET_LOSS,2.25,0,NET_LOSS,2.25,2.25,NET_LOSS,1768.889444541569,0.0,NET_LOSS,2.25,0,NET_LOSS,2.25
2.5,0,NET_LOSS,2.5,0,NET_LOSS,2.5,2.5,NET_LOSS,1833.2993603202349,0.0,NET_LOSS,2.5,0,NET_LOSS,2.5
2.75,0,NET_LOSS,2.75,0,NET_LOSS,2.75,2.75,NET_LOSS,1841.76642074592,0.0,NET_LOSS,2.75,0,NET_LOSS,2.75
3.0,0,NET_LOSS,3.0,42,NET_LOSS,3.0,3.0,NET_LOSS,1838.42655994006,0.0,NET_LOSS,3.0,0,NET_LOSS,3.0
3.25,0,NET_LOSS,3.25,42,NET_LOSS,3.25,3.25,NET_LOSS,1928.4126471306477,0.0,NET_LOSS,3.25,0,NET_LOSS,3.25
3.5,0,NET_LOSS,3.5,42,NET_LOSS,3.5,3.5,NET_LOSS,1991.118121989122,0.0,NET_LOSS,3.5,0,NET_LOSS,3.5
3.75,0,NET_LOSS,3.75,42,NET_LOSS,3.75,3.75,NET_LOSS,2029.6011331862585,0.0,NET_LOSS,3.75,0,NET_LOSS,3.75
4.0,0,NET_LOSS,4.0,0,NET_LOSS,4.0,4.0,NET_LOSS,2043.9184931269708,0.0,NET_LOSS,4.0,0,NET_LOSS,4.0
4.25,0,NET_LOSS,4.25,0,NET_LOSS,4.25,4.25,NET_LOSS,2103.064350421085,0.0,NET_LOSS,4.25,0,NET_LOSS,4.25
4.5,0,NET_LOSS,4.5,0,NET_LOSS,4.5,4.5,NET_LOSS,2155.1160067024907,0.0,NET_LOSS,4.5,0,NET_LOSS,4.5
4.75,0,NET_LOSS,4.75,0,NET_LOSS,4.75,4.75,NET_LOSS,2201.714993457984,0.0,NET_LOSS,4.75,0,NET_LOSS,4.75
5.0,0,NET_LOSS,5.0,71,NET_LOSS,5.0,5.0,NET_LOSS,2231.4864654126955,0.0,NET_LOSS,20.0,0,NET_LOSS,5.0
5.25,0,NET_LOSS,5.25,71,NET_LOSS,5.25,5.25,NET_LOSS,2287.932798205522,0.0,NET_LOSS,20.25,0,NET_LOSS,5.25
5.5,0,NET_LOSS,5.5,71,NET_LOSS,5.5,5.5,NET_LOSS,2354.6104707792206,0.0,NET_LOSS,20.5,0,NET_LOSS,5.5
5.75,0,NET_LOSS,5.75,71,NET_LOSS,5.75,5.75,NET_LOSS,2390.055415861915,0.0,NET_LOSS,20.75,0,NET_LOSS,5.75
6.0,0,NET_LOSS,6.0,40,NET_LOSS,6.0,6.0,NET_LOSS,2404.9982365689866,0.0,NET_LOSS,21.0,0,NET_LOSS,6.0
6.25,0,NET_LOSS,6.25,40,NET_LOSS,6.25,6.25,NET_LOSS,2421.597463120213,0.0,NET_LOSS,21.25,0,NET_LOSS,6.25
6.5,0,NET_LOSS,6.5,40,NET_LOSS,6.5,6.5,NET_LOSS,2423.0388600843603,0.0,NET_LOSS,21.5,0,NET_LOSS,6.5
6.75,0,NET_LOSS,6.75,40,NET_LOSS,6.75,6.75,NET_LOSS,2422.124734182484,0.0,NET_LOSS,21.75,0,NET_LOSS,6.75
7.0,0,NET_LOSS,7.0,79,NET_LOSS,7.0,7.0,NET_LOSS,2420.422032217783,0.0,NET_LOSS,22.0,0,NET_LOSS,7.0
7.25,0,NET_LOSS,7.25,79,NET_LOSS,7.25,7.25,NET_LOSS,2395.752090881341,0.0,NET_LOSS,22.25,0,NET_LOSS,7.25
7.5,0,NET_LOSS,7.5,79,NET_LOSS,7.5,7.5,NET_LOSS,2400.5707913475408,0.0,NET_LOSS,22.5,0,NET_LOSS,7.5
7.75,0,NET_LOSS,7.75,79,NET_LOSS,7.75,7.75,NET_LOSS,2437.6315927960923,0.0,NET_LOSS,22.75,0,NET_LOSS,7.75
8.0,0,NET_LOSS,8.0,0,NET_LOSS,8.0,8.0,NET_LOSS,2410.9988298368307,0.0,NET_LOSS,23.0,0,NET_LOSS,8.0
8.25,0,NET_LOSS,8.25,0,NET_LOSS,8.25,8.25,NET_LOSS,2456.457621850372,0.0,NET_LOSS,23.25,0,NET_LOSS,8.25
8.5,0,NET_LOSS,8.5,0,NET_LOSS,8.5,8.5,NET_LOSS,2477.194981962481,0.0,NET_LOSS,23.5,0,NET_LOSS,8.5
8.75,0,NET_LOSS,8.75,0,NET_LOSS,8.75,8.75,NET_LOSS,2522.4245798923303,0.0,NET_LOSS,23.75,0,NET_LOSS,8.75
9.0,0,NET_LOSS,9.0,54,NET_LOSS,9.0,9.0,NET_LOSS,2558.5,0.0,NET_LOSS,24.0,0,NET_LOSS,9.0
9.25,0,NET_LOSS,9.25,54,NET_LOSS,9.25,9.25,NET_LOSS,2685.0,0.0,NET_LOSS,24.25,0,NET_LOSS,9.25
9.5,0,NET_LOSS,9.5,54,NET_LOSS,9.5,9.5,NET_LOSS,2689.0,0.0,NET_LOSS,24.5,0,NET_LOSS,9.5
9.75,0,NET_LOSS,9.75,54,NET_LOSS,9.75,9.75,NET_LOSS,2672.0,0.0,NET_LOSS,24.75,0,NET_LOSS,9.75
10.0,0,NET_LOSS,10.0,0,NET_LOSS,10.0,10.0,NET_LOSS,2657.0,0.0,NET_LOSS,25.0,0,NET_LOSS,10.0
10.25,0,NET_LOSS,10.25,0,NET_LOSS,10.25,10.25,NET_LOSS,2668.5,0.0,NET_LOSS,25.25,0,NET_LOSS,10.25
10.5,0,NET_LOSS,10.5,0,NET_LOSS,10.5,10.5,NET_LOSS,2675.0,0.0,NET_LOSS,25.5,0,NET_LOSS,10.5
10.75,0,NET_LOSS,10.75,0,NET_LOSS,10.75,10.75,NET_LOSS,2876.0,0.0,NET_LOSS,25.75,0,NET_LOSS,10.75
11.0,0,NET_LOSS,11.0,0,NET_LOSS,11.0,11.0,NET_LOSS,2700.0,0.0,NET_LOSS,26.0,0,NET_LOSS,11.0
11.25,0,NET_LOSS,11.25,0,NET_LOSS,11.25,11.25,NET_LOSS,2699.0,0.0,NET_LOSS,26.25,0,NET_LOSS,11.25
11.5,0,NET_LOSS,11.5,0,NET_LOSS,11.5,11.5,NET_LOSS,2704.265206198431,0.0,NET_LOSS,26.5,0,NET_LOSS,11.5
11.75,0,NET_LOSS,11.75,0,NET_LOSS,11.75,11.75,NET_LOSS,2775.5089000832486,0.0,NET_LOSS,26.75,0,NET_LOSS,11.75
12.0,0,NET_LOSS,12.0,0,NET_LOSS,12.0,12.0,NET_LOSS,2815.733568609168,0.0,NET_LOSS,31.0,0,NET_LOSS,12.0
12.25,0,NET_LOSS,12.25,0,NET_LOSS,12.25,12.25,NET_LOSS,2828.1225570774263,0.0,NET_LOSS,31.25,0,NET_LOSS,12.25
12.5,0,NET_LOSS,12.5,0,NET_LOSS,12.5,12.5,NET_LOSS,2879.5317869521787,0.0,NET_LOSS,31.5,0,NET_LOSS,12.5
12.75,0,NET_LOSS,12.75,0,NET_LOSS,12.75,12.75,NET_LOSS,2916.300175949052,0.0,NET_LOSS,31.75,0,NET_LOSS,12.75
13.0,0,NET_LOSS,13.0,51,NET_LOSS,13.0,13.0,NET_LOSS,2923.3689914252423,0.0,NET_LOSS,32.0,0,NET_LOSS,13.0
13.25,0,NET_LOSS,13.25,51,NET_LOSS,13.25,13.25,NET_LOSS,2900.793467532468,0.0,NET_LOSS,32.25,0,NET_LOSS,13.25
13.5,0,NET_LOSS,13.5,51,NET_LOSS,13.5,13.5,NET_LOSS,2965.986900360751,0.0,NET_LOSS,32.5,0,NET_LOSS,13.5
13.75,0,NET_LOSS,13.75,51,NET_LOSS,13.75,13.75,NET_LOSS,3033.897427779956,0.0,NET_LOSS,32.75,0,NET_LOSS,13.75
14.0,0,NET_LOSS,14.0,0,NET_LOSS,14.0,14.0,NET_LOSS,3200.793823470341,0.0,NET_LOSS,33.0,0,NET_LOSS,14.0
14.25,0,NET_LOSS,14.25,0,NET_LOSS,14.25,14.25,NET_LOSS,3448.8899396159395,0.0,NET_LOSS,33.25,0,NET_LOSS,14.25
14.5,0,NET_LOSS,14.5,0,NET_LOSS,14.5,14.5,NET_LOSS,3610.227186263085,0.0,NET_LOSS,33.5,0,NET_LOSS,14.5
14.75,0,NET_LOSS,14.75,0,NET_LOSS,14.75,14.75,NET_LOSS,3613.6110125804144,0.0,NET_LOSS,33.75,0,NET_LOSS,14.75
15.0,0,NET_LOSS,15.0,0,NET_LOSS,15.0,15.0,NET_LOSS,3612.5831990026254,0.0,NET_LOSS,34.0,0,NET_LOSS,15.0
15.25,0,NET_LOSS,15.25,0,NET_LOSS,15.25,15.25,NET_LOSS,3781.060176557742,0.0,NET_LOSS,34.25,0,NET_LOSS,15.25
15.5,0,NET_LOSS,15.5,0,NET_LOSS,15.5,15.5,NET_LOSS,3854.0136431809456,0.0,NET_LOSS,34.5,0,NET_LOSS,15.5
15.75,0,NET_LOSS,15.75,0,NET_LOSS,15.75,15.75,NET_LOSS,3905.4859648918577,0.0,NET_LOSS,34.75,0,NET_LOSS,15.75
16.0,0,NET_LOSS,16.0,0,NET_LOSS,16.0,16.0,NET_LOSS,3951.53645610979,0.0,NET_LOSS,35.0,0,NET_LOSS,16.0
16.25,0,NET_LOSS,16.25,0,NET_LOSS,16.25,16.25,NET_LOSS,3917.1245393781287,0.0,NET_LOSS,35.25,0,NET_LOSS,16.25
16.5,0,NET_LOSS,16.5,0,NET_LOSS,16.5,16.5,NET_LOSS,3901.716433497897,0.0,NET_LOSS,35.5,0,NET_LOSS,16.5
16.75,0,NET_LOSS,16.75,0,NET_LOSS,16.75,16.75,NET_LOSS,3890.009955105505,0.0,NET_LOSS,35.75,0,NET_LOSS,16.75
17.0,0,NET_LOSS,17.0,6,NET_LOSS,17.0,17.0,NET_LOSS,3958.330412236996,0.0,NET_LOSS,36.0,0,NET_LOSS,17.0
17.25,0,NET_LOSS,17.25,6,NET_LOSS,17.25,17.25,NET_LOSS,4078.1875130990047,0.0,NET_LOSS,36.25,0,NET_LOSS,17.25
17.5,0,NET_LOSS,17.5,6,NET_LOSS,17.5,17.5,NET_LOSS,4069.139664043472,0.0,NET_LOSS,36.5,0,NET_LOSS,17.5
17.75,0,NET_LOSS,17.75,6,NET_LOSS,17.75,17.75,NET_LOSS,3990.978232080055,0.0,NET_LOSS,36.75,0,NET_LOSS,17.75
18.0,0,NET_LOSS,18.0,6,NET_LOSS,18.0,18.0,NET_LOSS,3997.975344530469,0.0,NET_LOSS,37.0,0,NET_LOSS,18.0
