Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 16:59:00,150,170,160,140,150,180,150,140,0,0,NET_LOSS,0.0
2025-05-17 16:59:15,150,170,160,140,150,180,150,140,0,0,NET_LOSS,0.25
2025-05-17 16:59:30,70,100,70,80,60,100,70,80,0,0,NET_LOSS,0.5
2025-05-17 16:59:45,110,135,115,110,105,140,110,110,0,0,NET_LOSS,0.75
2025-05-17 17:00:00,110,135,115,110,105,140,110,110,0,0,NET_LOSS,1.0
2025-05-17 17:00:15,110,135,115,110,105,140,110,110,0,0,NET_LOSS,1.25
2025-05-17 17:00:30,170,205,180,170,180,205,175,165,0,0,NET_LOSS,1.5
2025-05-17 17:00:45,170,205,180,170,180,230,175,165,0,0,NET_LOSS,1.75
2025-05-17 17:01:00,190,240,200,200,180,230,200,190,0,0,NET_LOSS,2.0
2025-05-17 17:01:15,190,240,200,200,210,230,200,190,0,0,NET_LOSS,2.25
2025-05-17 17:01:30,300,320,300,280,270,226,270,280,0,0,NET_LOSS,2.5
2025-05-17 17:01:45,255,291,264,257,270,296,253,266,0,0,NET_LOSS,2.75
2025-05-17 17:02:00,303,319,312,281,271,318,262,287,0,0,NET_LOSS,3.0
2025-05-17 17:02:15,300,321,306,280,275,311,264,281,0,0,NET_LOSS,3.25
2025-05-17 17:02:30,299,321,303,280,276,306,264,282,0,0,NET_LOSS,3.5
2025-05-17 17:02:45,299,321,303,284,279,301,263,281,0,0,NET_LOSS,3.75
2025-05-17 17:03:00,299,321,303,289,280,296,264,282,0,0,NET_LOSS,4.0
2025-05-17 17:03:15,299,321,303,291,280,295,265,280,0,0,NET_LOSS,4.25
2025-05-17 17:03:30,299,321,303,291,281,295,268,281,0,0,NET_LOSS,4.5
2025-05-17 17:03:45,297,314,300,284,281,295,276,281,0,0,NET_LOSS,4.75
2025-05-17 17:04:00,296,305,302,279,283,295,285,281,0,0,NET_LOSS,5.0
2025-05-17 17:04:15,299,304,304,280,285,296,288,282,0,0,NET_LOSS,5.25
2025-05-17 17:04:30,299,304,313,279,297,299,290,282,0,0,NET_LOSS,5.5
2025-05-17 17:04:45,307,310,343,277,309,306,308,283,0,0,NET_LOSS,5.75
2025-05-17 17:05:00,310,321,350,275,313,309,314,283,0,0,NET_LOSS,6.0
2025-05-17 17:05:15,315,326,352,280,312,311,315,285,0,0,NET_LOSS,6.25
2025-05-17 17:05:30,315,332,354,283,304,311,315,294,0,0,NET_LOSS,6.5
2025-05-17 17:05:45,315,356,371,305,288,311,309,312,0,0,NET_LOSS,6.75
2025-05-17 17:06:00,317,366,376,324,286,312,308,319,0,0,NET_LOSS,7.0
2025-05-17 17:06:15,318,364,381,330,288,311,310,322,0,0,NET_LOSS,7.25
2025-05-17 17:06:30,321,364,381,333,291,315,312,322,0,0,NET_LOSS,7.5
2025-05-17 17:06:45,340,359,367,342,290,330,321,325,0,0,NET_LOSS,7.75
2025-05-17 17:07:00,350,359,364,347,293,339,326,326,0,0,NET_LOSS,8.0
2025-05-17 17:07:15,357,359,365,347,303,343,330,324,0,0,NET_LOSS,8.25
2025-05-17 17:07:30,360,361,365,347,312,343,330,324,0,0,NET_LOSS,8.5
2025-05-17 17:07:45,368,365,364,338,318,343,322,320,0,0,NET_LOSS,8.75
2025-05-17 17:08:00,371,366,364,337,324,343,321,318,0,0,NET_LOSS,9.0
2025-05-17 17:08:15,373,368,363,340,338,345,322,317,0,0,NET_LOSS,9.25
2025-05-17 17:08:30,373,368,364,341,357,353,324,318,0,0,NET_LOSS,9.5
2025-05-17 17:08:45,378,368,369,351,385,377,334,322,0,0,NET_LOSS,9.75
2025-05-17 17:09:00,380,369,372,354,385,389,339,325,0,0,NET_LOSS,10.0
2025-05-17 17:09:15,382,369,379,357,383,392,350,326,0,0,NET_LOSS,10.25
2025-05-17 17:09:30,382,369,381,357,379,392,363,326,0,0,NET_LOSS,10.5
2025-05-17 17:09:45,383,369,386,357,351,403,391,337,0,0,NET_LOSS,10.75
2025-05-17 17:10:00,383,369,388,356,347,407,399,343,0,0,NET_LOSS,11.0
2025-05-17 17:10:15,383,369,395,356,355,407,401,345,0,0,NET_LOSS,11.25
2025-05-17 17:10:30,385,370,395,355,362,406,401,348,0,0,NET_LOSS,11.5
2025-05-17 17:10:45,404,376,376,339,374,396,379,356,0,0,NET_LOSS,11.75
2025-05-17 17:11:00,405,384,375,335,380,392,374,362,0,0,NET_LOSS,12.0
2025-05-17 17:11:15,398,394,381,337,386,392,379,367,0,0,NET_LOSS,12.25
2025-05-17 17:11:30,398,397,383,339,388,392,380,368,0,0,NET_LOSS,12.5
2025-05-17 17:11:45,394,420,402,361,396,386,401,376,0,0,NET_LOSS,12.75
2025-05-17 17:12:00,392,428,404,372,400,384,403,381,0,0,NET_LOSS,13.0
2025-05-17 17:12:15,395,432,405,386,400,384,403,381,0,0,NET_LOSS,13.25
2025-05-17 17:12:30,395,432,404,388,400,384,402,382,0,0,NET_LOSS,13.5
2025-05-17 17:12:45,374,403,386,403,394,388,391,394,0,0,NET_LOSS,13.75
2025-05-17 17:13:00,372,399,381,408,394,390,391,397,0,0,NET_LOSS,14.0
2025-05-17 17:13:15,374,400,385,409,393,392,392,398,0,0,NET_LOSS,14.25
2025-05-17 17:13:30,374,400,386,409,394,393,392,398,0,0,NET_LOSS,14.5
2025-05-17 17:13:45,380,407,410,393,404,398,398,392,0,0,NET_LOSS,14.75
2025-05-17 17:14:00,382,409,418,390,405,401,398,391,0,0,NET_LOSS,15.0
2025-05-17 17:14:15,387,411,421,389,402,403,395,390,0,0,NET_LOSS,15.25
2025-05-17 17:14:30,388,411,421,389,402,404,395,390,0,0,NET_LOSS,15.5
2025-05-17 17:14:45,405,417,412,405,401,407,412,408,0,0,NET_LOSS,15.75
2025-05-17 17:15:00,406,417,411,407,401,408,415,412,0,0,NET_LOSS,16.0
2025-05-17 17:15:15,399,416,408,409,401,408,415,417,0,0,NET_LOSS,16.25
2025-05-17 17:15:30,399,416,408,409,401,408,415,417,0,0,NET_LOSS,16.5
2025-05-17 17:15:45,400,412,423,413,428,404,415,395,0,0,NET_LOSS,16.75
2025-05-17 17:16:00,399,411,424,414,433,403,415,393,0,0,NET_LOSS,17.0
2025-05-17 17:16:15,398,411,421,416,424,404,415,390,0,0,NET_LOSS,17.25
2025-05-17 17:16:30,398,410,421,416,417,405,414,390,0,0,NET_LOSS,17.5
2025-05-17 17:16:45,393,406,387,416,387,415,389,405,0,0,NET_LOSS,17.75
2025-05-17 17:17:00,393,406,384,415,385,415,386,408,0,0,NET_LOSS,18.0
2025-05-17 17:17:15,398,411,385,415,389,407,393,409,0,0,NET_LOSS,18.25
2025-05-17 17:17:30,400,414,385,415,391,407,393,410,0,0,NET_LOSS,18.5
2025-05-17 17:17:45,421,430,390,385,413,411,412,417,0,0,NET_LOSS,18.75
2025-05-17 17:18:00,424,439,393,380,420,411,420,419,0,0,NET_LOSS,19.0
2025-05-17 17:18:15,421,449,399,388,417,409,425,419,0,0,NET_LOSS,19.25
2025-05-17 17:18:30,421,449,401,388,417,410,425,420,0,0,NET_LOSS,19.5
2025-05-17 17:18:45,420,449,437,430,425,431,415,433,0,0,NET_LOSS,19.75
2025-05-17 17:19:00,418,449,443,434,428,437,410,441,0,0,NET_LOSS,20.0
2025-05-17 17:19:15,412,450,452,430,428,437,407,442,0,0,NET_LOSS,20.25
2025-05-17 17:19:30,411,450,452,430,428,437,407,442,0,0,NET_LOSS,20.5
2025-05-17 17:19:45,396,456,444,425,428,434,420,449,0,0,NET_LOSS,20.75
2025-05-17 17:20:00,395,458,440,420,428,433,424,451,0,0,NET_LOSS,21.0
2025-05-17 17:20:15,401,457,439,419,428,434,426,448,0,0,NET_LOSS,21.25
2025-05-17 17:20:30,401,455,439,420,428,434,426,448,0,0,NET_LOSS,21.5
2025-05-17 17:20:45,402,447,449,436,428,448,426,444,0,0,NET_LOSS,21.75
2025-05-17 17:21:00,404,443,451,438,428,454,426,440,0,0,NET_LOSS,22.0
2025-05-17 17:21:15,400,436,452,431,428,453,426,437,0,0,NET_LOSS,22.25
2025-05-17 17:21:30,400,436,451,429,433,453,426,436,0,0,NET_LOSS,22.5
2025-05-17 17:21:45,400,447,447,398,464,448,423,429,0,0,NET_LOSS,22.75
2025-05-17 17:22:00,399,449,445,394,469,445,419,428,0,0,NET_LOSS,23.0
2025-05-17 17:22:15,397,446,443,389,470,440,418,425,0,0,NET_LOSS,23.25
2025-05-17 17:22:30,395,444,442,389,455,438,418,425,0,0,NET_LOSS,23.5
2025-05-17 17:22:45,394,415,432,389,435,418,402,421,0,0,NET_LOSS,23.75
2025-05-17 17:23:00,394,411,429,389,435,412,399,420,0,0,NET_LOSS,24.0
2025-05-17 17:23:15,401,414,424,389,429,410,394,418,0,0,NET_LOSS,24.25
2025-05-17 17:23:30,401,414,424,390,427,410,392,418,0,0,NET_LOSS,24.5
2025-05-17 17:23:45,426,418,435,422,413,423,391,418,0,0,NET_LOSS,24.75
2025-05-17 17:24:00,434,419,437,425,406,426,390,418,0,0,NET_LOSS,25.0
2025-05-17 17:24:15,440,418,436,422,401,431,391,418,0,0,NET_LOSS,25.25
2025-05-17 17:24:30,439,418,435,422,401,431,391,418,0,0,NET_LOSS,25.5
2025-05-17 17:24:45,435,425,424,413,401,419,395,418,0,0,NET_LOSS,25.75
2025-05-17 17:25:00,431,426,421,411,401,414,395,418,0,0,NET_LOSS,26.0
2025-05-17 17:25:15,425,424,420,411,401,406,392,418,0,0,NET_LOSS,26.25
2025-05-17 17:25:30,424,424,420,411,401,405,389,417,0,0,NET_LOSS,26.5
2025-05-17 17:25:45,394,420,412,429,413,408,389,413,0,0,NET_LOSS,26.75
2025-05-17 17:26:00,387,420,409,433,416,409,389,411,0,0,NET_LOSS,27.0
2025-05-17 17:26:15,388,417,407,428,415,407,389,409,0,0,NET_LOSS,27.25
2025-05-17 17:26:30,388,417,406,428,413,405,386,407,0,0,NET_LOSS,27.5
2025-05-17 17:26:45,391,417,401,405,403,390,385,394,0,0,NET_LOSS,27.75
2025-05-17 17:27:00,392,417,400,402,402,385,385,392,0,0,NET_LOSS,28.0
2025-05-17 17:27:15,395,415,399,401,400,385,386,384,0,0,NET_LOSS,28.25
2025-05-17 17:27:30,395,413,399,399,396,385,386,384,0,0,NET_LOSS,28.5
2025-05-17 17:27:45,395,407,399,371,377,389,387,383,0,0,NET_LOSS,28.75
2025-05-17 17:28:00,395,407,399,362,376,390,388,381,0,0,NET_LOSS,29.0
2025-05-17 17:28:15,395,411,399,359,379,392,384,379,0,0,NET_LOSS,29.25
2025-05-17 17:28:30,395,411,398,359,380,393,380,379,0,0,NET_LOSS,29.5
2025-05-17 17:28:45,397,414,398,370,390,393,378,384,0,0,NET_LOSS,29.75
2025-05-17 17:29:00,397,414,398,375,391,392,376,384,0,0,NET_LOSS,30.0
2025-05-17 17:29:15,393,409,398,379,393,392,378,381,0,0,NET_LOSS,30.25
2025-05-17 17:29:30,392,407,398,378,394,392,379,379,0,0,NET_LOSS,30.5
2025-05-17 17:29:45,398,403,385,382,403,408,387,377,0,0,NET_LOSS,30.75
2025-05-17 17:30:00,397,402,380,382,402,408,386,376,0,0,NET_LOSS,31.0
2025-05-17 17:30:15,386,399,381,376,390,399,373,376,0,0,NET_LOSS,31.25
2025-05-17 17:30:30,382,398,379,368,371,394,369,367,0,0,NET_LOSS,31.5
2025-05-17 17:30:45,325,350,350,285,330,325,315,305,0,0,NET_LOSS,31.75
2025-05-17 17:31:00,325,350,350,285,330,325,315,305,0,0,NET_LOSS,32.0
2025-05-17 17:31:15,325,350,350,285,330,325,315,305,0,0,NET_LOSS,32.25
2025-05-17 17:31:30,215,245,225,210,220,225,215,220,0,0,NET_LOSS,32.5
2025-05-17 17:31:45,215,245,225,210,220,225,215,220,0,0,NET_LOSS,32.75
2025-05-17 17:32:00,215,245,220,210,220,225,210,220,0,0,NET_LOSS,33.0
2025-05-17 17:32:15,30,70,50,50,50,60,40,50,0,0,NET_LOSS,33.25
2025-05-17 17:32:30,40,70,50,50,30,50,40,40,0,0,NET_LOSS,33.5
2025-05-17 17:32:45,40,70,50,50,30,50,40,40,0,0,NET_LOSS,33.75
2025-05-17 17:33:00,57,81,56,58,56,63,44,48,0,0,NET_LOSS,34.0
2025-05-17 17:33:15,58,78,56,58,58,62,44,50,0,0,NET_LOSS,34.25
2025-05-17 17:33:30,58,78,54,56,54,62,44,47,0,0,NET_LOSS,34.5
2025-05-17 17:33:45,54,80,53,56,59,65,44,47,0,0,NET_LOSS,34.75
2025-05-17 17:34:00,47,82,53,56,61,61,44,47,0,0,NET_LOSS,35.0
2025-05-17 17:34:15,48,79,52,56,63,60,44,47,0,0,NET_LOSS,35.25
2025-05-17 17:34:30,50,79,53,59,63,60,45,46,0,0,NET_LOSS,35.5
2025-05-17 17:34:45,92,90,66,94,63,65,56,70,0,0,NET_LOSS,35.75
2025-05-17 17:35:00,120,94,68,104,63,67,63,85,0,0,NET_LOSS,36.0
2025-05-17 17:35:15,114,95,68,110,67,69,69,99,0,0,NET_LOSS,36.25
2025-05-17 17:35:30,107,95,68,110,77,68,69,99,0,0,NET_LOSS,36.5
2025-05-17 17:35:45,99,112,68,76,105,63,54,82,0,0,NET_LOSS,36.75
2025-05-17 17:36:00,96,116,68,63,106,61,49,76,0,0,NET_LOSS,37.0
2025-05-17 17:36:15,96,122,67,54,96,60,47,83,0,0,NET_LOSS,37.25
2025-05-17 17:36:30,95,120,66,53,80,59,47,82,0,0,NET_LOSS,37.5
2025-05-17 17:36:45,73,99,56,44,48,59,47,58,0,0,NET_LOSS,37.75
2025-05-17 17:37:00,56,89,55,43,42,59,47,54,0,0,NET_LOSS,38.0
2025-05-17 17:37:15,50,72,52,47,43,59,47,49,0,0,NET_LOSS,38.25
2025-05-17 17:37:30,50,72,52,47,43,56,46,49,0,0,NET_LOSS,38.5
2025-05-17 17:37:45,46,71,52,50,43,49,44,42,0,0,NET_LOSS,38.75
2025-05-17 17:38:00,46,71,52,50,43,46,42,41,0,0,NET_LOSS,39.0
2025-05-17 17:38:15,49,71,52,54,45,46,42,41,0,0,NET_LOSS,39.25
2025-05-17 17:38:30,49,71,52,54,50,46,42,41,0,0,NET_LOSS,39.5
2025-05-17 17:38:45,55,68,52,42,77,54,42,41,0,0,NET_LOSS,39.75
2025-05-17 17:39:00,56,69,52,42,82,58,42,41,0,0,NET_LOSS,40.0
2025-05-17 17:39:15,54,71,53,47,91,56,43,41,0,0,NET_LOSS,40.25
2025-05-17 17:39:30,54,72,54,47,98,56,43,41,0,0,NET_LOSS,40.5
2025-05-17 17:39:45,52,106,71,50,109,53,54,46,0,0,NET_LOSS,40.75
2025-05-17 17:40:00,51,116,76,50,110,53,59,48,0,0,NET_LOSS,41.0
2025-05-17 17:40:15,50,120,89,54,106,54,66,49,0,0,NET_LOSS,41.25
2025-05-17 17:40:30,50,120,89,54,79,54,66,49,0,0,NET_LOSS,41.5
2025-05-17 17:40:45,56,104,89,43,47,54,65,49,0,0,NET_LOSS,41.75
2025-05-17 17:41:00,56,100,88,42,41,54,65,49,0,0,NET_LOSS,42.0
2025-05-17 17:41:15,54,100,85,47,48,54,65,49,0,0,NET_LOSS,42.25
2025-05-17 17:41:30,52,99,82,47,53,55,65,49,0,0,NET_LOSS,42.5
2025-05-17 17:41:45,48,93,69,64,76,58,52,42,0,0,NET_LOSS,42.75
2025-05-17 17:42:00,45,90,64,67,78,59,49,41,0,0,NET_LOSS,43.0
2025-05-17 17:42:15,48,91,62,66,77,56,46,40,0,0,NET_LOSS,43.25
2025-05-17 17:42:30,48,89,62,66,62,56,42,40,0,0,NET_LOSS,43.5
2025-05-17 17:42:45,55,76,53,59,44,53,35,40,0,0,NET_LOSS,43.75
2025-05-17 17:43:00,56,71,52,54,45,53,33,40,0,0,NET_LOSS,44.0
2025-05-17 17:43:15,51,70,53,53,47,55,35,40,0,0,NET_LOSS,44.25
2025-05-17 17:43:30,49,70,53,53,48,55,35,40,0,0,NET_LOSS,44.5
2025-05-17 17:43:45,39,70,53,44,58,61,38,40,0,0,NET_LOSS,44.75
2025-05-17 17:44:00,34,70,53,43,59,64,39,40,0,0,NET_LOSS,45.0
2025-05-17 17:44:15,36,71,53,46,60,67,38,40,0,0,NET_LOSS,45.25
2025-05-17 17:44:30,36,71,52,46,60,67,38,40,0,0,NET_LOSS,45.5
2025-05-17 17:44:45,40,71,53,50,60,63,32,40,0,0,NET_LOSS,45.75
2025-05-17 17:45:00,41,71,53,51,60,60,31,40,0,0,NET_LOSS,46.0
2025-05-17 17:45:15,42,71,54,55,60,57,35,40,0,0,NET_LOSS,46.25
2025-05-17 17:45:30,42,71,55,56,60,56,35,40,0,0,NET_LOSS,46.5
2025-05-17 17:45:45,47,76,58,91,60,52,39,33,0,0,NET_LOSS,46.75
2025-05-17 17:46:00,48,78,60,101,60,52,39,31,0,0,NET_LOSS,47.0
2025-05-17 17:46:15,46,75,62,99,59,54,38,31,0,0,NET_LOSS,47.25
2025-05-17 17:46:30,45,73,62,98,52,54,38,31,0,0,NET_LOSS,47.5
2025-05-17 17:46:45,42,64,71,73,43,58,38,31,0,0,NET_LOSS,47.75
2025-05-17 17:47:00,42,62,75,59,42,59,38,31,0,0,NET_LOSS,48.0
2025-05-17 17:47:15,40,63,82,44,40,57,39,31,0,0,NET_LOSS,48.25
2025-05-17 17:47:30,40,63,82,44,40,57,39,31,0,0,NET_LOSS,48.5
2025-05-17 17:47:45,32,63,62,43,40,57,39,31,0,0,NET_LOSS,48.75
