experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,BlockLatency,0.0,1.0,0
cpu_stress,BlockLatency,0.0,1.0,0
IO pressure,BlockLatency,0.0,0.9999999999999999,0
mem_stress,BlockLatency,0.0,1.0,0
net_loss,BlockLatency,0.0,1.0,0
baseline,ReadBytes,0.0,1.0,0
cpu_stress,ReadBytes,25.00768999410619,0.999978434395178,349
IO pressure,ReadBytes,0.4900438120832305,0.9983768162491425,52
mem_stress,ReadBytes,24.49230462092219,0.9995483512300904,535
net_loss,ReadBytes,25.005538737254295,0.9999917731042866,138
baseline,WriteBytes,19.31027046280243,0.9707159452190409,83
cpu_stress,WriteBytes,20.514011479378752,0.9569169699792845,148
IO pressure,WriteBytes,0.47413072548797136,0.9982695885135764,114
mem_stress,WriteBytes,10.994100373460007,0.9885503907303667,188
net_loss,WriteBytes,25.005538737254295,0.9999917731042866,138
