experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,ReadBytes,0.0,1.0,0
cpu_stress,ReadBytes,50.00532856205731,0.9999997336465511,73
delay,ReadBytes,0.0,1.0,0
mem_stress,ReadBytes,48.04081397180147,0.987089622993317,296
net_loss,ReadBytes,50.01599467704963,0.9998196101988617,44
baseline,WriteBytes,26.416600533186273,0.9521253901992304,46
cpu_stress,WriteBytes,17.2486157411768,0.9440634883070746,14
delay,WriteBytes,16.40974462321604,0.9281874103297177,70
mem_stress,WriteBytes,49.204026520990354,0.9989630796972052,111
net_loss,WriteBytes,23.733396300087573,0.9402905787733438,319
