experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,ApiGateway,0.0,1.0,0
cpu_stress,ApiGateway,0.0,1.0,0
delay,ApiGateway,0.0,1.0,0
mem_stress,ApiGateway,0.0,1.0,0
net_loss,ApiGateway,0.0,1.0,0
baseline,CustomersService,0.0,1.0,0
cpu_stress,CustomersService,0.0,1.0,0
delay,CustomersService,0.0,1.0,0
mem_stress,CustomersService,0.0,1.0,0
net_loss,CustomersService,0.0,1.0,0
baseline,VetsService,0.0,1.0,0
cpu_stress,VetsService,0.0,1.0,0
delay,VetsService,0.0,1.0,0
mem_stress,VetsService,0.0,1.0,0
net_loss,VetsService,0.0,1.0,0
baseline,VisitsService,0.0,1.0,0
cpu_stress,VisitsService,0.0,1.0,0
delay,VisitsService,0.0,1.0,0
mem_stress,VisitsService,0.0,1.0,0
net_loss,VisitsService,0.0,1.0,0
baseline,SRTT,9.465234809440163,0.9430732018606712,16
cpu_stress,SRTT,6.115255886806723,0.9435418231993065,3
delay,SRTT,4.04593266151985,0.9845917060584889,5
mem_stress,SRTT,5.633165641147841,0.9736020371674615,3
net_loss,SRTT,1.6547374565176254,0.9894758804251016,5
