experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,ReadBytes,0.0,1.0,0
cache_filling,ReadBytes,40.90599971317254,0.9703530164184441,221
gc_stress,ReadBytes,46.145894379032136,0.964587827845981,257
oom,ReadBytes,50.01341219477325,0.9999488868504446,129
threadfull,ReadBytes,48.96184012834062,0.9948977004262856,134
baseline,WriteBytes,28.969552015223993,0.948588920669868,79
cache_filling,WriteBytes,39.08365678158686,0.9632343265502759,148
gc_stress,WriteBytes,45.57990834611045,0.9628170118617875,171
oom,WriteBytes,45.324313737027744,0.9654296381546349,214
threadfull,WriteBytes,48.64849820037953,0.9931050149351457,85
