experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,CustomersService,0.0,1.0,0
cache_filling,CustomersService,0.0,1.0,0
gc_stress,CustomersService,0.0,1.0,0
oom,CustomersService,0.0,1.0,0
threadfull,CustomersService,0.0,1.0,0
baseline,VetsService,0.0,1.0,0
cache_filling,VetsService,0.0,1.0,0
gc_stress,VetsService,0.0,1.0,0
oom,VetsService,0.0,1.0,0
threadfull,VetsService,0.0,1.0,0
baseline,VisitsService,0.0,1.0,0
cache_filling,VisitsService,0.0,1.0,0
gc_stress,VisitsService,0.0,1.0,0
oom,VisitsService,0.0,1.0,0
threadfull,VisitsService,0.0,1.0,0
baseline,ApiGateway,0.0,1.0,0
cache_filling,ApiGateway,0.0,1.0,0
gc_stress,ApiGateway,0.0,1.0,0
oom,ApiGateway,0.0,1.0,0
threadfull,ApiGateway,0.0,1.0,0
baseline,SRTT,7.018592665527463,0.9619093876338844,24
cache_filling,SRTT,12.75278422684176,0.9589456788497098,61
gc_stress,SRTT,6.497057007465139,0.9654212367616964,22
oom,SRTT,6.390708859007824,0.9432637750605005,13
threadfull,SRTT,7.053296152857619,0.9651054389336641,37
